block	start_vm_ip	end_vm_ip	row_kind	source_entry	source_target	target_entry	target	delta	bytes	byte_status	operand_min_len	operand_shape	semantic_ir	state_ir	state_effect_ir	dispatch_ir	dispatch_expr_ir	ip_advance_expr_ir	validation	provenance
43	0x11c2aa	0x11c2ac	exact_instruction	165	0x9a24c	28	28@0x7e390:1	+0x2	1c00	exact	0x2		next = 28@0x7e390:1, ip += +0x2; dispatch_model=static_100; state=state_const_post	state_const_post	0x0	static_100	other_expr:(u16_0&0x1ff)*8; transfer_slot=128=u16_0 << 0x3	128=0x2	state_static=100.0%;dispatch_static=100.0%;ip_static=100.0%	vm_instruction_lift
43	0x11c2ac	0x11c2af	exact_instruction	28	0x7e390	172	172@0x9b68a:1	+0x3	600510	exact	0x3		next = 172@0x9b68a:1, ip += +0x3; dispatch_model=static_100; state=state_add_const	state_add_const	state0 | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a + 0x43078fb1 & 0x282416bb ^ 0x53f50e0b ^ state0 | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a - 0x7e20fbab ^ flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a + 0x43078fb1 & 0x282416bb ^ 0x53f50e0b ^ state0 | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a - 0x7e20fbab | u16_0	static_100	direct_u16:u16_0; transfer_slot=128=u16_0 & 0xffff	128=0x3	state_static=100.0%;dispatch_static=100.0%;ip_static=100.0%	vm_instruction_lift
43	0x11c2af	0x11c2b3	exact_instruction	172	0x9b68a	154	154@0x97ce6:1	+0x4	7baee30e	exact	0x4		next = 154@0x97ce6:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	state_add_const	state0 ^ 0x7070916c - 0x6ecee241 + u16_0 ^ state0 ^ 0x7070916c - 0x6ecee241 ^ flags0 ^ 0x15bf847f & state0 | 0x3eba9edf | u16_2 ^ 0x715f0a33	static_100	constant_target:constant:0xe0; transfer_slot=128=(mask32(u16_2 ^ 0x715f0a33)) & 0xffff	128=0x4	state_static=100.0%;dispatch_static=100.0%;ip_static=100.0%	vm_instruction_lift
43	0x11c2b3	0x11c2b7	exact_instruction	154	0x97ce6	91	91@0x8b6de:1	+0x4	c7e01fb7	exact	0x4		next = 91@0x8b6de:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	state_add_const	state0 - u16_2 ^ state0 - flags0 + 0x60c316f3 & 0x56154baf + 0xbc52893 & 0x57dbe69e | 0x7ed018fb + flags0 + 0x60c316f3 & 0x56154baf + 0xbc52893 & 0x57dbe69e | 0x7ed018fb ^ 0x18426e67 - u16_0 - state0 - u16_2 ^ state0 - flags0 + 0x60c316f3 & 0x56154baf + 0xbc52893 & 0x57dbe69e | 0x7ed018fb + flags0 + 0x60c316f3 & 0x56154baf + 0xbc52893 & 0x57dbe69e | 0x7ed018fb ^ 0x18426e67 - 0x6535d747	static_100	constant_target:constant:0x620; transfer_slot=81=(mask32((mask32(u16_0 - (mask32((mask32((mask32(state0 - (mask32(u16_2 ^ state0)))) - (mask32(flags0 | 0x7ed018fb)))) + (mask32((mask32(flags0 | 0x7ed018fb)) ^ 0x18426e67)))))) - 0x6535d747)) & 0xffff;31=(mask32((mask32(u16_0 - (mask32((mask32((mask32(state0 - (mask32(u16_2 ^ state0)))) - (mask32((mask32((mask32((mask32((mask32(flags0 + 0x60c316f3)) & 0x56154baf)) + 0xbc52893)) & 0x57dbe69e)) | 0x7ed018fb)))) + (mask32((mask32((mask32((mask32((mask32((mask32(flags0 + 0x60c316f3)) & 0x56154baf)) + 0xbc5...#164645fedfad;16=(mask32((mask32(u16_0 - (mask32((mask32((mask32(state0 - (mask32(u16_2 ^ state0)))) - (mask32((mask32((mask32(flags0 + 0x60c316f3)) & 0x56154baf)) | 0x7ed018fb)))) + (mask32((mask32((mask32((mask32(flags0 + 0x60c316f3)) & 0x56154baf)) | 0x7ed018fb)) ^ 0x18426e67)))))) - 0x6535d747)) & 0xffff	128=0x4	state_static=100.0%;dispatch_static=100.0%;ip_static=100.0%	vm_instruction_lift
43	0x11c2b7	0x11c2bb	exact_instruction	91	0x8b6de	347	347@0xc088d:1	+0x4	0809e801	exact	0x4		next = 347@0xc088d:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	state_add_const	state0 ^ u16_0 ^ state0	static_100	state_expr:(state^u16_0)&0x1fff; transfer_slot=128=(mask32(u16_0 ^ state0)) & 0xffff	128=0x4	state_static=100.0%;dispatch_static=100.0%;ip_static=100.0%	vm_instruction_lift
43	0x11c2bb	0x11c2bf	exact_instruction	347	0xc088d	3	3@0x78c77:1	+0x4	1201cc46	exact	0x4		next = 3@0x78c77:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	state_add_const	state0 | flags0 + 0x6fa972f0 | flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 ^ 0x5cf483c7 & flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 | 0x6630614f ^ 0x1a7ef2ae | state0 | flags0 + 0x6fa972f0 | flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 ^ 0x5cf483c7 & flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 | 0x6630614f ^ 0x1a7ef2ae | state0 | flags0 + 0x6fa972f0 | flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 ^ 0x5cf483c7 + u16_2 + flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 | 0x6630614f ^ 0x1a7ef2ae | state0 | flags0 + 0x6fa972f0 | flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 ^ 0x5cf483c7 - flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 | 0x6630614f ^ 0x1a7ef2ae | state0 | flags0 + 0x6fa972f0 | flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 ^ 0x5cf483c7 ^ 0x7bd54e39 - 0x10871fd8	static_100	constant_target:constant:0x540; transfer_slot=92=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 + 0x6fa972f0)))) | (mask32((mask32(flags0 ^ (mask32((mask32(state0 | (mask32(flags0 + 0x6fa972f0)))) & 0x45223942)))) + (mask32((mask32(state0 | (mask32(flags0 + 0x6fa972f0)))) | 0x2efc96c5)))))) ^ 0...#38484e2d9466;36=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 + 0x6fa972f0)))) | (mask32((mask32(flags0 ^ (mask32((mask32(state0 | (mask32(flags0 + 0x6fa972f0)))) & 0x45223942)))) + (mask32((mask32(state0 | (mask32(flags0 + 0x6fa972f0)))) | 0x2efc96c5)))))) ^ 0...#672c9fb24e71	128=0x4	state_static=100.0%;dispatch_static=100.0%;ip_static=100.0%	vm_instruction_lift
43	0x11c2bf	0x11c2c4	exact_instruction	3	0x78c77	198	198@0xa037e:1	+0x5	c126003d01	exact	0x5		next = 198@0xa037e:1, ip += +0x5; dispatch_model=static_100; state=state_add_const	state_add_const	state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b ^ u16_0 ^ state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b + 0x4bc0d288	static_100	constant_target:constant:0x500; transfer_slot=128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - 0x1c03cc82)) - flags0)) | 0x38c49877)) - 0x742d9511)) + 0x4ddaed7b)))) + 0x4bc0d288)) & 0xffff	128=0x5	state_static=100.0%;dispatch_static=100.0%;ip_static=100.0%	vm_instruction_lift
43	0x11c2c4	0x11c2c6	exact_instruction	198	0xa037e	253	253@0xacfb1:1	+0x2	2bf1	exact	0x2		next = 253@0xacfb1:1, ip += +0x2; dispatch_model=static_100; state=state_add_const	state_add_const	state0 + flags0 - 0x5e173fc7 - 0x3cd02127 + flags0 + 0x15b2dfa5 - u16_0 - state0 + flags0 - 0x5e173fc7 - 0x3cd02127 + flags0 + 0x15b2dfa5 ^ 0x3fe99379	static_100	constant_target:constant:0x960; transfer_slot=128=(mask32((mask32(u16_0 - (mask32((mask32((mask32(state0 + (mask32(flags0 - 0x5e173fc7)))) - 0x3cd02127)) + (mask32(flags0 + 0x15b2dfa5)))))) ^ 0x3fe99379)) & 0xffff	128=0x2	state_static=100.0%;dispatch_static=100.0%;ip_static=100.0%	vm_instruction_lift
43	0x11c2c6	0x11c2cc	exact_instruction	253	0xacfb1	18	18@0x7be9b:1	+0x6	8eb89ac4f4d8	exact	0x6		next = 18@0x7be9b:1, ip += +0x6; dispatch_model=static_100; state=state_add_const	state_add_const	state0 | 0x764111b0 + 0x6d2270cb + u32_2 ^ flags0 + flags0 | 0x62c3b0dd | 0x2b96d1d1 & 0x2d46e2e3 ^ u16_0 + 0x7c5d4802	static_100	constant_target:constant:0x948; transfer_slot=128=(mask32(u16_0 + 0x7c5d4802)) & 0xffff	128=0x6	state_static=100.0%;dispatch_static=100.0%;ip_static=100.0%	vm_instruction_lift
43	0x11c2cc	0x11c2cf	exact_instruction	18	0x7be9b	114	114@0x90319:1	+0x3	90c373	exact	0x3		next = 114@0x90319:1, ip += +0x3; dispatch_model=static_100; state=state_add_const	state_add_const	state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b - u16_0 - state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b	static_100	direct_u16:u16_0&0xfff; transfer_slot=99=(mask32(u16_0 - (mask32((mask32((mask32(state0 & flags0)) - 0x6382ce20)) & flags0)))) & 0xffff;29=(mask32(u16_0 - (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))) - 0x6382ce20)) & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))))) & 0xffff	128=0x3	state_static=100.0%;dispatch_static=100.0%;ip_static=100.0%	vm_instruction_lift
