program	case_state	capture_status	case_start_site	case_start_source_entry	case_start_target_entry	case_start_bytes	predecessor_start_vm_ip	predecessor_end_vm_ip	predecessor_site	predecessor_source_entry	focus_ips	focus_sites	stop_after_matches	focus_env	capture_goal
021	0x1705a9	needs_stateful_capture	0x9b0c5	169	171	ab00e801					0x1705a9	0x9b0c5	1	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x1705a9 EAC_VMTAIL_FOCUS_SITES=0x9b0c5 EAC_VMTAIL_STOP_AFTER_MATCHES=1	emit VMTAIL row for 0x1705a9 with vm_state/vm_flags/vm_byte populated
021	0x170864	needs_stateful_capture	0x9a46b	165	114	7200	0x170856	0x170864	adjacent_unhooked_span	311	0x170856,0x170864	0x9a46b	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x170856,0x170864 EAC_VMTAIL_FOCUS_SITES=0x9a46b EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x170864 with vm_state/vm_flags/vm_byte populated
021	0x170b4f	needs_stateful_capture	0x9b687	171	203	cb00	0x170b41	0x170b4f	adjacent_unhooked_span	95	0x170b41,0x170b4f	0x9b687	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x170b41,0x170b4f EAC_VMTAIL_FOCUS_SITES=0x9b687 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x170b4f with vm_state/vm_flags/vm_byte populated
021	0x170dbf	needs_stateful_capture	0xc240d	354	43	2b00	0x170db1	0x170dbf	adjacent_unhooked_span	95	0x170db1,0x170dbf	0xc240d	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x170db1,0x170dbf EAC_VMTAIL_FOCUS_SITES=0xc240d EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x170dbf with vm_state/vm_flags/vm_byte populated
021	0x170fe9	needs_stateful_capture	0x9b687	171	347	5b01	0x170fdb	0x170fe9	adjacent_unhooked_span	264	0x170fdb,0x170fe9	0x9b687	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x170fdb,0x170fe9 EAC_VMTAIL_FOCUS_SITES=0x9b687 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x170fe9 with vm_state/vm_flags/vm_byte populated
021	0x171213	needs_stateful_capture	0x9b687	171	66	4200	0x171205	0x171213	adjacent_unhooked_span	216	0x171205,0x171213	0x9b687	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x171205,0x171213 EAC_VMTAIL_FOCUS_SITES=0x9b687 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x171213 with vm_state/vm_flags/vm_byte populated
021	0x1714ca	needs_stateful_capture	0xc240d	354	114	7200	0x1714bc	0x1714ca	adjacent_unhooked_span	264	0x1714bc,0x1714ca	0xc240d	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x1714bc,0x1714ca EAC_VMTAIL_FOCUS_SITES=0xc240d EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x1714ca with vm_state/vm_flags/vm_byte populated
021	0x1717b5	needs_stateful_capture	0xc240d	354	64	4000	0x1717a7	0x1717b5	adjacent_unhooked_span	264	0x1717a7,0x1717b5	0xc240d	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x1717a7,0x1717b5 EAC_VMTAIL_FOCUS_SITES=0xc240d EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x1717b5 with vm_state/vm_flags/vm_byte populated
021	0x171a25	needs_stateful_capture	0x9b687	171	268	0c01	0x171a17	0x171a25	adjacent_unhooked_span	216	0x171a17,0x171a25	0x9b687	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x171a17,0x171a25 EAC_VMTAIL_FOCUS_SITES=0x9b687 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x171a25 with vm_state/vm_flags/vm_byte populated
021	0x171c4f	needs_stateful_capture	0xc240d	354	157	9d00	0x171c41	0x171c4f	adjacent_unhooked_span	278	0x171c41,0x171c4f	0xc240d	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x171c41,0x171c4f EAC_VMTAIL_FOCUS_SITES=0xc240d EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x171c4f with vm_state/vm_flags/vm_byte populated
