program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
042	0x31aa27	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	307	
042	0x31aed4	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	280	
042	0x31b303	ready_for_mba_reduction	all required static/runtime fields are present	136	32	32	32	yes	yes	7	
042	0x31b331	ready_for_mba_reduction	all required static/runtime fields are present	119	28	28	28	yes	yes	6	
042	0x31b34b	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	134	
042	0x31b54f	ready_for_mba_reduction	all required static/runtime fields are present	34	8	8	8	yes	yes	190	
042	0x31b83d	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	132	
042	0x31ba3d	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	96	
042	0x31bbae	ready_for_mba_reduction	all required static/runtime fields are present	68	16	16	16	yes	yes	20	
042	0x31bc0a	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	164	
042	0x31be84	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	95	
042	0x31bfed	ready_for_mba_reduction	all required static/runtime fields are present	136	32	32	32	yes	yes	7	
042	0x31c01b	ready_for_mba_reduction	all required static/runtime fields are present	119	28	28	28	yes	yes	6	
042	0x31c035	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	134	
042	0x31c239	ready_for_mba_reduction	all required static/runtime fields are present	34	8	8	8	yes	yes	69	
042	0x31c34b	ready_for_mba_reduction	all required static/runtime fields are present	34	8	8	8	yes	yes	154	
042	0x31c5a7	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	132	
042	0x31c7a7	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	96	
042	0x31c918	ready_for_mba_reduction	all required static/runtime fields are present	68	16	16	16	yes	yes	20	
042	0x31c974	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	164	
042	0x31cbee	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	110	
042	0x31cd9a	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	144	
042	0x31cfc4	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	182	
042	0x31d281	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	144	
042	0x31d4ab	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	182	
042	0x31d768	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	144	
042	0x31d992	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	182	
042	0x31dc4f	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	86	
