program	block	state	block_end	byte_end_min	rows	terminal_kind	source_block	raw_b0	raw_b1	raw_b2	raw_b3	raw_b4	raw_b5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	raw_prefix32	first_source_entry	first_target_entry	first_state_ir	first_state_effect_ir	first_dispatch_ir	last_source_entry	last_target_entry	last_state_ir	last_state_effect_ir	last_dispatch_ir	edge_kind	edge_target_block	edge_target_vm_ip	edge_source_entry	edge_target_entry	edge_delta	edge_semantic_ir	edge_coverage	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	observed_pre_state	observed_post_state	observed_pre_flags	observed_post_flags	observed_target_entry	observed_bytes
046	273	0x33170b	0x33192d	0x33192d	143	exact_instruction	27@0x33170b-0x333bcf+0x0	0x62	0x1	0xe8	0x1	0xbd	0x0	0x162	0xe801	0x1e8	0xbd	6201e801bd00990094eb593f2a8f91655e4801e80131eedd10bda309cc5f8bab						108	171				fallthrough	274	0x33192d	108	171	+0x2	next = 171@0x9b4b3:1, ip += +0x2; dispatch_model=static_100; state=state_add_const		17	4	4	4	0xe8eb0d40:4	0xba398e18:4	0x515e4dc9:4	0x6e8e0161:4	354:17	6201e801:17
046	274	0x33192d	0x331950	0x331950	7	long_branch_forward	27@0x33170b-0x333bcf+0x222	0xc4	0x0	0x2f	0x6e	0x9c	0xf5	0xc4	0x2f00	0x6e2f	0xf59c	c4002f6e9cf51e40d121e6a6af1c220a4af34fc2af3d0113ab00000030000000						210	171				decoded_control	276	0x331975	210	171	+0x30	next = table[171], ip += 0x30		306	72	72	72	0x224501a0:68,0x9acc99b5:4	0x0:72	0xcc55eaf8:68,0x49b016b5:4	0x0:72	196:306	c400:306
046	275	0x33195b	0x331975	0x331975	6	long_branch_backedge	27@0x33170b-0x333bcf+0x250	0x48	0x89	0x79	0x0	0x97	0x98	0x8948	0x7989	0x79	0x9897	48897900979846b690311e4a343d01a33f9fab000000400000805b01813c3109						308	171				decoded_control	274	0x33192d	308	171	-0x40	next = table[171], ip -= 0x40		289	68	68	68	0xebbe3855:68	0xf6f5fd23:68	0x9e0b95b6:68	0xadf1c8b8:68	203:289	48897900:289
046	276	0x331975	0x331b79	0x331b79	134	exact_instruction	27@0x33170b-0x333bcf+0x26a	0x5b	0x1	0x81	0x3c	0x31	0x9	0x15b	0x8101	0x3c81	0x931	5b01813c3109f79814b7fcd92802330ce8015684b1003d01f7bc2cd9231a5647						352	354				fallthrough	277	0x331b79	352	354	+0x2	next = 354@0xc2241:1, ip += +0x2; dispatch_model=static_100; state=state_add_const		17	4	4	4	0xe5059226:4	0x0:4	0x9e0b95b6:4	0x0:4	347:17	5b01:17
046	277	0x331b79	0x331c7a	0x331c7a	69	exact_instruction	27@0x33170b-0x333bcf+0x46e	0x5b	0x1	0xc9	0x32	0x31	0x9	0x15b	0xc901	0x32c9	0x931	5b01c93231091d0c7ec238f7e801b9058ff75ed6d5003d01c3372029df7910c0						158	78				covered_synthetic_fallthrough		0x331c7a	158	78	+0x4	next = 78@0x883c0:5, ip += +0x4; dispatch_model=static_100; state=state_add_const	hidden_span_of_17:5	85	20	20	20	0x87050228:16,0x539f2b30:4	0x0:20	0xbfe87e62:16,0x53973f31:4	0x0:20	347:85	5b01:85
046	278	0x331c8b	0x331e88	0x331e88	130	long_branch_forward	27@0x33170b-0x333bcf+0x580	0x12	0x0	0x0	0x2	0x3a	0xda	0x12	0x0	0x200	0xda3a	120000023ada328c97e7d799009246e80166802e08e8987ef2f3ab00e80131f5						334	354				decoded_control	280	0x332105	334	354	+0x288	next = table[354], ip += 0x288		85	20	20	20	0x3ffdb24f:20	0x0:20	0x16833a00:20	0x0:20	18:85	1200:85
046	279	0x331e8e	0x332105	0x332105	163	long_branch_backedge	27@0x33170b-0x333bcf+0x783	0x74	0xe	0x3a	0x70	0x7f	0xd8	0xe74	0x3a0e	0x703a	0xd87f	740e3a707fd8405307e8010c45b03f003d0143b1d02f2bafaecf68282efeb9db						117	354				decoded_control	277	0x331b79	117	354	-0x584	next = table[354], ip -= 0x584		68	16	16	16	0x99816d59:16	0x29b30f74:16	0x8082248:16	0x29526ddf:16	300:68	740e3a:68
046	280	0x332105	0x332469	0x332469	229	exact_instruction	27@0x33170b-0x333bcf+0x9fa	0xfe	0x0	0xe8	0x1	0x42	0x47	0xfe	0xe800	0x1e8	0x4742	fe00e80142478b09e8017f74bfa5d3e16800354be8003d015975fec15ebd4874						174	356				covered_synthetic_fallthrough		0x332469	174	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	hidden_span_of_14:1	17	4	4	4	0x87db5d34:4	0x0:4	0x61be58a4:4	0x0:4	254:17	fe00:17
046	281	0x332477	0x3326a9	0x3326a9	150	exact_instruction	27@0x33170b-0x333bcf+0xd6c	0x54	0x1	0xc4	0x13	0x99	0x0	0x154	0xc401	0x13c4	0x99	5401c4139900bf9e26d6d80904e801a9faeb880f01e4951b5127cb02a818e801						123	216				covered_synthetic_fallthrough		0x3326a9	123	216	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	hidden_span_of_14:1	17	4	4	4	0xd6a77f34:4	0x0:4	0x6c865134:4	0x0:4	340:17	5401:17
046	282	0x3326b7	0x33292f	0x33292f	168	exact_instruction	27@0x33170b-0x333bcf+0xfac	0x33	0x1	0x3a	0xf5	0xae	0x99	0x133	0x3a01	0xf53a	0x99ae	33013af5ae99006ed9740b9900e8012678c0f0e5ad2e5e26d81d469ce801a286						158	356				covered_synthetic_fallthrough		0x33292f	158	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	hidden_span_of_14:1	17	4	4	4	0x69a34a52:4	0x0:4	0x37d04120:4	0x0:4	307:17	3301:17
