program	range	blocks	rows	primary_trace_rows	string_refs	exact_string_contexts	top_string_texts	top_string_opcodes	behavior_tags	confidence	evidence	external_edges	next_action
000	0xd0ac0..0xd1445	7	633	1086	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
001	0xd3fac..0xd4581	3	380	380	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
002	0xd476e..0xd57f4	8	1080	1080	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
003	0xd5a12..0xd5ebc	3	313	313	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
004	0xd718e..0xd790a	4	489	489	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
005	0xda38f..0xda607	2	157	157	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
006	0xdac57..0xdaf39	2	194	194	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
007	0x11ac5e..0x11bbf4	8	1024	1024	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
008	0x11bc28..0x11bf29	3	188	188	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
009	0x11bf5d..0x11c276	3	194	194	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
010	0x11c2aa..0x11de59	15	1823	1823	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	3	confirm tags by reducing nearby opcode windows and native/import bridge targets
011	0x11de9f..0x11e3bb	4	326	326	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
012	0x11e574..0x11ef0e	5	632	632	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
013	0x11ef65..0x11f4da	3	356	356	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
014	0x1209d2..0x120ebe	3	320	320	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
015	0x1210d6..0x121ada	7	642	642	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
016	0x121b31..0x12201d	3	319	319	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
017	0x122074..0x1222ed	2	157	157	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
018	0x122344..0x1226e6	3	229	229	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
019	0x122a46..0x122e3c	2	258	258	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
020	0x128952..0x12906f	3	477	477	1	1	FILTERS_MODE_IPREFETCH	vmop_333_plus0x4_state_add_const_slot_multi_path:1	control_transfer_or_native_bridge_candidate	low_to_medium	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
021	0x1705a9..0x17452e	26	4230	4230	1	1	pthread_mutexattr_init	vmop_337_plus0x4_state_add_const_slot_multi_path:1	threading_sync	low_to_medium	threading_sync:pthread,mutex	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
022	0x176883..0x17731c	5	698	698	1	1	unsigned __int128	vmop_330_plus0x5_state_add_const_slot_u16_0:1	control_transfer_or_native_bridge_candidate	low_to_medium	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
023	0x177353..0x177ca2	5	608	608	0	0			control_transfer_or_native_bridge_candidate	low	external_or_hidden folded edge present	1	confirm tags by reducing nearby opcode windows and native/import bridge targets
