source_program	case_state	block	terminal_kind	successor_vm_ip	target_program	relation	successor_entry	edge_kind	edge_delta	edge_semantic_ir	status
000	0xd0ac0	0	exact_instruction	0xd0c5f	000	intra_program	354	fallthrough	+0x2	next = 354@0xc2241:1, ip += +0x2; dispatch_model=static_100; state=state_mixed	ready_for_mba_reduction
000	0xd0c5f	1	long_branch_forward	0xd0eb3	000	intra_program	354	decoded_control	+0x23e	next = table[354], ip += 0x23e	ready_for_mba_reduction
000	0xd0c86	2	exact_instruction	0xd0d43	000	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:4, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
000	0xd0d51	3	long_branch_backedge	0xd0c5f	000	intra_program	354	decoded_control	-0x24c	next = table[354], ip -= 0x24c	ready_for_mba_reduction
000	0xd0eb3	4	exact_instruction	0xd1002	000	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
000	0xd1010	5	exact_instruction	0xd1284	000	intra_program	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
000	0xd1292	6	exact_instruction	0xd1445		external_or_exit	175	covered_synthetic_fallthrough	+0x4	next = 175@0x9c08f:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
001	0xd3fac	7	exact_instruction	0xd420b	001	intra_program	321	covered_synthetic_fallthrough	+0x4	next = 321@0xbb1dd:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
001	0xd421c	8	exact_instruction	0xd43cf	001	intra_program	80	covered_synthetic_fallthrough	+0x4	next = 80@0x88a58:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
001	0xd43e0	9	long_branch_forward	0xd476e	002	inter_program	354	decoded_control	+0x20d	next = table[354], ip += 0x20d	ready_for_mba_reduction
002	0xd476e	10	exact_instruction	0xd4889	002	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
002	0xd4897	11	exact_instruction	0xd4a83	002	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
002	0xd4a91	12	exact_instruction	0xd4beb	002	intra_program	316	covered_synthetic_fallthrough	+0x5	next = 316@0xb987b:1, ip += +0x5; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
002	0xd4bfc	13	exact_instruction	0xd4cb9	002	intra_program	311	covered_synthetic_fallthrough	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
002	0xd4cc7	14	exact_instruction	0xd5044	002	intra_program	69	covered_synthetic_fallthrough	+0x4	next = 69@0x85f24:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
002	0xd5055	15	exact_instruction	0xd521e	002	intra_program	321	covered_synthetic_fallthrough	+0x4	next = 321@0xbb1dd:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
002	0xd522f	16	exact_instruction	0xd5641	002	intra_program	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
002	0xd564f	17	long_branch_forward	0xd5a12	003	inter_program	354	decoded_control	+0x23e	next = table[354], ip += 0x23e	ready_for_mba_reduction
003	0xd5a12	18	exact_instruction	0xd5b17	003	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
003	0xd5b25	19	exact_instruction	0xd5cfb	003	intra_program	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
003	0xd5d09	20	exact_instruction	0xd5ebc		external_or_exit	195	covered_synthetic_fallthrough	+0x4	next = 195@0x9fb50:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
004	0xd718e	21	exact_instruction	0xd73ae	004	intra_program	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
004	0xd73bc	22	exact_instruction	0xd75f1	004	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
004	0xd75ff	23	exact_instruction	0xd77c8	004	intra_program	69	covered_synthetic_fallthrough	+0x4	next = 69@0x85f24:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
004	0xd77d9	24	long_branch_forward	0xda38f	005	inter_program	171	decoded_control	+0x2aa5	next = table[171], ip += 0x2aa5	ready_for_mba_reduction
005	0xda38f	25	exact_instruction	0xda4b0	005	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
005	0xda4be	26	long_branch_forward	0xdac57	006	inter_program	165	decoded_control	+0x670	next = table[165], ip += 0x670	ready_for_mba_reduction
006	0xdac57	27	exact_instruction	0xdad78	006	intra_program	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	ready_for_mba_reduction
