program	range	blocks	rows	incoming_edges	incoming_programs	outgoing_edges	outgoing_targets	intra_program_edges	inter_program_edges	external_or_exit_edges
000	0xd0ac0..0xd1445	7	633	6	000:6	7	000:6,external_or_exit:1	6	0	1
001	0xd3fac..0xd4581	3	380	2	001:2	3	001:2,002:1	2	1	0
002	0xd476e..0xd57f4	8	1080	8	002:7,001:1	8	002:7,003:1	7	1	0
003	0xd5a12..0xd5ebc	3	313	3	003:2,002:1	3	003:2,external_or_exit:1	2	0	1
004	0xd718e..0xd790a	4	489	3	004:3	4	004:3,005:1	3	1	0
005	0xda38f..0xda607	2	157	2	004:1,005:1	2	005:1,006:1	1	1	0
006	0xdac57..0xdaf39	2	194	2	005:1,006:1	2	006:1,external_or_exit:1	1	0	1
007	0x11ac5e..0x11bbf4	8	1024	7	007:7	8	007:7,008:1	7	1	0
008	0x11bc28..0x11bf29	3	188	3	008:2,007:1	3	008:2,009:1	2	1	0
009	0x11bf5d..0x11c276	3	194	3	009:2,008:1	3	009:2,010:1	2	1	0
010	0x11c2aa..0x11de59	15	1823	13	010:12,009:1	15	010:12,055:1,056:1,011:1	12	3	0
011	0x11de9f..0x11e3bb	4	326	4	011:3,010:1	4	011:3,012:1	3	1	0
012	0x11e574..0x11ef0e	5	632	5	012:4,011:1	5	012:4,013:1	4	1	0
013	0x11ef65..0x11f4da	3	356	3	013:2,012:1	3	013:2,014:1	2	1	0
014	0x1209d2..0x120ebe	3	320	3	014:2,013:1	3	014:2,015:1	2	1	0
015	0x1210d6..0x121ada	7	642	7	015:6,014:1	7	015:6,016:1	6	1	0
016	0x121b31..0x12201d	3	319	3	016:2,015:1	3	016:2,017:1	2	1	0
017	0x122074..0x1222ed	2	157	2	016:1,017:1	2	017:1,018:1	1	1	0
018	0x122344..0x1226e6	3	229	3	018:2,017:1	3	018:2,019:1	2	1	0
019	0x122a46..0x122e3c	2	258	2	018:1,019:1	2	019:1,external_or_exit:1	1	0	1
