program	path	entrypoint	source	site	value	string_vaddr	string_offset	section_index	section_name	string_size	match_class	text
020	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_020.c	vm_program_atlas_020_decompiled_folded	bytecode_u32	0x128e61	0x38f0	0x38e5	0xb	5	.dynstr	0x16	string_interior	FILTERS_MODE_IPREFETCH
021	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_021.c	vm_program_atlas_021_decompiled_folded	bytecode_u32	0x172f32	0x3399	0x3398	0x1	5	.dynstr	0x16	string_interior	pthread_mutexattr_init
022	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_022.c	vm_program_atlas_022_decompiled_folded	bytecode_u32	0x1772f2	0x5f073a	0x5f072a	0x10	16	.rodata	0x11	string_interior	unsigned __int128
031	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_031.c	vm_program_atlas_031_decompiled_folded	bytecode_u32	0x2318ea	0x411a	0x4112	0x8	5	.dynstr	0x9	string_interior	_ZGTtdlPv
034	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_034.c	vm_program_atlas_034_decompiled_folded	bytecode_u32	0x26db58	0x58518e	0x58518e	0x0	16	.rodata	0x5	string_start	YYYYY
039	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_039.c	vm_program_atlas_039_decompiled_folded	bytecode_u32	0x2c0363	0x331b	0x3316	0x5	5	.dynstr	0x6	string_interior	socket
040	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_040.c	vm_program_atlas_040_decompiled_folded	bytecode_u32	0x2c13a3	0x5843fc	0x5843f0	0xc	16	.rodata	0x14	string_interior	basic_string::append
041	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_041.c	vm_program_atlas_041_decompiled_folded	bytecode_u32	0x30eebd	0x3000	0x2ff2	0xe	5	.dynstr	0x19	string_interior	_ITM_registerTMCloneTable
041	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_041.c	vm_program_atlas_041_decompiled_folded	bytecode_u32	0x30eee5	0x4000	0x3ff6	0xa	5	.dynstr	0xc	string_interior	__freelocale
041	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_041.c	vm_program_atlas_041_decompiled_folded	bytecode_u32	0x30f17b	0x31f5	0x31ef	0x6	5	.dynstr	0x16	string_interior	blake3_hasher_finalize
041	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_041.c	vm_program_atlas_041_decompiled_folded	bytecode_u32	0x310859	0x5f073a	0x5f072a	0x10	16	.rodata	0x11	string_interior	unsigned __int128
041	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_041.c	vm_program_atlas_041_decompiled_folded	bytecode_u32	0x315809	0x3800	0x3800	0x0	5	.dynstr	0x17	string_start	zydis_decoder_tree_root
042	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_042.c	vm_program_atlas_042_decompiled_folded	bytecode_u32	0x31b31e	0x3000	0x2ff2	0xe	5	.dynstr	0x19	string_interior	_ITM_registerTMCloneTable
042	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_042.c	vm_program_atlas_042_decompiled_folded	bytecode_u32	0x31b346	0x4000	0x3ff6	0xa	5	.dynstr	0xc	string_interior	__freelocale
