program	blocks	ready_cases	missing_cases
000	7	7	0
001	3	3	0
002	8	8	0
003	3	3	0
004	4	4	0
005	2	2	0
006	2	2	0
007	8	8	0
008	3	3	0
009	3	3	0
010	15	15	0
011	4	4	0
012	5	5	0
013	3	3	0
014	3	3	0
015	7	7	0
016	3	3	0
017	2	2	0
018	3	3	0
019	2	2	0
020	3	3	0
021	26	26	0
022	5	5	0
023	5	5	0
024	3	3	0
025	7	7	0
026	13	13	0
027	1	1	0
028	9	9	0
029	6	6	0
030	4	4	0
031	2	2	0
032	16	16	0
033	1	1	0
034	1	1	0
035	13	13	0
036	3	3	0
037	2	2	0
038	1	1	0
039	4	4	0
040	2	2	0
041	13	13	0
042	28	28	0
043	10	10	0
044	1	1	0
045	4	4	0
046	18	18	0
047	2	2	0
048	13	13	0
049	1	1	0
050	15	15	0
051	2	2	0
052	5	5	0
053	9	9	0
054	2	2	0
055	45	45	0
056	22	22	0
057	1	1	0
058	1	1	0
059	24	24	0
060	4	4	0
061	22	22	0
062	4	4	0
063	28	28	0
064	2	2	0
065	6	6	0
