program	start_vm_ip	end_vm_ip	source_block	row_kind	source_entry	opcode_name	bytes	state_kind	dispatch_slot_kind	target_entry	target	delta	semantic_ir
000	0xd0ac0	0xd0ac4	0@0xd0ac0-0xd144b+0x0	exact_instruction	310	vmop_310_plus0x4_state_preserve_slot_const_or_affine	e801a500	state_preserve	slot_const_or_affine	165	165@0x9a24c:1	+0x4	next = 165@0x9a24c:1, ip += +0x4; dispatch_model=static_100; state=state_preserve
000	0xd0ac4	0xd0ac6	0@0xd0ac0-0xd144b+0x4	exact_instruction	165	vmop_165_plus0x2_state_const_post_slot_const_or_affine	1c00	state_const_post	slot_const_or_affine	28	28@0x7e390:1	+0x2	next = 28@0x7e390:1, ip += +0x2; dispatch_model=static_100; state=state_const_post
000	0xd0ac6	0xd0ac9	0@0xd0ac0-0xd144b+0x6	exact_instruction	28	vmop_028_plus0x3_state_add_const_slot_u16_0	000210	state_add_const	slot_u16_0	64	64@0x85059:1	+0x3	next = 64@0x85059:1, ip += +0x3; dispatch_model=static_100; state=state_mixed
000	0xd0ac9	0xd0acd	0@0xd0ac0-0xd144b+0x9	exact_instruction	64	vmop_064_plus0x4_state_add_const_slot_multi_path	8252183b	state_add_const	slot_multi_path	268	268@0xb0007:1	+0x4	next = 268@0xb0007:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0acd	0xd0ad1	0@0xd0ac0-0xd144b+0xd	exact_instruction	268	vmop_268_plus0x4_state_add_const_slot_multi_path	c9c31d9f	state_add_const	slot_multi_path	33	33@0x7f7c4:1	+0x4	next = 33@0x7f7c4:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0ad1	0xd0ad5	0@0xd0ac0-0xd144b+0x11	exact_instruction	33	vmop_033_plus0x4_state_add_const_slot_multi_path	e8012087	state_add_const	slot_multi_path	215	215@0xa4609:1	+0x4	next = 215@0xa4609:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0ad5	0xd0ad8	0@0xd0ac0-0xd144b+0x15	exact_instruction	215	vmop_215_plus0x3_state_mixed_slot_u16_0	d80a00	state_mixed	slot_u16_0	347	347@0xc088d:1	+0x3	next = 347@0xc088d:1, ip += +0x3; dispatch_model=static_100; state=state_mixed
000	0xd0ad8	0xd0adc	0@0xd0ac0-0xd144b+0x18	exact_instruction	347	vmop_347_plus0x4_state_add_const_slot_multi_path	13bdaf08	state_add_const	slot_multi_path	203	203@0xa1484:1	+0x4	next = 203@0xa1484:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0adc	0xd0ae0	0@0xd0ac0-0xd144b+0x1c	exact_instruction	203	vmop_203_plus0x4_state_add_const_slot_mba_stateful	df916797	state_add_const	slot_mba_stateful	315	315@0xb9451:1	+0x4	next = 315@0xb9451:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0ae0	0xd0ae4	0@0xd0ac0-0xd144b+0x20	exact_instruction	315	vmop_315_plus0x4_state_mixed_slot_mba_stateful	e801e1f3	state_mixed	slot_mba_stateful	114	114@0x90319:1	+0x4	next = 114@0x90319:1, ip += +0x4; dispatch_model=static_100; state=state_mixed
