program	path	rows	blocks	strings
000	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_000.vmops	633	7	
001	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_001.vmops	380	3	
002	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_002.vmops	1080	8	
003	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_003.vmops	313	3	
004	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_004.vmops	489	4	
005	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_005.vmops	157	2	
006	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_006.vmops	194	2	
007	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_007.vmops	1024	8	
008	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_008.vmops	188	3	
009	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_009.vmops	194	3	
010	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_010.vmops	1823	15	
011	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_011.vmops	326	4	
012	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_012.vmops	632	5	
013	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_013.vmops	356	3	
014	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_014.vmops	320	3	
015	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_015.vmops	642	7	
016	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_016.vmops	319	3	
017	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_017.vmops	157	2	
018	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_018.vmops	229	3	
019	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_019.vmops	258	2	
020	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_020.vmops	477	3	FILTERS_MODE_IPREFETCH
021	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_021.vmops	4230	26	pthread_mutexattr_init
022	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_022.vmops	698	5	unsigned __int128
023	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_023.vmops	608	5	
024	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_024.vmops	325	3	
025	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_025.vmops	929	7	
026	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_026.vmops	1496	13	
027	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_027.vmops	70	1	
028	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_028.vmops	1317	9	
029	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_029.vmops	436	6	
030	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_030.vmops	740	4	
031	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_031.vmops	315	2	_ZGTtdlPv
032	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_032.vmops	2708	16	
033	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_033.vmops	113	1	
034	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_034.vmops	1437	1	YYYYY
035	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_035.vmops	834	13	
036	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_036.vmops	272	3	
037	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_037.vmops	157	2	
038	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_038.vmops	14	1	
039	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_039.vmops	476	4	socket
040	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_040.vmops	165	2	basic_string::append
041	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_041.vmops	8444	13	_ITM_registerTMCloneTable; __freelocale; blake3_hasher_finalize; unsigned __int128; zydis_decoder_tree_root
042	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_042.vmops	3387	28	_ITM_registerTMCloneTable; __freelocale
043	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_043.vmops	554	10	
044	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_044.vmops	14	1	
045	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_045.vmops	520	4	pthread_cond_wait
046	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_046.vmops	2184	18	_ITM_registerTMCloneTable; __freelocale
047	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_047.vmops	220	2	
048	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_048.vmops	2333	13	_ITM_registerTMCloneTable; __freelocale; long double
