program	path	rows	state_reduced_rows	dispatch_reduced_rows	string_ref_rows	unresolved_rows	family_mix
000	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_000.vmpseudo	633	591	580	0	2	obfuscated_table_dispatch:580,operand_table_dispatch:43,fixed_or_affine_dispatch:8,long_or_backedge_control:2
001	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_001.vmpseudo	380	348	333	0	1	obfuscated_table_dispatch:333,operand_table_dispatch:42,fixed_or_affine_dispatch:4,long_or_backedge_control:1
002	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_002.vmpseudo	1080	980	951	0	1	obfuscated_table_dispatch:951,operand_table_dispatch:118,fixed_or_affine_dispatch:10,long_or_backedge_control:1
003	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_003.vmpseudo	313	288	275	0	0	obfuscated_table_dispatch:275,operand_table_dispatch:34,fixed_or_affine_dispatch:4
004	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_004.vmpseudo	489	454	444	0	1	obfuscated_table_dispatch:444,operand_table_dispatch:39,fixed_or_affine_dispatch:5,long_or_backedge_control:1
005	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_005.vmpseudo	157	145	140	0	1	obfuscated_table_dispatch:140,operand_table_dispatch:14,fixed_or_affine_dispatch:2,long_or_backedge_control:1
006	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_006.vmpseudo	194	178	172	0	0	obfuscated_table_dispatch:172,operand_table_dispatch:19,fixed_or_affine_dispatch:3
007	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_007.vmpseudo	1024	953	920	0	1	obfuscated_table_dispatch:920,operand_table_dispatch:94,fixed_or_affine_dispatch:9,unresolved_dispatch:1
008	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_008.vmpseudo	188	173	165	0	1	obfuscated_table_dispatch:165,operand_table_dispatch:19,fixed_or_affine_dispatch:3,long_or_backedge_control:1
009	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_009.vmpseudo	194	178	174	0	1	obfuscated_table_dispatch:174,operand_table_dispatch:15,fixed_or_affine_dispatch:4,long_or_backedge_control:1
010	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_010.vmpseudo	1823	1685	1634	0	1	obfuscated_table_dispatch:1634,operand_table_dispatch:171,fixed_or_affine_dispatch:17,long_or_backedge_control:1
011	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_011.vmpseudo	326	304	299	0	1	obfuscated_table_dispatch:299,operand_table_dispatch:22,fixed_or_affine_dispatch:4,long_or_backedge_control:1
012	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_012.vmpseudo	632	582	562	0	1	obfuscated_table_dispatch:562,operand_table_dispatch:62,fixed_or_affine_dispatch:7,long_or_backedge_control:1
