source_entry	source_target	target_entry	target	delta	events	unique_start_ips	unique_end_ips	byte_statuses	sites	start_ips	end_ips	source_observations	operand_min_len	operand_shape	operand_statuses	top_operand_bytes	top_prefixes	lifted_ir
95	0x8c41c	86	0x8a37f	+0x2341b	2	1	1	prefix_32_of_144411:2	dispatch@0xc80b9:2	0x249956	0x26cd71	exact:2	0xa	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4,u16_6@+0x6,u32_6@+0x6	file_match:2	7abe24008000e0540600:2	7abe24008000e05406006201e8017200:2	sampled operand footprint 0xa; observed target table[86], delta +0x2341b
95	0x8c41c	42	0x815ea	+0x1d02e	1	1	1	prefix_32_of_118830:1	dispatch@0xc80b9:1	0x31e619	0x33b647	exact:1	0xa	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4,u16_6@+0x6,u32_6@+0x6	file_match:1	690432008000e04d0700:1	690432008000e04d0700a500e8014000:1	sampled operand footprint 0xa; observed target table[42], delta +0x1d02e
175	0x9c08f	310	0xb8556	+0x2cef7	1	1	1	prefix_32_of_184055:1	dispatch@0xcdac7:1	0x316672	0x343569	central_or_long:1	0x6	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4	file_match:1	513307008000:1	5133070080000f95c09c41535241554d:1	sampled operand footprint 0x6; observed target table[310], delta +0x2cef7
195	0x9fb50	86	0x8a37f	-0x2306	1	1	1	backedge_sample:1	dispatch@0xc80b9:1	0x26f077	0x26cd71	sampled_backedge:1	0x6	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4	file_match:1	7e5606008000:1	7e56060080009c5050ff3424488b0424:1	sampled operand footprint 0x6; observed target table[86], delta -0x2306
195	0x9fb50	310	0xb8556	-0x542a	1	1	1	backedge_sample:1	dispatch@0xc80b9:1	0x36a09c	0x364c72	sampled_backedge:1	0x6	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4	file_match:1	517c07008000:1	517c070080000f92c09c415241564d89:1	sampled operand footprint 0x6; observed target table[310], delta -0x542a
195	0x9fb50	310	0xb8556	-0x8c8e	1	1	1	backedge_sample:1	dispatch@0xc80b9:1	0x36daed	0x364e5f	sampled_backedge:1	0x6	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4	file_match:1	ad7e07008000:1	ad7e0700800069d2fd4303009c686259:1	sampled operand footprint 0x6; observed target table[310], delta -0x8c8e
278	0xb2342	323	0xbb6e6	+0x221770	1	1	1	prefix_32_of_2234224:1	dispatch@0xcdac7:1	0x11db08	0x33f278	exact:1	0xa	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,b4@+0x4,u16_4@+0x4,u32_6@+0x6	file_match:1	9d451200800020540700:1	9d4512008000205407006201e801cb00:1	sampled operand footprint 0xa; observed target table[323], delta +0x221770
278	0xb2342	86	0x8a37f	+0x2426ba	1	1	1	prefix_32_of_2369210:1	dispatch@0xc80b9:1	0x11dcf5	0x3603af	exact:1	0xa	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,b4@+0x4,u16_4@+0x4,u32_6@+0x6	file_match:1	11471200800040750700:1	11471200800040750700e801a5002b00:1	sampled operand footprint 0xa; observed target table[86], delta +0x2426ba
299	0xb6bba	169	0x9af18	-0x7fe6	1	1	1	backedge_sample:1	dispatch@0xc80b9:1	0x33e9e2	0x3369fc	sampled_backedge:1	0x6	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4	file_match:1	795007008000:1	7950070080000f92c09c689a07ed6355:1	sampled operand footprint 0x6; observed target table[169], delta -0x7fe6
299	0xb6bba	310	0xb8556	-0xcf8b	1	1	1	backedge_sample:1	dispatch@0xc80b9:1	0x371fd7	0x36504c	sampled_backedge:1	0x6	u16_0@+0x0,u32_0@+0x0,u16_2@+0x2,u16_4@+0x4	file_match:1	f68107008000:1	f681070080000f95c09c4881ec080000:1	sampled operand footprint 0x6; observed target table[310], delta -0xcf8b
311	0xb86f8	42	0x815ea	+0x169eb	1	1	1	prefix_32_of_92651:1	dispatch@0xc80b9:1	0x31e052	0x334a3d	exact:1	0xa	b0@+0x0,u32_0@+0x0,u16_1@+0x1,u16_3@+0x3,u16_4@+0x4,u32_6@+0x6	file_match:1	a0003200800020490700:1	a0003200800020490700e801a500c400:1	sampled operand footprint 0xa; observed target table[42], delta +0x169eb
311	0xb86f8	42	0x815ea	-0x34ced	1	1	1	backedge_sample:1	dispatch@0xcdac7:1	0x34355f	0x30e872	exact:1	0xa	b0@+0x0,u32_0@+0x0,u16_1@+0x1,u16_3@+0x3,u16_4@+0x4,u32_6@+0x6	file_match:1	835934008000602e0700:1	835934008000602e0700e801ab005401:1	sampled operand footprint 0xa; observed target table[42], delta -0x34ced
