source_entry	source_target	opcode_name	class	events	ir_rows	delta	shape	word_shape	operand_layout	word_layout	state_kind	state_class_mix	state_effect_rows	state_effect_preview	dispatch_slot_kind	dispatch_slot_preview	ip_advance_ir	long_branch_ir	sampled_operand_ir	top_bytes	programs	readability_status	state_effect_ir	dispatch_slot_ir
0	0x78561	vmop_000_plus0x5_state_add_const_slot_mba_stateful	static_validated	89	5	+0x5	EECCE	EC	b0=enum5(0x8d:41,0x4a:17,0xbe:14,0xef:10,0x1a:7);b1=enum5(0xc2:41,0x34:17,0x06:14,0x7f:10,0xf6:7);b2=0x3d;b3=0x01;b4=enum5(0x35:41,0xa3:17,0xe5:14,0x0f:10,0xb5:7)	w0=enum5(0xc28d:41,0x344a:17,0x06be:14,0x7fef:10,0xf61a:7);w1=0x013d	state_add_const	state_add_const:4	5	state0 ^ 0x1966e0e7 - u16_0 + state0 ^ 0x1966e0e7 - 0x251a0141	slot_mba_stateful	48=(mask32((mask32(u16_0 + (mask32(state0 ^ 0x1966e0e7)))) - 0x251a0141)) & 0xffff	48=0x5			1af63d01b5:1,4a343d01a3:1,be063d01e5:1,ef7f3d010f:1,8dc23d0135:1	042:1,046:1,048:1,055:1,061:1	named_structural;needs_algebraic_simplification	state0 ^ 0x1966e0e7 - u16_0 + state0 ^ 0x1966e0e7 - 0x251a0141	48=(mask32((mask32(u16_0 + (mask32(state0 ^ 0x1966e0e7)))) - 0x251a0141)) & 0xffff
3	0x78c77	vmop_003_plus0x5_state_add_const_slot_multi_path	static_validated	3434	401	+0x5	VVCCC	VC	b0=var20(top=0x19:19.7%);b1=var60(top=0x26:9.2%);b2=0x00;b3=0x3d;b4=0x01	w0=var289(top=0x2799:5.4%);w1=0x3d00	state_add_const	state_add_const:195,state_mixed:94	401	state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b ^ u16_0 ^ state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b + 0x4bc0d288	slot_multi_path	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - 0x1c03cc82)) - flags0)) | 0x38c49877)) - 0x742d9511)) + 0x4ddaed7b)))) + 0x4bc0d288)) & 0xffff	128=0x5			9904003d01:7,9903003d01:5,1160003d01:5,1100003d01:4,19c1003d01:4,19c0003d01:4,1920003d01:4,9104003d01:3	055:68,041:43,056:31,042:27,063:25,052:22,048:21,021:17,050:14,046:13,061:13,026:9	named_structural;needs_algebraic_simplification	state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b ^ u16_0 ^ state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b + 0x4bc0d288	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - 0x1c03cc82)) - flags0)) | 0x38c49877)) - 0x742d9511)) + 0x4ddaed7b)))) + 0x4bc0d288)) & 0xffff
9	0x79da3	vmop_009_plus0x5_state_formula_slot_unknown	partial	3	1	+0x5	CCCCC	CC	b0=0x69;b1=0x3d;b2=0x01;b3=0xb4;b4=0x4a	w0=0x3d69;w1=0xb401	state_formula		1	state0 & u16_3 - state0 ^ 0x25d88329	slot_unknown					693d01b44a:1	056:1	named_structural;needs_algebraic_simplification	state0 & u16_3 - state0 ^ 0x25d88329	
13	0x7aee8	vmop_013_plus0x5_state_add_const_slot_multi_path	static_validated	5	2	+0x5	EECCE	EC	b0=enum2(0x9e:4,0x6a:1);b1=enum2(0x7e:4,0x75:1);b2=0x3d;b3=0x01;b4=enum2(0x25:4,0x11:1)	w0=enum2(0x7e9e:4,0x756a:1);w1=0x013d	state_add_const	state_add_const:2	2	state0 ^ 0x67934603 ^ flags0 - 0x1c36555 | 0x771fee31 | 0x1490ac71 - 0x2de02e8	slot_multi_path	5=(mask32((mask32(u16_0 - (mask32((mask32(state0 ^ 0x67934603)) ^ (mask32((mask32((mask32((mask32(flags0 - 0x1c36555)) | 0x771fee31)) | 0x1490ac71)) - 0x2de02e8)))))) - 0x5ad3c2e8)) & 0xffff	5=0x5			6a753d0111:1,9e7e3d0125:1	002:1,052:1	named_structural;needs_algebraic_simplification	state0 ^ 0x67934603 ^ flags0 - 0x1c36555 | 0x771fee31 | 0x1490ac71 - 0x2de02e8	5=(mask32((mask32(u16_0 - (mask32((mask32(state0 ^ 0x67934603)) ^ (mask32((mask32((mask32((mask32(flags0 - 0x1c36555)) | 0x771fee31)) | 0x1490ac71)) - 0x2de02e8)))))) - 0x5ad3c2e8)) & 0xffff
17	0x7bae9	vmop_017_plus0x5_state_add_const_slot_multi_path	static_validated	758	73	+0x5	VVEVV	VV	b0=var54(top=0x12:33.9%);b1=var37(top=0xff:35.9%);b2=enum4(0x3a:321,0x62:293,0x32:75,0x50:69);b3=var28(top=0x10:34.4%);b4=var12(top=0xa0:35.0%)	w0=var68(top=0xff12:33.9%);w1=var47(top=0x1062:33.8%)	state_add_const	state_add_const:47	73	state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698 + u16_3 - state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698	slot_multi_path	128=(mask32(u16_3 - (mask32((mask32((mask32(state0 | (mask32(flags0 ^ 0x4365071c)))) & (mask32((mask32(u16_0 ^ (mask32(state0 | (mask32(flags0 ^ 0x4365071c)))))) + (mask32(flags0 ^ 0x4365071c)))))) ^ 0x95f9698)))) & 0xffff	128=0x5			86f93a0897:1,c6bc3a0897:1,85dc3a189f:1,12ff6210a0:1,aef050d09d:1,3cf93ad09d:1,266b3a309d:1,79fd50b89c:1	055:15,042:11,052:9,056:8,063:7,048:4,046:3,061:3,026:2,041:2,050:2,059:2	named_structural;needs_algebraic_simplification	state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698 + u16_3 - state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698	128=(mask32(u16_3 - (mask32((mask32((mask32(state0 | (mask32(flags0 ^ 0x4365071c)))) & (mask32((mask32(u16_0 ^ (mask32(state0 | (mask32(flags0 ^ 0x4365071c)))))) + (mask32(flags0 ^ 0x4365071c)))))) ^ 0x95f9698)))) & 0xffff
18	0x7be9b	vmop_018_plus0x3_state_add_const_slot_multi_path	static_validated	25448	2502	+0x3	VVV	V	b0=var149(top=0xa0:5.4%);b1=var200(top=0x0a:6.4%);b2=var165(top=0x3a:10.5%)	w0=var1783(top=0x0620:1.2%)	state_add_const	state_add_const:1333,state_mixed:120,state_const_post:18	2502	state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b - u16_0 - state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b	slot_multi_path	99=(mask32(u16_0 - (mask32((mask32((mask32(state0 & flags0)) - 0x6382ce20)) & flags0)))) & 0xffff | 29=(mask32(u16_0 - (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))) - 0x6382ce20)) & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))))) & 0xffff	128=0x3			e8053a:11,880a3a:10,382b16:9,00023a:9,10083a:7,a00a3a:7,60053a:5,e8043a:5	041:292,055:184,056:174,021:167,032:120,042:103,063:93,061:87,050:78,059:73,048:72,046:70	named_structural;needs_algebraic_simplification	state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b - u16_0 - state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b	99=(mask32(u16_0 - (mask32((mask32((mask32(state0 & flags0)) - 0x6382ce20)) & flags0)))) & 0xffff | 29=(mask32(u16_0 - (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))) - 0x6382ce20)) & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))))) & 0xffff
20	0x7c62b	vmop_020_plus0x4_state_add_const_slot_multi_path	static_validated	9485	857	+0x4	CCVV	CV	b0=0xe8;b1=0x01;b2=var220(top=0xa5:4.7%);b3=var173(top=0x77:9.9%)	w0=0x01e8;w1=var728(top=0x7ca5:3.7%)	state_add_const	state_add_const:421,state_mixed:103,state_const_post:2	857	state0 | flags0 | 0x180e72f2 - 0x36332ac8 - flags0 ^ 0x58f71b08 & 0x17188826 & 0x1fa2014f | 0x38e67f26 - flags0 ^ 0x58f71b08 & 0x17188826 & u16_2 ^ state0 | flags0 | 0x180e72f2 - 0x36332ac8 - flags0 ^ 0x58f71b08 & 0x17188826 & 0x1fa2014f | 0x38e67f26 - flags0 ^ 0x58f71b08 & 0x17188826	slot_multi_path	67=(mask32(u16_2 ^ (mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 | 0x180e72f2)))) - 0x36332ac8)) - (mask32(flags0 & 0x1fa2014f)))) | 0x38e67f26)) - flags0)))) & 0xffff | 61=(mask32(u16_2 ^ (mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 | 0x180e72f2)))) - 0x3633...#19a	128=0x4			e801f97a:7,e801d97a:6,e801dd7a:6,e8018d79:5,e8010d79:4,e801d17f:4,e8018d76:4,e8018577:4	041:120,021:70,056:53,032:39,055:34,010:30,002:27,048:26,025:25,042:25,061:24,059:22	named_structural;needs_algebraic_simplification	state0 | flags0 | 0x180e72f2 - 0x36332ac8 - flags0 ^ 0x58f71b08 & 0x17188826 & 0x1fa2014f | 0x38e67f26 - flags0 ^ 0x58f71b08 & 0x17188826 & u16_2 ^ state0 | flags0 | 0x180e72f2 - 0x36332ac8 - flags0 ^ 0x58f71b08 & 0x17188826 & 0x1fa2014f | 0x38e67f26 - flags0 ^ 0x58f71b08 & 0x17188826	67=(mask32(u16_2 ^ (mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 | 0x180e72f2)))) - 0x36332ac8)) - (mask32(flags0 & 0x1fa2014f)))) | 0x38e67f26)) - flags0)))) & 0xffff | 61=(mask32(u16_2 ^ (mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 | 0x180e72f2)))) - 0x36332ac8)) - (mask32((mask32((mask32(flags0 ^ 0x58f71b08)) & 0x17188826)) & 0x1fa2014f)))) | 0x38e67f2...#55949319b084
26	0x7dbbb	vmop_026_plus0x4_state_add_const_slot_multi_path	static_validated	9886	850	+0x4	VVCC	VC	b0=var176(top=0x9e:4.5%);b1=var242(top=0xcf:3.6%);b2=0xe8;b3=0x01	w0=var832(top=0x5a9e:2.6%);w1=0x01e8	state_add_const	state_add_const:448,state_mixed:16	850	state0 - 0x471264ca + flags0 - state0 ^ 0x5fcdb203 & 0x637d285c + 0x44b4a975 ^ state0 - 0x471264ca | 0x2a01f150 | 0x7bdf07f3 + 0x104dd6df ^ 0x505df542 ^ 0xe71ae1d & 0x6dbe9345 + 0x521a2f7b + state0 - 0x471264ca + 0x1bfb4659 - u16_0 ^ state0 - 0x471264ca + flags0 - state0 ^ 0x5fcdb203 & 0x637d285...#1d6	slot_multi_path	48=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - 0x471264ca)) + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - (mask32(state0 ^ 0x5fcdb203)))) ^ (mask32((mask32(state0 - 0x471264ca)) | ...#4dd3c457ce92 | 43=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - 0x471264ca)) + (mas...#1bf	128=0x4			1efbe801:2,3a90e801:2,ef05e801:2,f693e801:2,8e77e801:2,06b2e801:2,9266e801:2,3600e801:2	041:109,021:67,056:61,032:39,055:37,042:35,059:33,010:26,034:26,048:24,061:24,046:23	named_structural;needs_algebraic_simplification	state0 - 0x471264ca + flags0 - state0 ^ 0x5fcdb203 & 0x637d285c + 0x44b4a975 ^ state0 - 0x471264ca | 0x2a01f150 | 0x7bdf07f3 + 0x104dd6df ^ 0x505df542 ^ 0xe71ae1d & 0x6dbe9345 + 0x521a2f7b + state0 - 0x471264ca + 0x1bfb4659 - u16_0 ^ state0 - 0x471264ca + flags0 - state0 ^ 0x5fcdb203 & 0x637d285c + 0x44b4a975 ^ state0 - 0x471264ca | 0x2a01f150 | 0x7bdf07f3 + 0x104dd6df ^ 0x505df542 ^ 0xe71ae1d & 0x6dbe9345 + 0x521a2f7b + state0 - 0x471264ca + 0x1bfb4659 ^ 0x6f23a80c	48=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - 0x471264ca)) + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - (mask32(state0 ^ 0x5fcdb203)))) ^ (mask32((mask32(state0 - 0x471264ca)) | ...#4dd3c457ce92 | 43=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - 0x471264ca)) + (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - (mask32(state0 ^ 0x5fcdb203)))) & 0x637d285c)) + 0x44b4a97...#f947b75a6a0a
28	0x7e390	vmop_028_plus0x3_state_add_const_slot_u16_0	static_validated	26610	2334	+0x3	VVV	V	b0=var30(top=0xd8:12.5%);b1=var11(top=0x0a:24.2%);b2=var256(top=0x70:2.5%)	w0=var87(top=0x0ad8:8.1%)	state_add_const	state_add_const:1156,state_mixed:315,state_const_post:2	2334	state0 | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a + 0x43078fb1 & 0x282416bb ^ 0x53f50e0b ^ state0 | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a - 0x7e20fbab ^ flags0 ^ state0 | 0xb9ad02a & 0...#1cd	slot_u16_0	128=u16_0 & 0xffff	128=0x3			000210:6,a00a76:6,0002ec:5,00028c:5,9003ec:5,e80510:5,900310:5,80055e:4	041:292,055:187,056:143,021:132,032:103,042:101,063:89,050:79,059:72,048:70,010:69,061:64	named_structural	state0 | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a + 0x43078fb1 & 0x282416bb ^ 0x53f50e0b ^ state0 | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a - 0x7e20fbab ^ flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a + 0x43078fb1 & 0x282416bb ^ 0x53f50e0b ^ state0 | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a - 0x7e20fbab | u16_0	128=u16_0 & 0xffff
30	0x7e849	vmop_030_plus0x4_state_add_const_slot_multi_path	static_validated	2590	244	+0x4	VVVV	VV	b0=var131(top=0xb6:12.4%);b1=var144(top=0x64:10.0%);b2=var114(top=0xe3:9.9%);b3=var93(top=0x01:22.7%)	w0=var235(top=0x64b6:9.9%);w1=var197(top=0x57cf:9.9%)	state_add_const	state_add_const:145	244	state0 | flags0 & 0x614d4b17 + 0x64fd160c	slot_multi_path	113=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | flags0)) + 0x64fd160c)))) + 0x5903fc84)) & 0xffff | 15=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | (mask32(flags0 & 0x614d4b17)))) + 0x64fd160c)))) + 0x5903fc84)) & 0xffff	128=0x4			101fe801:5,5810e801:2,051fe801:2,1f102bb6:1,d519a848:1,b0b76800:1,0f187e00:1,ff0bee80:1	055:33,041:31,056:28,042:16,063:13,021:10,046:10,061:10,048:9,059:9,032:8,010:7	named_structural;needs_algebraic_simplification	state0 | flags0 & 0x614d4b17 + 0x64fd160c	113=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | flags0)) + 0x64fd160c)))) + 0x5903fc84)) & 0xffff | 15=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | (mask32(flags0 & 0x614d4b17)))) + 0x64fd160c)))) + 0x5903fc84)) & 0xffff
