observation	delta	shape	constant_bytes	ip_reads	frame_writes	table_reads	calls	rets	events	entries	top_entries	target_entropy	top_targets	top_sites	top_deltas
exact	+0x4	VVVV	-	+0x2/2,+0x0/2	0x23,0x170,0x0,0x16f,0xa	dyn/8	0	0	77036	3	258@0xadf2c:28058,114@0x90319:25300,64@0x85059:23678	3.400	18@0x7be9b:4732,215@0xa4609:3930,66@0x855ff:3065,199@0xa0631:2892,307@0xb8064:1689,28@0x7e390:1633	tail@0xae32f:28058,tail@0x90893:25300,tail@0x8536e:23678	+0x4:77036
exact	+0x3	VVV	-	+0x2/1,+0x0/2	0x23,0x170,0x194,0xa	dyn/8	0	0	71699	3	28@0x7e390:26611,18@0x7be9b:25449,199@0xa0631:19641	3.126	258@0xadf2c:4519,189@0x9e7af:3947,347@0xc088d:3608,114@0x90319:3181,337@0xbec0e:2850,340@0xbf435:2630	tail@0x7e7ca:26610,tail@0x7c308:25448,tail@0xa0a9c:19641	+0x3:71699
exact	+0x4	VVCC	b2=0xe8,b3=0x01	+0x2/2,+0x0/2	0x23,0x170,0xa	dyn/8	0	0	63478	8	305@0xb78b0:10874,123@0x91a59:10599,26@0x7dbbb:9887,161@0x9975a:9482,243@0xaab6a:9466,346@0xc0535:9073	4.039	28@0x7e390:3430,337@0xbec0e:2556,307@0xb8064:2023,64@0x85059:2017,258@0xadf2c:1941,18@0x7be9b:1925	tail@0xb7bb8:10874,tail@0x91e7f:10598,tail@0x7dfbd:9886,tail@0x99b3a:9482,tail@0xaaf3c:9466,tail@0xc088b:9073	+0x4:63478
exact	+0x4	VVVV	-	+0x2/2,+0x0/2	0x170,0x23,0x0,0x16f,0xa	dyn/8	0	0	50833	2	337@0xbec0e:26534,347@0xc088d:24299	2.870	297@0xb64d7:3262,18@0x7be9b:3182,307@0xb8064:2959,28@0x7e390:2615,66@0x855ff:1591,168@0x9aa83:1257	tail@0xbf126:26534,tail@0xc0d7b:24299	+0x4:50833
exact	+0x3	VVV	-	+0x0/1,+0x1/2	0x170,0x23,0x194,0xa	dyn/8	0	0	44735	2	307@0xb8064:24095,297@0xb64d7:20640	3.056	114@0x90319:2663,258@0xadf2c:2340,340@0xbf435:2240,176@0x9c10b:1332,347@0xc088d:1305,189@0x9e7af:1166	tail@0xb837a:24095,tail@0xb68ff:20640	+0x3:44735
exact	+0x3	VVV	-	+0x2/1,+0x0/2	0x170,0x23,0x194,0xa	dyn/8	0	0	43913	2	66@0x855ff:22739,215@0xa4609:21174	2.929	337@0xbec0e:2836,189@0x9e7af:2439,340@0xbf435:2378,258@0xadf2c:2145,64@0x85059:1561,114@0x90319:1359	tail@0x859f9:22739,tail@0xa4a5e:21174	+0x3:43913
exact	+0x4	CCVV	b0=0xe8,b1=0x01	+0x0/2,+0x2/2	0x170,0x23,0xa	dyn/8	0	0	41302	5	176@0x9c10b:10138,315@0xb9451:9921,20@0x7c62b:9485,158@0x99029:9432,183@0x9d495:2326	3.630	337@0xbec0e:3011,18@0x7be9b:2109,28@0x7e390:1939,340@0xbf435:1786,114@0x90319:1600,307@0xb8064:1576	tail@0x9c3f4:10138,tail@0xb9878:9921,tail@0x7ca96:9485,tail@0x992ca:9432,tail@0x9d692:2326	+0x4:41302
exact	+0x4	VVVV	-	+0x0/2,+0x2/2	0x170,0x23,0x81,0xa	dyn/8	0	0	39922	5	196@0x9fbcd:14371,172@0x9b68a:12531,268@0xb0007:12038,349@0xc140b:503,291@0xb4edd:479	3.816	28@0x7e390:1664,189@0x9e7af:1630,258@0xadf2c:1531,340@0xbf435:1527,18@0x7be9b:1181,305@0xb78b0:1153	tail@0xa0068:14371,tail@0x9ba72:12531,tail@0xb0458:12038,tail@0xc1923:503,tail@0xb540d:479	+0x4:39922
exact	+0x2	VV	-	+0x0/2	0x170,0x23,0xa	dyn/8	0	0	34558	7	108@0x8f24b:5239,144@0x95887:5218,160@0x994cf:5207,173@0x9ba74:5101,257@0xadbfd:4958,198@0xa037e:4955	4.338	215@0xa4609:1205,337@0xbec0e:1061,172@0x9b68a:1045,18@0x7be9b:941,258@0xadf2c:891,168@0x9aa83:748	tail@0x8f6cf:5239,tail@0x95b59:5218,tail@0x99757:5207,tail@0x9bd8c:5101,tail@0xadf29:4958,tail@0xa062e:4955	+0x2:34558
exact	+0x4	VVVE	-	+0x2/2,+0x0/2	0x170,0x23,0x0,0x16f,0xa	dyn/8	0	0	26112	1	340@0xbf435:26112	2.564	307@0xb8064:1748,28@0x7e390:1702,66@0x855ff:1362,185@0x9d964:1352,215@0xa4609:1274,18@0x7be9b:1062	tail@0xbf886:26112	+0x4:26112
