source_entry	opcode_name	state_kind	rows	program_count	byte_pattern_count	byte_target_delta_count	target_entries	target_mix	delta_mix	programs	resolution_status
9	vmop_009_plus0x5_state_formula_slot_unknown	state_formula	1	1	1	1	256	256:1	+0x5:1	056	exact_observed_table_no_formula
69	vmop_069_plus0xd_state_formula_slot_unknown	state_formula	1	1	1	1	310	310:1	+0xd:1	056	exact_observed_table_no_formula
75	vmop_075_minus0x6d_sampled_backedge_slot_unknown	sampled_backedge	14	12	12	12	165;171;354	165:8,354:4,171:2	+0x30:2,+0x288:2,+0x28b:2,+0x23e:1,+0x2aa5:1,+0x1d9:1,-0x6d:1,+0x24f:1,+0x4f0e:1,+0x211:1,+0x60:1	002;004;011;029;036;041;042;048;053;055;056;059	exact_observed_table_no_formula
112	vmop_112_plus0x5_state_formula_slot_unknown	state_formula	2	2	2	2	108;160	160:1,108:1	+0x5:2	026;055	exact_observed_table_no_formula
117	vmop_117_minus0x40_sampled_backedge_slot_unknown	sampled_backedge	18	15	14	14	165;171;354	354:9,165:8,171:1	-0x40:5,-0x2ce:2,-0x584:2,-0xbc0:2,+0x54:1,+0x55:1,+0x22:1,-0x767:1,-0xbc1:1,-0x50d:1,-0x55d:1	009;026;041;042;043;046;048;052;054;055;056;060;061;062;063	exact_observed_table_no_formula
142	vmop_142_plus0xa_state_formula_slot_unknown	state_formula	1	1	1	1	83	83:1	+0xa:1	061	exact_observed_table_no_formula
145	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	sampled_long_or_sparse	13	9	11	11	165;171;354	354:6,171:4,165:3	+0x30:3,+0x77:2,+0x28b:2,+0xbec:1,+0x74b:1,+0x288:1,+0x60:1,+0x279:1,+0x139:1	015;017;033;042;048;050;055;059;063	exact_observed_table_no_formula
175	vmop_175_plus0x2cef7_central_or_long_slot_unknown	central_or_long	1	1	1	1	310	310:1	+0x2cef7:1	041	exact_observed_table_no_formula
188	vmop_188_plus0x5_state_formula_slot_unknown	state_formula	1	1	1	1	173	173:1	+0x5:1	026	exact_observed_table_no_formula
195	vmop_195_minus0x2306_sampled_backedge_slot_unknown	sampled_backedge	3	3	3	3	86;310	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	034;060;062	exact_observed_table_no_formula
210	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	sampled_long_or_sparse	13	9	9	9	165;171;354	171:6,354:5,165:2	+0x30:4,+0x28b:3,+0x288:2,+0x670:1,+0x77:1,+0x211:1,+0x60:1	005;012;041;042;046;048;055;059;061	exact_observed_table_no_formula
225	vmop_225_plus0x5_state_formula_slot_unknown	state_formula	1	1	1	1	144	144:1	+0x5:1	063	exact_observed_table_no_formula
229	vmop_229_plus0x5_state_formula_slot_unknown	state_formula	1	1	1	1	352	352:1	+0x5:1	026	exact_observed_table_no_formula
246	vmop_246_plus0x78_sampled_long_or_sparse_slot_unknown	sampled_long_or_sparse	13	10	12	12	165;171;354	354:6,165:5,171:2	+0x21a:2,+0x288:2,+0x28b:2,+0x23e:1,+0x57:1,+0x724:1,+0x792:1,+0x211:1,+0x791:1,+0x78:1	000;022;043;052;053;055;056;059;063;064	exact_observed_table_no_formula
