source_entry	source_target	count	unique_vm_ips	top_sites	top_targets	top_ip_deltas	top_w0	top_w1	top_w2	top_w3	top_w4	top_w5
258	0xadf2c	28058	2268	tail@0xae32f:28058	307@0xb8064:1689,199@0xa0631:1547,297@0xb64d7:1508,215@0xa4609:1365,18@0x7be9b:1334	+0x4:28058	0x1e8:3146,0x3d00:824,0x3d8:369,0x508:315,0xa0:294	0x1e8:5428,0xe83a:429,0xc0b:351,0x13d:336,0x68:325	0x1e8:742,0xad8:608,0x13d:493,0xaa0:287,0x1601:265	0x1e8:1430,0x13d:532,0x31:457,0xe801:438,0x5801:348	0x13d:530,0x80:480,0x3d01:293,0x2ff1:257,0x3a87:257	0x13d:850,0x1:572,0x91:352,0xdd01:348,0x68e3:257
28	0x7e390	26610	2333	tail@0x7e7ca:26610	347@0xc088d:2147,258@0xadf2c:1654,340@0xbf435:1637,337@0xbec0e:1601,114@0x90319:1452	+0x3:26610	0x1e8:3484,0x3d00:360,0x2800:257,0x852c:256,0x7962:256	0x1e8:4523,0xb3:548,0x3d00:489,0x19d:415,0x147:291	0x1e8:3504,0x3d00:256,0xabaf:256,0xc016:256,0x428c:256	0x1e8:5191,0x3d00:480,0x13d:470,0x1:387,0xb3:290	0x1e8:1881,0xa88:376,0x3d00:320,0x6600:257,0x6b:256	0x1e8:3506,0x13d:891,0xd3:357,0x13:279,0x31:275
337	0xbec0e	26534	2321	tail@0xbf126:26534	297@0xb64d7:1787,66@0x855ff:1591,307@0xb8064:1382,28@0x7e390:1313,18@0x7be9b:1254	+0x4:26534	0x1e8:2729,0x580:381,0x3d00:353,0x508:324,0x3d8:257	0x1e8:5211,0x3d00:669,0x13d:616,0xe828:378,0xe83a:304	0x1e8:853,0x3d00:378,0x13d:350,0x3401:347,0x9d8:280	0x1e8:1263,0x13d:742,0xe83a:347,0xa7fc:256,0x5ab5:256	0x3d8:265,0xa726:256,0xab71:256,0x3783:256,0x2685:256	0x13d:560,0x68:270,0x3f99:256,0x3603:256,0x813c:256
340	0xbf435	26112	2259	tail@0xbf886:26112	307@0xb8064:1748,28@0x7e390:1702,66@0x855ff:1362,185@0x9d964:1352,215@0xa4609:1274	+0x4:26112	0x1e8:3184,0x3d00:612,0x570:405,0x580:296,0x860:278	0x1e8:5476,0x13d:532,0xe83a:333,0x629a:256,0xaae:256	0x1e8:1026,0xaa0:397,0xe870:259,0x158:257,0xc079:256	0x1e8:1041,0x13d:944,0xe801:317,0x4001:260,0xd8:257	0x3d01:576,0xe898:277,0xabb5:274,0xc5c0:256,0x68c9:256	0x13d:683,0x8000:501,0x1:294,0xa501:257,0x6b72:256
18	0x7be9b	25448	2501	tail@0x7c308:25448	114@0x90319:1729,189@0x9e7af:1581,347@0xc088d:1461,258@0xadf2c:1384,337@0xbec0e:1249	+0x3:25448	0x1e8:3393,0x3d00:441,0xd9e8:256,0x7750:256,0xbbdb:256	0x1e8:4983,0x13:479,0x3d00:290,0xaf0:259,0xff3c:257	0x1e8:3732,0xad8:350,0x5e8:301,0x3d00:281,0xb88a:256	0x1e8:6256,0x13d:508,0x31:367,0x68:344,0x2e82:256	0x1e8:1297,0x80:396,0xad8:364,0x13d:292,0x85f:256	0x1e8:1730,0x13d:364,0x5f40:256,0x758d:256,0x173a:256
114	0x90319	25300	2254	tail@0x90893:25300	66@0x855ff:2041,185@0x9d964:1516,215@0xa4609:1500,18@0x7be9b:1307,20@0x7c62b:1184	+0x4:25300	0x1e8:3717,0x3d8:422,0x5c0:398,0x570:385,0x64b6:256	0x1e8:5043,0xe83a:530,0x13d:333,0xdf3a:258,0x3d69:258	0x1e8:879,0x13d:764,0xe8b4:348,0xe896:263,0x914f:262	0x1e8:1549,0x13d:735,0x1001:287,0xf701:259,0x501:258	0x80:265,0xfcc3:256,0x78ad:256,0x25e0:256,0xd6a5:256	0x5800:347,0x13d:300,0x1:300,0xe810:279,0xfdaf:257
189	0x9e7af	25112	2279	tail@0x9eac9:25112	18@0x7be9b:1894,297@0xb64d7:1503,215@0xa4609:1354,174@0x9bd8f:1273,307@0xb8064:1197	+0x4:25112	0x1e8:3059,0x4f0:471,0x13d:424,0x632a:256,0xf340:256	0x1e8:5746,0x13:283,0x561d:256,0xd6aa:256,0x46af:256	0x1e8:556,0xad8:380,0x3d00:344,0xffa3:256,0x4dc8:256	0x1e8:1270,0x13d:609,0x31:457,0x1:327,0x5301:257	0x80:474,0x7100:257,0x5d0d:256,0xb6a9:256,0x3401:256	0xe801:398,0x13d:382,0xe83a:318,0x6001:276,0xe881:261
347	0xc088d	24299	2146	tail@0xc0d7b:24299	18@0x7be9b:1928,307@0xb8064:1577,297@0xb64d7:1475,28@0x7e390:1302,168@0x9aa83:1257	+0x4:24299	0x1e8:2519,0x580:418,0x570:375,0x3d00:345,0x8f8:265	0x1e8:5110,0x3d00:709,0xe83a:304,0xe8ae:292,0xe8af:281	0x1e8:1391,0x13d:417,0xad8:369,0xe828:347,0x3d01:256	0x1e8:2002,0x31:637,0x13d:517,0xd3:417,0x1:387	0x80:666,0x810:438,0x1e8:370,0xe80c:348,0xab0e:256	0x13d:774,0xe801:383,0x0:292,0xf01:262,0x5e8:257
307	0xb8064	24095	2012	tail@0xb837a:24095	114@0x90319:1754,176@0x9c10b:1332,189@0x9e7af:1166,337@0xbec0e:1159,258@0xadf2c:1055	+0x3:24095	0x1e8:3346,0x3d00:525,0x6efd:348,0xce87:256,0xd70b:256	0x1e8:5457,0xf40c:443,0xd3:389,0xec44:364,0x19d:291	0x1e8:2715,0x13d:434,0xf73e:347,0xa88:281,0xb8d:256	0x1e8:4478,0xd6ec:438,0x79:282,0x3d00:262,0x13d:256	0x1e8:1572,0x13d:399,0x3d00:320,0x570:279,0xcee1:256	0x1e8:3452,0x13d:580,0x3d00:375,0x31:365,0xdf3a:348
64	0x85059	23678	2222	tail@0x8536e:23678	18@0x7be9b:2091,28@0x7e390:1633,199@0xa0631:1345,184@0x9d694:1255,215@0xa4609:1065	+0x4:23678	0x1e8:2288,0xa0:670,0x4f0:296,0x3d00:294,0x937b:256	0x1e8:5645,0xe884:257,0x2f37:256,0x7a:256,0xe83a:201	0x1e8:829,0x13d:497,0xa501:351,0xa88:291,0x9d70:256	0x1e8:1538,0xe801:691,0x13d:520,0x79:278,0x87ae:256	0x3d01:263,0x570:256,0xd3ce:256,0x7c3e:256,0xf90a:256	0x13d:899,0x1e8:310,0x3d00:297,0x8000:272,0x6974:256
