entry	target	events	tail_site	insns_seen	state_update_count	flag_update_count	branch_count	ip_reads	state_updates	final_state_expr	flag_updates	branches
0	0x78561	89	0x78833	171	2	0	5	0x78614:u16_2,0x7862f:byte0,0x786f1:b4,0x78726:u16_2,0x787bc:u16_0	0x785c5:xor:state0 ^ 0x1966e0e7;0x787fe:sub:state0 ^ 0x1966e0e7 - u16_0 + state0 ^ 0x1966e0e7 - 0x251a0141	state0 ^ 0x1966e0e7 - u16_0 + state0 ^ 0x1966e0e7 - 0x251a0141		0x78634:jne,0x7864f:jne,0x78668:jne,0x7867f:jne,0x786fc:je
1	0x78835	0	0x78c74	241	8	6	2	0x78850:u16_6,0x78875:u16_4,0x788a2:u32_0,0x78900:u32_2,0x789bd:byte0,0x78b8c:u16_0	0x78923:and:state0 & u32_2;0x789d7:add:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a;0x78a33:xor:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5;0x78a93:sub:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171;0x78ab6:and:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6;0x78ad4:or:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d;0x78af2:or:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06;0x78c2c:and:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 & u16_0 - state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 ^ 0x4bf26182	state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 & u16_0 - state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 ^ 0x4bf26182	0x78930:sub:flags0 - 0x7a70ea42;0x7899e:add:flags0 - 0x7a70ea42 + 0x68fd81fa;0x789af:or:flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a;0x789f7:and:flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262;0x78a19:add:flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5;0x78a67:or:flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d	0x7898e:je,0x78a57:je
2	0x788e2	0	0x78c74	194	8	6	2	0x78900:u32_2,0x789bd:byte0,0x78b8c:u16_0	0x78923:and:state0 & u32_2;0x789d7:add:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a;0x78a33:xor:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5;0x78a93:sub:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171;0x78ab6:and:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6;0x78ad4:or:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d;0x78af2:or:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06;0x78c2c:and:state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 & u16_0 - state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 ^ 0x4bf26182	state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 & u16_0 - state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 ^ 0x4bf26182	0x78930:sub:flags0 - 0x7a70ea42;0x7899e:add:flags0 - 0x7a70ea42 + 0x68fd81fa;0x789af:or:flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a;0x789f7:and:flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262;0x78a19:add:flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5;0x78a67:or:flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d	0x7898e:je,0x78a57:je
3	0x78c77	3434	0x792f5	360	7	1	3	0x78c84:byte0,0x78d73:byte0,0x79156:b2,0x79182:u16_3,0x791dc:u16_0	0x78cca:sub:state0 - flags0;0x78d10:sub:state0 - flags0 - 0x1c03cc82;0x78d42:sub:state0 - flags0 - 0x1c03cc82 - flags0;0x78d62:or:state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877;0x78d80:sub:state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511;0x79196:add:state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b;0x7928d:xor:state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b ^ u16_0 ^ state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b + 0x4bc0d288	state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b ^ u16_0 ^ state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b + 0x4bc0d288	0x7912e:xor:flags0 ^ 0x1f2b12e0	0x78c93:je,0x78cd4:je,0x79161:je
4	0x792f8	0	0x79672	195	8	3	0	0x79364:byte0,0x793c6:byte0,0x793e8:byte0,0x7941d:byte0,0x794c2:u32_0,0x795e1:u16_4,0x79626:u16_4 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ 0x2a994b16	0x79353:add:state0 + 0x3b3bbe74;0x79371:sub:state0 + 0x3b3bbe74 - 0x3732e4cc;0x793b3:add:state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3;0x793f5:and:state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0;0x7942a:xor:state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6;0x79446:add:state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21;0x7953e:xor:state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21;0x79629:or:state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 | u16_4 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ 0x2a994b16	state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 | u16_4 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ 0x2a994b16	0x79396:sub:flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b;0x793a3:sub:flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21;0x79558:and:flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 & 0x500698c1	
5	0x79675	0	0x799c4	183	1	0	1	0x79690:u16_6,0x796b5:u16_4,0x796e1:u32_0,0x7977d:u16_3,0x79782:u16_0,0x797ea:u16_5,0x79871:u16_3,0x7989f:u16_0,0x79935:u16_7	0x79985:add:state0 + u16_7 ^ state0 + 0x17cd41c1	state0 + u16_7 ^ state0 + 0x17cd41c1		0x798b7:je
6	0x7971e	0	0x799c4	136	1	0	1	0x7977d:u16_3,0x79782:u16_0,0x797ea:u16_5,0x79871:u16_3,0x7989f:u16_0,0x79935:u16_7	0x79985:add:state0 + u16_7 ^ state0 + 0x17cd41c1	state0 + u16_7 ^ state0 + 0x17cd41c1		0x798b7:je
7	0x799c7	0	0x79da1	226	1	0	5	0x799e2:u16_2,0x79a08:u16_0,0x79b22:u16_3,0x79b90:byte0,0x79ca9:b2,0x79ce5:u16_3,0x79d32:u16_0	0x79ae2:or:state0 | flags0	state0 | flags0		0x79b97:jne,0x79bac:jne,0x79bc6:jne,0x79be9:jne,0x79cb4:je
8	0x79a3d	0	0x79da1	190	1	0	5	0x79b22:u16_3,0x79b90:byte0,0x79ca9:b2,0x79ce5:u16_3,0x79d32:u16_0	0x79ae2:or:state0 | flags0	state0 | flags0		0x79b97:jne,0x79bac:jne,0x79bc6:jne,0x79be9:jne,0x79cb4:je
9	0x79da3	3	0x7a04c	149	1	0	5	0x79e24:byte0,0x79f12:b0,0x79f64:u16_1,0x79fcf:u16_3	0x7a00f:and:state0 & u16_3 - state0 ^ 0x25d88329	state0 & u16_3 - state0 ^ 0x25d88329		0x79e2b:jne,0x79e39:jne,0x79e48:jne,0x79e56:jne,0x79f1d:je
