rank	entry	target	priority_score	priority_class	next_action	selected_start	selected_stop	span_bytes	insns	function_count	covered_bytes	sidecar	function_names	function_ranges	semantics_observation	calls	rets	table_reads	ip_reads	frame_reads	frame_writes
1	57	0x841f9	357	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0x841f9	0x84299	157	34	1	147	vm_unobserved_handlers_retdec_batch00.c	function_841f9	0x841f9-0x8428c	unobserved	0	0	dyn/8	+0x2/2,+0x0/2	0xa,0xa1,0x10f,0x170	0x170,0xa
2	255	0xad768	438	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0xad768	0xad857	238	53	1	225	vm_unobserved_handlers_retdec_batch00.c	function_ad768	0xad768-0xad849	unobserved	0	0	dyn/8	+0x2/2,+0x6/2,+0x0/2,+0x4/2	0xa,0x10f,0x170	0xa
3	96	0x8c4cf	446	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0x8c4cf	0x8c5c7	246	55	1	234	vm_unobserved_handlers_retdec_batch00.c	function_8c4cf	0x8c4cf-0x8c5b9	unobserved	0	0	dyn/8	+0x6/2,+0x2/2,+0x0/2,+0x4/2	0xa,0x10f	0x170,0xa
4	71	0x86766	553	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0x86766	0x868cb	353	74	1	343	vm_unobserved_handlers_retdec_batch00.c	function_86766	0x86766-0x868bd	unobserved	0	0	dyn/8	+0x4/2,+0x6/2,+0x0/2,+0x2/2	0xa,0x170,0x10f	0xa
5	73	0x86be4	564	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0x86be4	0x86d50	364	80	1	351	vm_unobserved_handlers_retdec_batch00.c	function_86be4	0x86be4-0x86d43	unobserved	0	0	dyn/8	+0x4/2,+0x6/2,+0x0/2,+0x2/2	0xa,0x10f,0x170	0x170,0xa
6	339	0xbf2d5	565	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0xbf2d5	0xbf443	365	78	1	352	vm_unobserved_handlers_retdec_batch00.c	function_bf2d5	0xbf2d5-0xbf435	unobserved	0	0	dyn/8	+0x6/2,+0x4/2,+0x2/2,+0x0/2	0xa,0x23,0x194,0x10f	0x170,0xa
7	324	0xbb8aa	570	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0xbb8aa	0xbba1c	370	86	1	357	vm_unobserved_handlers_retdec_batch00.c	function_bb8aa	0xbb8aa-0xbba0f	unobserved	0	0	dyn/8	+0x4/2,+0x6/2,+0x2/2,+0x0/2	0xa,0x170,0x23,0x0,0x10f,0x60	0x170,0xa
8	38	0x80d79	594	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0x80d79	0x80f03	394	85	1	381	vm_unobserved_handlers_retdec_batch00.c	function_80d79	0x80d79-0x80ef6	unobserved	0	0	dyn/8	+0x0/2,+0x6/2,+0x4/2,+0x2/2	0xa,0x23,0x10f,0x170	0x23,0x170,0xa
9	67	0x859fc	609	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0x859fc	0x85b97	409	91	1	397	vm_unobserved_handlers_retdec_batch00.c	function_859fc	0x859fc-0x85b89	unobserved	0	0	dyn/8	+0x4/2,+0x6/2,+0x0/2,+0x2/2	0xa,0x23,0x10f,0x170	0x170,0xa
10	138	0x94c3a	631	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0x94c3a	0x94dec	431	94	1	421	vm_unobserved_handlers_retdec_batch00.c	function_94c3a	0x94c3a-0x94ddf	unobserved	0	0	dyn/8	+0x6/2,+0x4/2,+0x2/2,+0x0/2	0xa,0x170,0x81,0x10f	0x23,0x170,0xa
11	47	0x822bc	656	tier0_single_function_small_static_replay	inline_retdec_function_into_handler_model	0x822bc	0x82484	456	99	1	443	vm_unobserved_handlers_retdec_batch00.c	function_822bc	0x822bc-0x82477	unobserved	0	0	dyn/8	+0x7/2,+0x3/2,+0x1/2,+0x5/2	0xa,0x81,0x199,0x0,0x10f,0x170	0x170,0xa
12	159	0x992cd	1226	tier1_single_function_medium_static_replay	inline_retdec_function_after_operand_rewrite	0x992cd	0x994dc	526	110	1	514	vm_unobserved_handlers_retdec_batch00.c	function_992cd	0x992cd-0x994cf	unobserved	0	0	dyn/8	+0x2/2,+0x0/2,+0x6/2,+0x4/2	0xa,0x23,0x199,0x194,0x10f,0x170,0x81	0x23,0x170,0xa
13	244	0xaaf3e	1228	tier1_single_function_medium_static_replay	inline_retdec_function_after_operand_rewrite	0xaaf3e	0xab14e	528	111	1	515	vm_unobserved_handlers_retdec_batch01.c	function_aaf3e	0xaaf3e-0xab141	unobserved	0	0	dyn/8	+0x7/2,+0x0/2,+0x5/2,+0x2/2	0xa,0x170,0x0,0x199,0x23,0x10f	0x23,0xa
14	12	0x7acd8	1241	tier1_single_function_medium_static_replay	inline_retdec_function_after_operand_rewrite	0x7acd8	0x7aef6	541	118	1	528	vm_unobserved_handlers_retdec_batch01.c	function_7acd8	0x7acd8-0x7aee8	unobserved	0	0	dyn/8	+0x4/2,+0x6/2,+0x2/2,+0x0/2	0xa,0x23,0x10f,0x170	0x170,0xa
15	234	0xa823e	1242	tier1_single_function_medium_static_replay	inline_retdec_function_after_operand_rewrite	0xa823e	0xa845e	542	117	1	530	vm_unobserved_handlers_retdec_batch01.c	function_a823e	0xa823e-0xa8450	unobserved	0	0	dyn/8	+0x3/2,+0x9/2,+0x5/2,+0x2/1,+0x7/2,+0x0/2	0xa,0x199,0x81,0x10f,0x170	0x23,0x170,0xa
16	213	0xa3dc7	1259	tier1_single_function_medium_static_replay	inline_retdec_function_after_operand_rewrite	0xa3dc7	0xa3ff7	559	120	1	546	vm_unobserved_handlers_retdec_batch01.c	function_a3dc7	0xa3dc7-0xa3fe9	unobserved	0	0	dyn/8	+0x6/2,+0x0/2,+0x4/2,+0x2/2	0xa,0x81,0x0,0x10f,0x194	0x170,0xa
17	100	0x8cc81	1272	tier1_single_function_medium_static_replay	inline_retdec_function_after_operand_rewrite	0x8cc81	0x8cec2	572	124	1	563	vm_unobserved_handlers_retdec_batch01.c	function_8cc81	0x8cc81-0x8ceb4	unobserved	0	0	dyn/8	+0x0/2,+0x2/2,+0x6/2,+0x8/1,+0x4/2,+0x9/2	0xa,0x170,0x0,0x199,0x10f	0x170,0xa
