rank	entry	target	function	model_function	sidecar	ip_advance	slot_status	slot_expr	effects
12	159	0x992cd	function_992cd	vm_tier1_entry_159	vm_unobserved_handlers_retdec_batch00.c	9	state_effect_only_no_dispatch_return		ip += 9; retdec_tail=state = 2*state0 + s16(ip+4); paired qword pointer copy/step; ip_reads=+0x2/2,+0x0/2,+0x6/2,+0x4/2; frame_reads=0xa,0x23,0x199,0x194,0x10f,0x170,0x81; frame_writes=0x23,0x170,0xa
13	244	0xaaf3e	function_aaf3e	vm_tier1_entry_244	vm_unobserved_handlers_retdec_batch01.c	9	state_pointer_return_no_dispatch_slot		ip += 9; retdec_tail=word copy through paired pointer step; flags optionally adjusted; ip_reads=+0x7/2,+0x0/2,+0x5/2,+0x2/2; frame_reads=0xa,0x170,0x0,0x199,0x23,0x10f; frame_writes=0x23,0xa
14	12	0x7acd8	function_7acd8	vm_tier1_entry_012	vm_unobserved_handlers_retdec_batch01.c	8	retdec_dispatch_table_slot	(s16(ip+0) - (state0 | flags0) + 0x61ec39cd) & 0xffff	ip += 8; retdec_tail=state = slot_source | (state0 | flags0); byte store through pointer step; ip_reads=+0x4/2,+0x6/2,+0x2/2,+0x0/2; frame_reads=0xa,0x23,0x10f,0x170; frame_writes=0x170,0xa
15	234	0xa823e	function_a823e	vm_tier1_entry_234	vm_unobserved_handlers_retdec_batch01.c	11	state_effect_only_no_dispatch_return		ip += 11; retdec_tail=state = ((state0 ^ s16(ip+0)) + 0x6352399c) | state0; byte compare/pointer step; ip_reads=+0x3/2,+0x9/2,+0x5/2,+0x2/1,+0x7/2,+0x0/2; frame_reads=0xa,0x199,0x81,0x10f,0x170; frame_writes=0x23,0x170,0xa
16	213	0xa3dc7	function_a3dc7	vm_tier1_entry_213	vm_unobserved_handlers_retdec_batch01.c	8	state_effect_only_no_dispatch_return		ip += 8; retdec_tail=state = state0 + 0x45c6c3bb - s16(ip+2); word copy through pointer step; ip_reads=+0x6/2,+0x0/2,+0x4/2,+0x2/2; frame_reads=0xa,0x81,0x0,0x10f,0x194; frame_writes=0x170,0xa
17	100	0x8cc81	function_8cc81	vm_tier1_entry_100	vm_unobserved_handlers_retdec_batch01.c	11	retdec_dispatch_table_slot	(s16(ip+9) - 0x4b931360 + state0) & 0xffff	ip += 11; retdec_tail=state = slot_source ^ state0; word compare/pointer step; ip_reads=+0x0/2,+0x2/2,+0x6/2,+0x8/1,+0x4/2,+0x9/2; frame_reads=0xa,0x170,0x0,0x199,0x10f; frame_writes=0x170,0xa
18	224	0xa68c2	function_a68c2	vm_tier1_entry_224	vm_unobserved_handlers_retdec_batch01.c	9	state_effect_only_no_dispatch_return		ip += 9; retdec_tail=state = (state0 + s16(ip+3)) | state0; dword paired pointer step; ip_reads=+0x5/2,+0x7/2,+0x1/2,+0x3/2; frame_reads=0xa,0x170,0x199,0x23,0x0,0x10f,0x60; frame_writes=0x23,0x170,0xa
19	63	0x84e1d	function_84e1d	vm_tier1_entry_063	vm_unobserved_handlers_retdec_batch01.c	11	state_effect_only_no_dispatch_return		ip += 11; retdec_tail=state = ((s16(ip+2) - state0) ^ 0x14083b5a) + state0; byte compare/pointer step; ip_reads=+0x0/2,+0x4/2,+0x7/2,+0x6/1,+0x9/2,+0x2/2; frame_reads=0xa,0x81,0x199,0x10f,0x170,0x194; frame_writes=0x170,0xa
20	182	0x9d24c	function_9d24c	vm_tier1_entry_182	vm_unobserved_handlers_retdec_batch01.c	8	state_effect_only_no_dispatch_return		ip += 8; retdec_tail=state = state0 - (s16(ip+4) ^ 0x4174ae3e); word store through pointer step; ip_reads=+0x2/2,+0x6/2,+0x0/2,+0x4/2; frame_reads=0xa,0x23,0x10f; frame_writes=0x23,0x170,0xa
21	279	0xb23f7	function_b23f7	vm_tier1_entry_279	vm_unobserved_handlers_retdec_batch01.c	5	noisy_dispatch_return_candidate	(s16(ip+2) - (state0 | flags0) + 0x68baea26) & 0xffff	ip += 5; retdec_tail=state = slot_source | (state0 | flags0); native return expression includes dispatch base plus obfuscation residue; ip_reads=+0x4/1,+0x0/2,+0x2/2; frame_reads=0xa,0x0,0x23,0x194,0x81,0x71,0x10f,0x170; frame_writes=0x71,0x170,0x0,0xa
