rank	entry	target	function	model_function	sidecar	ip_advance	split_status	slot_status	slot_expr	effects
55	204	0xa1939	function_a1939	vm_tier2_entry_204	vm_unobserved_handlers_retdec_batch00.c	8	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		split=primary_plus_empty_overlap_stub; ip += 8; retdec_tail=state = s16(ip+4) - 0x452939b9 ^ state0; word store through pointer step; ip_reads=+0x2/2,+0x6/2,+0x0/2,+0x4/2; frame_reads=0xa,0x81,0x194,0x10f; frame_writes=0x170,0xa; functions=function_a1939,function_a1a97; ranges=0xa1939-0xa1a95,0xa1a97-0xa1a98
56	34	0x7fba3	function_7fba3	vm_tier2_entry_034	vm_unobserved_handlers_retdec_batch00.c	9	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		split=primary_plus_empty_overlap_stub; ip += 9; retdec_tail=state = (state0 + s16(ip+3) ^ 0x459b6b23) + state0; paired qword pointer step; ip_reads=+0x1/2,+0x5/2,+0x7/2,+0x3/2; frame_reads=0xa,0x199,0x10f,0x170; frame_writes=0x170,0xa; functions=function_7fba3,function_7fd52; ranges=0x7fba3-0x7fd4d,0x7fd52-0x7fd57
57	45	0x81f2e	function_81f2e	vm_tier2_entry_045	vm_unobserved_handlers_retdec_batch00.c	9	primary_prefix_before_neighbor_entry_46	state_effect_only_no_dispatch_return		split=primary_prefix_before_neighbor_entry_46; ip += 9; retdec_tail=state = 0x6050ae66 - s16(ip+0) + state0; paired qword pointer step; ip_reads=+0x3/2,+0x5/2,+0x7/2,+0x0/2; frame_reads=0xa,0x199,0x10f; frame_writes=0x170,0xa; functions=function_81f2e,function_820e1; ranges=0x81f2e-0x820e1,0x820e1-0x822bc
58	60	0x84596	function_84596	vm_tier2_entry_060	vm_unobserved_handlers_retdec_batch00.c	9	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		split=primary_plus_empty_overlap_stub; ip += 9; retdec_tail=state = ((state0 | 0x6dbd49a4) ^ s16(ip+5)) - 0x4424226a & (state0 | 0x6dbd49a4); paired dword pointer step; ip_reads=+0x3/2,+0x0/2,+0x7/2,+0x5/2; frame_reads=0xa,0x81,0x199,0x10f,0x170; frame_writes=0x170,0xa; functions=function_84596,function_84764; ranges=0x84596-0x84762,0x84764-0x84765
59	289	0xb4a2b	function_b4a2b	vm_tier2_entry_289	vm_unobserved_handlers_retdec_batch00.c	8	primary_plus_empty_overlap_stub	state_pointer_return_no_dispatch_slot		split=primary_plus_empty_overlap_stub; ip += 8; retdec_tail=byte copy through pointer step; RetDec return is frame+state pointer; ip_reads=+0x6/2,+0x4/2,+0x2/2,+0x0/2; frame_reads=0xa,0x170,0x81,0x0,0x10f; frame_writes=0xa; functions=function_b4a2b,function_b4c05; ranges=0xb4a2b-0xb4c00,0xb4c05-0xb4c08
60	46	0x820e1	function_820e1	vm_tier2_entry_046	vm_unobserved_handlers_retdec_batch00.c	8	primary_before_tier0_entry_47_overlap	retdec_dispatch_table_slot	(state0 + s16(ip+6) + 0x368668dd) & 0xffff	split=primary_before_tier0_entry_47_overlap; ip += 8; retdec_tail=state = slot_source | state0; word store through pointer step; ip_reads=+0x0/2,+0x2/2,+0x4/2,+0x6/2; frame_reads=0xa,0x71,0x10f,0x170; frame_writes=0x170,0xa; functions=function_820e1,function_822bc; ranges=0x820e1-0x822bc,0x822bc-0x82477
61	328	0xbc466	function_bc466	vm_tier2_entry_328	vm_unobserved_handlers_retdec_batch01.c	11	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		split=primary_plus_empty_overlap_stub; ip += 11; retdec_tail=state = (0x6640824a - state0 + s16(ip+6)) & state0; word compare/pointer step; ip_reads=+0x2/2,+0x9/2,+0x4/2,+0x8/1,+0x0/2,+0x6/2; frame_reads=0xa,0x194,0x199,0x23,0x10f,0x170; frame_writes=0x170,0xa; functions=function_bc466,function_bc678; ranges=0xbc466-0xbc676,0xbc678-0xbc67d
62	191	0x9ede9	function_9ede9	vm_tier2_entry_191	vm_unobserved_handlers_retdec_batch01.c	5	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		split=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=state = ((s16(ip+2) - state0) ^ 0x5e6d2a06) + state0; operand rewrite body precedes tail; ip_reads=+0x4/1,+0x0/2,+0x2/2; frame_reads=0xa,0x0,0x71,0x10f,0x170,0x23; frame_writes=0x170,0x71,0x0,0xa; functions=function_9ede9,function_9f00f; ranges=0x9ede9-0x9f00a,0x9f00f-0x9f012
63	111	0x8f8ae	function_8f8ae	vm_tier2_entry_111	vm_unobserved_handlers_retdec_batch01.c	5	primary_plus_empty_overlap_stub	retdec_dispatch_table_slot	((state0 ^ s16(ip+3)) - 0x29ce8b8a) & 0xffff	split=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=state = slot_source ^ state0; operand rewrite body precedes dispatch-table return; ip_reads=+0x0/1,+0x1/2,+0x3/2; frame_reads=0x0,0xa,0x170,0x71,0x10f; frame_writes=0x170,0x71,0x0,0xa; functions=function_8f8ae,function_8faf1; ranges=0x8f8ae-0x8faec,0x8faf1-0x8faf4
64	263	0xaf26d	function_af26d	vm_tier2_entry_263	vm_unobserved_handlers_retdec_batch01.c	11	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		split=primary_plus_empty_overlap_stub; ip += 11; retdec_tail=state = state0 - (s16(ip+0) ^ 0x6d9939f2); dword compare/pointer step; ip_reads=+0x4/2,+0x9/2,+0x6/2,+0x8/1,+0x2/2,+0x0/2; frame_reads=0xa,0x170,0x23,0x199,0x0,0x10f; frame_writes=0x23,0x170,0xa; functions=function_af26d,function_af4d1; ranges=0xaf26d-0xaf4cf,0xaf4d1-0xaf4d4
65	39	0x80ef6	function_80ef6	vm_tier2_entry_039	vm_unobserved_handlers_retdec_batch01.c	11	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		split=primary_plus_empty_overlap_stub; ip += 11; retdec_tail=state = state0 | s16(ip+6); qword compare/pointer step; ip_reads=+0x4/2,+0x8/2,+0x0/2,+0xa/1,+0x2/2,+0x6/2; frame_reads=0xa,0x23,0x81,0x199,0x10f,0x170; frame_writes=0x23,0x170,0xa; functions=function_80ef6,function_81162; ranges=0x80ef6-0x8115d,0x81162-0x81165
66	335	0xbe648	function_be648	vm_tier2_entry_335	vm_unobserved_handlers_retdec_batch01.c	8	primary_plus_empty_overlap_stub	retdec_dispatch_table_slot	(0x0000d24b - (flags0 ^ 0x6e6f5b3e ^ state0) + s16(ip+0)) & 0xffff	split=primary_plus_empty_overlap_stub; ip += 8; retdec_tail=state = flags0 ^ 0x6e6f5b3e ^ state0; dword copy through pointer step; ip_reads=+0x6/2,+0x4/2,+0x2/2,+0x0/2; frame_reads=0xa,0x170,0x194,0x0,0x23,0x10f; frame_writes=0x170,0xa; functions=function_be648,function_be8d2; ranges=0xbe648-0xbe8cd,0xbe8d2-0xbe8d7
67	274	0xb1548	function_b1548	vm_tier2_entry_274	vm_unobserved_handlers_retdec_batch02.c	11	primary_before_large_neighbor_body	state_effect_only_no_dispatch_return		split=primary_before_large_neighbor_body; ip += 11; retdec_tail=state = (state0 ^ s16(ip+0)) + state0; word compare/pointer step; ip_reads=+0x7/2,+0x5/2,+0x3/2,+0x2/1,+0x9/2,+0x0/2; frame_reads=0xa,0x23,0x199,0x10f,0x170; frame_writes=0x23,0x170,0xa; functions=function_b1548,function_b180e; ranges=0xb1548-0xb180e,0xb180e-0xb1b2d
68	137	0x94973	function_94973	vm_tier2_entry_137	vm_unobserved_handlers_retdec_batch02.c	9	primary_plus_empty_overlap_stub	retdec_dispatch_table_slot	0	split=primary_plus_empty_overlap_stub; ip += 9; retdec_tail=state = s16(ip+2) - 0x5ff6cae6; RetDec tail algebra collapses slot to zero; ip_reads=+0x0/2,+0x4/2,+0x6/2,+0x2/2; frame_reads=0xa,0x170,0x0,0x199,0x10f; frame_writes=0x170,0xa; functions=function_94973,function_94c3c; ranges=0x94973-0x94c3a,0x94c3c-0x94c41
69	232	0xa7ef8	function_a7ef8	vm_tier2_entry_232	vm_unobserved_handlers_retdec_batch02.c	9	primary_before_large_neighbor_body	retdec_dispatch_table_slot	u16(ip+3) + 0x4204	split=primary_before_large_neighbor_body; ip += 9; retdec_tail=state = state0 - (flags0 ^ 0x4821c1c7) - 0x231e4204 - u16(ip+3); byte pointer step; ip_reads=+0x1/2,+0x7/2,+0x5/2,+0x3/2; frame_reads=0xa,0x81,0x199,0x23,0x10f; frame_writes=0x170,0xa; functions=function_a7ef8,function_a81c4; ranges=0xa7ef8-0xa81c4,0xa81c4-0xa823e
