rank	entry	target	function	model_function	sidecar	ip_advance	function_count	share_status	slot_status	slot_expr	effects
70	327	0xbc320	function_bc320	vm_tier3_entry_327	vm_unobserved_handlers_retdec_batch00.c	8	3	primary_plus_two_empty_overlap_stubs	state_effect_only_no_dispatch_return		share=primary_plus_two_empty_overlap_stubs; ip += 8; retdec_tail=return is frame/result pointer after state update and pointer copy; ip_reads=+0x2/2,+0x0/2,+0x6/2,+0x4/2; frame_reads=0xa,0x10f,0x170,0x194; frame_writes=0x170,0xa; functions=function_bc320,function_bc468,function_bc46b; ranges=0xbc320-0xbc466,0xbc468-0xbc46a,0xbc46b-0xbc46c
71	109	0x8f6d1	function_8f6d1	vm_tier3_entry_109	vm_unobserved_handlers_retdec_batch00.c	8	3	primary_plus_tiny_overlap_stubs	constant_return_no_dispatch_slot		share=primary_plus_tiny_overlap_stubs; ip += 8; retdec_tail=return 1 after state update and pointer write; ip_reads=+0x2/2,+0x6/2,+0x4/2,+0x0/2; frame_reads=0xa,0x194,0x10f,0x170; frame_writes=0x170,0xa; functions=function_8f6d1,function_8f838,function_8f840; ranges=0x8f6d1-0x8f834,0x8f838-0x8f83f,0x8f840-0x8f841
72	115	0x90895	function_90895	vm_tier3_entry_115	vm_unobserved_handlers_retdec_batch00.c	8	3	primary_plus_empty_overlap_stubs	non_dispatch_predicate_return		share=primary_plus_empty_overlap_stubs; ip += 8; retdec_tail=return is low predicate bits from operand, not dispatch table; ip_reads=+0x2/2,+0x0/2,+0x4/2,+0x6/2; frame_reads=0xa,0x23,0x170,0x0,0x10f; frame_writes=0x170,0xa; functions=function_90895,function_90a1d,function_90a20; ranges=0x90895-0x90a1b,0x90a1d-0x90a1f,0x90a20-0x90a21
73	304	0xb7717	function_b7717	vm_tier3_entry_304	vm_unobserved_handlers_retdec_batch00.c	8	3	primary_plus_empty_overlap_stubs	masked_noisy_return_no_dispatch_slot		share=primary_plus_empty_overlap_stubs; ip += 8; retdec_tail=return is g2/base-mangled predicate residue; ip_reads=+0x4/2,+0x2/2,+0x6/2,+0x0/2; frame_reads=0xa,0x170,0x0,0x10f; frame_writes=0x23,0xa; functions=function_b7717,function_b78b2,function_b78b5; ranges=0xb7717-0xb78b0,0xb78b2-0xb78b4,0xb78b5-0xb78b6
74	135	0x94478	function_94478	vm_tier3_entry_135	vm_unobserved_handlers_retdec_batch00.c	9	3	primary_plus_empty_overlap_stubs	noisy_dispatch_return_candidate	((state0 ^ s16(ip+5)) - 0x7ed035c5) & 0xffff	share=primary_plus_empty_overlap_stubs; ip += 9; retdec_tail=RetDec tail has dispatch-base plus slot xor noisy low-bit residue; ip_reads=+0x0/2,+0x7/2,+0x3/2,+0x5/2; frame_reads=0xa,0x170,0x0,0x199,0x10f; frame_writes=0xa; functions=function_94478,function_9461d,function_94623; ranges=0x94478-0x9461b,0x9461d-0x9461f,0x94623-0x94624
75	141	0x951c2	function_951c2	vm_tier3_entry_141	vm_unobserved_handlers_retdec_batch00.c	8	3	primary_plus_empty_overlap_stubs	masked_noisy_return_no_dispatch_slot		share=primary_plus_empty_overlap_stubs; ip += 8; retdec_tail=return is g2-masked residue after state/pointer effects; ip_reads=+0x6/2,+0x0/2,+0x4/2,+0x2/2; frame_reads=0xa,0x71,0x10f,0x170; frame_writes=0xa; functions=function_951c2,function_953b3,function_953b6; ranges=0x951c2-0x953b1,0x953b3-0x953b5,0x953b6-0x953b7
76	341	0xbf889	function_bf889	vm_tier3_entry_341	vm_unobserved_handlers_retdec_batch02.c	9	2	primary_plus_empty_overlap_stub	constant_like_predicate_return		share=primary_plus_empty_overlap_stub; ip += 9; retdec_tail=return is obfuscated constant/predicate expression; ip_reads=+0x0/2,+0x4/2,+0x2/2,+0x7/2; frame_reads=0xa,0x170,0x199,0x81,0x10f; frame_writes=0x23,0x170,0xa; functions=function_bf889,function_bfb9b; ranges=0xbf889-0xbfb99,0xbfb9b-0xbfb9e
77	120	0x9106a	function_9106a	vm_tier3_entry_120	vm_unobserved_handlers_retdec_batch02.c	11	2	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stub; ip += 11; retdec_tail=return is frame+state cell after compare/flag side effects; ip_reads=+0x4/2,+0x6/2,+0x9/2,+0x8/1,+0x2/2,+0x0/2; frame_reads=0xa,0x71,0x199,0x10f; frame_writes=0x23,0x170,0xa; functions=function_9106a,function_9137e; ranges=0x9106a-0x91379,0x9137e-0x91381
78	147	0x96918	function_96918	vm_tier3_entry_147	vm_unobserved_handlers_retdec_batch01.c	5	3	primary_plus_empty_overlap_stubs	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stubs; ip += 5; retdec_tail=return is frame/result pointer after operand rewrite; ip_reads=+0x0/1,+0x3/2,+0x1/2; frame_reads=0xa,0x0,0x71,0x23,0x10f; frame_writes=0x71,0x0,0x170,0xa; functions=function_96918,function_96b77,function_96b7a; ranges=0x96918-0x96b6e,0x96b77-0x96b79,0x96b7a-0x96b7b
79	275	0xb180e	function_b180e	vm_tier3_entry_275	vm_unobserved_handlers_retdec_batch02.c	11	2	primary_plus_empty_overlap_stub	retdec_raw_mod_slot	((state0 ^ s16(ip+1)) - 0x26ed1596) & 0xffff	share=primary_plus_empty_overlap_stub; ip += 11; retdec_tail=RetDec return is raw modulo slot without dispatch base; ip_reads=+0x5/2,+0x7/2,+0x9/2,+0x0/1,+0x3/2,+0x1/2; frame_reads=0xa,0x170,0x0,0x199,0x23,0x10f; frame_writes=0x23,0x170,0xa; functions=function_b180e,function_b1b32; ranges=0xb180e-0xb1b2d,0xb1b32-0xb1b35
