rank	entry	target	function	model_function	sidecar	ip_advance	function_count	calls	rets	callret_status	slot_status	slot_expr	effects
119	116	0x90a1b	function_90a1b	vm_tier4_entry_116	vm_unobserved_handlers_retdec_batch01.c	8	2	0	1	native_ret_frame_cell	frame_cell_return_no_dispatch_slot		callret=native_ret_frame_cell; calls=0; rets=1; ip += 8; retdec_tail=primary returns frame[112]; overlap child returns pointer-table value; ip_reads=+0x0/4,+0x0/2,+0x4/4; frame_reads=0xa,0x10f; frame_writes=0xa,0x1dc; functions=function_90a1b,function_90acd; ranges=0x90a1b-0x90acd,0x90acd-0x90c23
120	309	0xb84a7	function_b84a7	vm_tier4_entry_309	vm_unobserved_handlers_retdec_batch01.c	4	2	0	1	native_ret_frame_cell	frame_cell_return_no_dispatch_slot		callret=native_ret_frame_cell; calls=0; rets=1; ip += 4; retdec_tail=primary returns frame[112]; overlap child returns result; ip_reads=+0x0/4,+0x0/2,+0x2/2; frame_reads=0xa,0x194,0x23,0x71,0x10f; frame_writes=0x23,0x1dc,0xa; functions=function_b84a7,function_b8556; ranges=0xb84a7-0xb8556,0xb8556-0xb86f8
121	265	0xaf57f	function_af57f	vm_tier4_entry_265	vm_unobserved_handlers_retdec_batch03.c	34	1	2	0	native_call_side_effect_collapsed_by_retdec	state_effect_only_no_dispatch_return		callret=native_call_side_effect_collapsed_by_retdec; calls=2; rets=0; ip += 34; retdec_tail=RetDec exposes state update and ip += 34; native skeleton still has call side effects; ip_reads=+0x18/2,+0x1a/2,+0x12/2,+0xa/2,+0x16/2,+0xe/2,+0x14/2,+0xc/2,+0x6/2,+0x0/2,+0x2/2,+0x1e/2,+0x20/2,+0x4/2,+0x1c/2,+0x10/2,+0x8/2; frame_reads=0xa,0x0,0x10f,0x170; frame_writes=0x170,0xa; functions=function_af57f; ranges=0xaf57f-0xaf8af
122	233	0xa81c4	function_a81c4	vm_tier4_entry_233	vm_unobserved_handlers_retdec_batch02.c	11	2	0	1	native_ret_result_prefix	state_effect_only_no_dispatch_return		callret=native_ret_result_prefix; calls=0; rets=1; ip += 11; retdec_tail=primary copies pointee into operand-selected frame slot and returns result; ip_reads=+0x0/2,+0x3/2,+0x9/2,+0x2/2,+0x5/2,+0x2/1,+0x7/2; frame_reads=0xa,0x199,0x81,0x10f,0x170; frame_writes=0x1dc,0x23,0x170,0xa; functions=function_a81c4,function_a823e; ranges=0xa81c4-0xa823e,0xa823e-0xa8450
123	227	0xa6f03	function_a6f03	vm_tier4_entry_227	vm_unobserved_handlers_retdec_batch02.c	11	2	0	1	native_ret_result_prefix	state_effect_only_no_dispatch_return		callret=native_ret_result_prefix; calls=0; rets=1; ip += 11; retdec_tail=primary copies frame value into operand-selected frame slot and returns result; ip_reads=+0x0/2,+0x2/2,+0x9/2,+0x6/1,+0x7/2,+0x4/2; frame_reads=0xa,0x170,0x199,0x23,0x10f; frame_writes=0x170,0x1dc,0x23,0xa; functions=function_a6f03,function_a6f79; ranges=0xa6f03-0xa6f79,0xa6f79-0xa71fe
124	58	0x8428c	function_8428c	vm_tier4_entry_058	vm_unobserved_handlers_retdec_batch02.c	11	2	0	1	native_ret_result_prefix	state_effect_only_no_dispatch_return		callret=native_ret_result_prefix; calls=0; rets=1; ip += 11; retdec_tail=primary copies source operand into destination frame slot and returns result; ip_reads=+0x2/2,+0x0/2,+0x8/2,+0x4/2,+0xa/1,+0x6/2; frame_reads=0xa,0x81,0x199,0x71,0x10f; frame_writes=0x1dc,0x170,0xa; functions=function_8428c,function_84302; ranges=0x8428c-0x84302,0x84302-0x84596
125	288	0xb4980	function_b4980	vm_tier4_entry_288	vm_unobserved_handlers_retdec_batch01.c	8	3	0	1	native_ret_stack_prefix	state_pointer_return_no_dispatch_slot		callret=native_ret_stack_prefix; calls=0; rets=1; ip += 8; retdec_tail=primary builds a two-qword stack/value cell; overlap tier2 body is not standalone for this entry; ip_reads=+0x6/2,+0x4/2,+0x0/4,+0x2/2,+0x0/2; frame_reads=0xa,0x170,0xbb,0x81,0x0,0x10f; frame_writes=0x1dc,0xa; functions=function_b4980,function_b4a2b,function_b4c05; ranges=0xb4980-0xb4a2b,0xb4a2b-0xb4c00,0xb4c05-0xb4c08
126	110	0x8f834	function_8f834	vm_tier4_entry_110	vm_unobserved_handlers_retdec_batch02.c	6	3	0	1	native_ret_prefix_over_clean_child_slot	overlap_dispatch_table_slot_comment_only	((state0 ^ s16(ip+3)) - 0x29ce8b8a) & 0xffff	callret=native_ret_prefix_over_clean_child_slot; calls=0; rets=1; ip += 6; retdec_tail=primary writes frame[dst] = frame[187] + operand; child tier2 slot is clean only after separate entry composition; ip_reads=+0x2/4,+0x0/2,+0x0/1,+0x1/2,+0x3/2; frame_reads=0xa,0x0,0x170,0xbb,0x71,0x10f; frame_writes=0x170,0x71,0x1dc,0x0,0xa; functions=function_8f834,function_8f8ae,function_8faf1; ranges=0x8f834-0x8f8ae,0x8f8ae-0x8faec,0x8faf1-0x8faf4
127	126	0x92615	function_92615	vm_tier4_entry_126	vm_unobserved_handlers_retdec_batch04.c	8	2	0	1	native_ret_stack_prefix	state_pointer_return_no_dispatch_slot		callret=native_ret_stack_prefix; calls=0; rets=1; ip += 8; retdec_tail=primary writes dereferenced qword plus frame[187]+operand stack cell; ip_reads=+0x3/2,+0x6/2,+0x4/2,+0x0/4,+0x2/1,+0x0/2; frame_reads=0xa,0x194,0x0,0xbb,0x81,0x71,0x10f,0x170,0x23; frame_writes=0x71,0x1dc,0x0,0x170,0xa; functions=function_92615,function_926c3; ranges=0x92615-0x926c3,0x926c3-0x9299b
128	303	0xb769c	function_b769c	vm_tier4_entry_303	vm_unobserved_handlers_retdec_batch01.c	8	4	0	1	native_ret_result_prefix	masked_noisy_overlap_return_no_dispatch_slot		callret=native_ret_result_prefix; calls=0; rets=1; ip += 8; retdec_tail=primary writes dereferenced source into destination; overlap tier3 return is g2/noise residue; ip_reads=+0x2/2,+0x0/2,+0x4/2,+0x6/2; frame_reads=0xa,0x170,0x0,0x10f; frame_writes=0x1dc,0x23,0xa; functions=function_b769c,function_b7717,function_b78b2,function_b78b5; ranges=0xb769c-0xb7717,0xb7717-0xb78b0,0xb78b2-0xb78b4,0xb78b5-0xb78b6
129	342	0xbfb99	function_bfb99	vm_tier4_entry_342	vm_unobserved_handlers_retdec_batch04.c	11	2	0	1	native_ret_result_prefix	state_effect_only_no_dispatch_return		callret=native_ret_result_prefix; calls=0; rets=1; ip += 11; retdec_tail=primary moves frame value and returns result; overlap child returns result; ip_reads=+0x0/2,+0x5/2,+0x3/2,+0x2/2,+0x2/1,+0x9/2,+0x7/2; frame_reads=0xa,0x170,0x199,0x0,0x10f; frame_writes=0x170,0x1dc,0xa; functions=function_bfb99,function_bfc0d; ranges=0xbfb99-0xbfc0d,0xbfc0d-0xbff6a
130	353	0xc21c3	function_c21c3	vm_tier4_entry_353	vm_unobserved_handlers_retdec_batch01.c	6	4	0	1	native_ret_result_prefix	state_effect_only_no_dispatch_return		callret=native_ret_result_prefix; calls=0; rets=1; ip += 6; retdec_tail=primary writes frame[187]+operand into destination and returns result; ip_reads=+0x0/2,+0x2/4; frame_reads=0xa,0x23,0x170,0x0,0xbb,0x10f; frame_writes=0x170,0x23,0x1dc,0xf3,0xa; functions=function_c21c3,function_c2241,function_c2414,function_c2417; ranges=0xc21c3-0xc2241,0xc2241-0xc240f,0xc2414-0xc2416,0xc2417-0xc2418
131	15	0x7b6cb	function_7b6cb	vm_tier4_entry_015	vm_unobserved_handlers_retdec_batch05.c	5	2	0	1	native_ret_frame_cell	frame_cell_return_no_dispatch_slot		callret=native_ret_frame_cell; calls=0; rets=1; ip += 5; retdec_tail=primary returns frame[112] after stack-like frame cell writes; ip_reads=+0x0/4,+0x0/1,+0x3/2,+0x1/2; frame_reads=0xa,0x60,0x0,0x71,0x23,0xe1,0x10f,0x81; frame_writes=0x170,0x71,0x1dc,0x60,0x0,0xa; functions=function_7b6cb,function_7b77c; ranges=0x7b6cb-0x7b77c,0x7b77c-0x7bae9
132	53	0x8371d	function_8371d	vm_tier4_entry_053	vm_unobserved_handlers_retdec_batch05.c	5	2	0	1	native_ret_frame_cell	frame_cell_return_no_dispatch_slot		callret=native_ret_frame_cell; calls=0; rets=1; ip += 5; retdec_tail=primary returns frame[112]; overlap child returns g2-derived residue; ip_reads=+0x0/4,+0x3/2,+0x2/1,+0x0/2; frame_reads=0xa,0x0,0x60,0x23,0x194,0x71,0x10f,0x170; frame_writes=0x170,0x71,0x1dc,0x0,0x60,0xa; functions=function_8371d,function_837cb; ranges=0x8371d-0x837cb,0x837cb-0x83b40
133	163	0x99e21	function_99e21	vm_tier4_entry_163	vm_unobserved_handlers_retdec_batch05.c	5	2	0	1	native_ret_prefix_over_raw_child_slot	overlap_raw_slot_comment_only	((((state0 - flags0 - 0x05d1cfd6) | 0x7c3f7914) ^ s16(ip+0)) - 0x51b094c3) & 0xffff	callret=native_ret_prefix_over_raw_child_slot; calls=0; rets=1; ip += 5; retdec_tail=primary copies frame value; child raw modulo slot lacks dispatch-table base for this entry; ip_reads=+0x2/2,+0x0/2,+0x4/1; frame_reads=0xa,0x0,0x60,0x194,0x71,0x23,0x10f,0x170; frame_writes=0x170,0x71,0x1dc,0x0,0x60,0xa; functions=function_99e21,function_99e99; ranges=0x99e21-0x99e99,0x99e99-0x9a24c
134	252	0xacefd	function_acefd	vm_tier4_entry_252	vm_unobserved_handlers_retdec_batch05.c	6	2	0	1	native_ret_frame_cell	frame_cell_return_no_dispatch_slot		callret=native_ret_frame_cell; calls=0; rets=1; ip += 6; retdec_tail=primary returns frame[112]; overlap child is noisy predicate residue; ip_reads=+0x0/4,+0x2/4,+0x0/2; frame_reads=0x81,0xa,0x170,0x23,0x0,0x194,0x10f; frame_writes=0x170,0x23,0x1dc,0x60,0xa; functions=function_acefd,function_acfb1; ranges=0xacefd-0xacfb1,0xacfb1-0xad32c
135	98	0x8c8ec	function_8c8ec	vm_tier4_entry_098	vm_unobserved_handlers_retdec_batch04.c	8	3	0	1	native_ret_stack_prefix	overlap_dispatch_deref_comment_only		callret=native_ret_stack_prefix; calls=0; rets=1; ip += 8; retdec_tail=primary writes dereferenced qword plus frame[187]+operand; child dereferences dispatch_base+slot but slot algebra is not isolated; ip_reads=+0x6/2,+0x4/2,+0x0/4,+0x0/1,+0x3/2,+0x1/2; frame_reads=0xa,0x0,0x60,0xbb,0x81,0xe1,0x71,0x10f,0x170; frame_writes=0x71,0x1dc,0x0,0x60,0x170,0xa; functions=function_8c8ec,function_8c99a,function_8cc86; ranges=0x8c8ec-0x8c99a,0x8c99a-0x8cc81,0x8cc86-0x8cc89
136	149	0x96eb4	function_96eb4	vm_tier4_entry_149	vm_unobserved_handlers_retdec_batch05.c	5	2	0	1	native_ret_result_prefix	state_effect_only_no_dispatch_return		callret=native_ret_result_prefix; calls=0; rets=1; ip += 5; retdec_tail=primary copies frame value into operand-selected frame slot and returns result; ip_reads=+0x0/2,+0x2/2,+0x4/1; frame_reads=0xa,0x0,0x60,0x194,0x71,0x23,0x10f; frame_writes=0x71,0x170,0x1dc,0x60,0x0,0xa; functions=function_96eb4,function_96f2a; ranges=0x96eb4-0x96f2a,0x96f2a-0x97311
137	226	0xa6e55	function_a6e55	vm_tier4_entry_226	vm_unobserved_handlers_retdec_batch04.c	11	3	0	2	native_double_ret_shared_prefix	multi_ret_side_effect_no_dispatch_slot		callret=native_double_ret_shared_prefix; calls=0; rets=2; ip += 11; retdec_tail=prefix plus known child both return; native queue records two ret side-effect sites; ip_reads=+0x0/2,+0x2/2,+0x4/2,+0x6/2,+0x0/4,+0x9/2,+0x6/1,+0x7/2; frame_reads=0xa,0xbb,0x170,0x199,0x23,0x10f; frame_writes=0x1dc,0x170,0x23,0xa; functions=function_a6e55,function_a6f03,function_a6f79; ranges=0xa6e55-0xa6f03,0xa6f03-0xa6f79,0xa6f79-0xa71fe
138	7	0x799c7	function_799c7	vm_tier4_entry_007	vm_unobserved_handlers_retdec_batch04.c	5	3	0	1	native_ret_prefix_over_clean_child_slot	overlap_dispatch_table_slot_comment_only	(s16(ip+0) + 0x4c6) & 0xffff	callret=native_ret_prefix_over_clean_child_slot; calls=0; rets=1; ip += 5; retdec_tail=primary copies source into destination; child tier3 slot is clean only after separate entry composition; ip_reads=+0x0/2,+0x3/2,+0x2/2,+0x2/1; frame_reads=0xa,0x60,0x0,0x23,0x194,0x71,0x10f; frame_writes=0x71,0x1dc,0x60,0x0,0x170,0xa; functions=function_799c7,function_79a3d,function_79da7; ranges=0x799c7-0x79a3d,0x79a3d-0x79da3,0x79da7-0x79dad
139	139	0x94ddf	function_94ddf	vm_tier4_entry_139	vm_unobserved_handlers_retdec_batch04.c	6	3	0	1	native_ret_result_prefix	raw_mod_overlap_return_comment_only		callret=native_ret_result_prefix; calls=0; rets=1; ip += 6; retdec_tail=primary writes frame[187]+operand into destination; overlap child returns raw modulo value; ip_reads=+0x0/4,+0x4/2,+0x2/4,+0x0/2; frame_reads=0x23,0xa,0x170,0x81,0x0,0x194,0xbb,0x10f; frame_writes=0x23,0x170,0x1dc,0x60,0xa; functions=function_94ddf,function_94e5a,function_951cb; ranges=0x94ddf-0x94e5a,0x94e5a-0x951c2,0x951cb-0x951cc
