ref_index	program	site	value	string_vaddr	section_name	match_class	text	context_status	distance_bytes	row_start	row_end	source_block	source_entry	opcode_name	row_kind	bytes	state_kind	dispatch_slot_kind	target	delta	semantic_ir	opcode_state_preview	opcode_dispatch_preview	prev_ops	next_ops
0	020	0x128e61	0x38f0	0x38e5	.dynstr	string_interior	FILTERS_MODE_IPREFETCH	exact_row	0	0x128e60	0x128e64	7@0x128952-0x129079+0x50e	333	vmop_333_plus0x4_state_add_const_slot_multi_path	exact_instruction	83f03800	state_add_const	slot_multi_path	18@0x7be9b:1	+0x4	next = 18@0x7be9b:1, ip += +0x4; dispatch_model=static_100	state0 ^ flags0 ^ state0 | 0x37ccc6ea - 0x61e56767 & flags0 ^ state0 + flags0 ^ state0 | 0x71cc1ee8 | 0x569ecec3 + u16_0 - state0 ^ flags0 ^ state0 | 0x37ccc6ea -...#eb	128=(mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32(flags0 ^ state0)) | 0x37ccc6ea)))) - 0x61e56767)) & (mask32(flags0 ^ state0))...#df	0x128e54:vmop_064_plus0x4_state_add_const_slot_multi_path->168@0x9aa83:1 || 0x128e58:vmop_168_plus0x4_state_add_const_slot_multi_path->243@0xaab6a:1 || 0x128e5c:vmop_243_plus0x4_state_add_const_slot_multi_path->333@0xbd8af:1	0x128e64:vmop_018_plus0x3_state_add_const_slot_multi_path->64@0x85059:1 || 0x128e67:vmop_064_plus0x4_state_add_const_slot_multi_path->26@0x7dbbb:1 || 0x128e6b:vmop_026_plus0x4_state_add_const_slot_multi_path->172@0x9b68a:1
1	021	0x172f32	0x3399	0x3398	.dynstr	string_interior	pthread_mutexattr_init	exact_row	0	0x172f31	0x172f35	8@0x1705a9-0x174534+0x2988	337	vmop_337_plus0x4_state_add_const_slot_multi_path	exact_instruction	44993300	state_add_const	slot_multi_path	49@0x82820:1	+0x4	next = 49@0x82820:1, ip += +0x4; dispatch_model=static_100	state0 - flags0 - u16_2 + state0 - flags0 + flags0 + 0x2051de91 & flags0 + 0x61f749a7 | 0x51d7631a ^ flags0 + 0x61f749a7 ^ 0x3de72107 & 0xe04b834 | u16_0 + state0...#13a	85=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - (mask32((mask32(u16_2 + (mask32(state0 - flags0)))) + flags0)))) + ...#12f	0x172f26:vmop_297_plus0x3_state_add_const_slot_multi_path->350@0xc1926:1 || 0x172f29:vmop_350_plus0x4_state_add_const_slot_mba_stateful->168@0x9aa83:1 || 0x172f2d:vmop_168_plus0x4_state_add_const_slot_multi_path->337@0xbec0e:1	0x172f35:vmop_049_plus0x5_state_add_const_slot_mba_stateful->160@0x994cf:1 || 0x172f3a:vmop_160_plus0x2_state_const_post_slot_multi_path->172@0x9b68a:1 || 0x172f3c:vmop_172_plus0x4_state_add_const_slot_mba_stateful->28@0x7e390:1
2	022	0x1772f2	0x5f073a	0x5f072a	.rodata	string_interior	unsigned __int128	exact_row	0	0x1772f0	0x1772f5	9@0x176883-0x177ca2+0xa6d	330	vmop_330_plus0x5_state_add_const_slot_u16_0	exact_instruction	68093a075f	state_add_const	slot_u16_0	301@0xb708d:1	+0x5	next = 301@0xb708d:1, ip += +0x5; dispatch_model=static_100	state0 | 0x6460b705 & 0x786588ba ^ 0x2897b354 + u16_0	128=u16_0 & 0xffff	0x1772e5:vmop_185_plus0x3_state_add_const_slot_multi_path->322@0xbb3c9:1 || 0x1772e8:vmop_322_plus0x4_state_add_const_slot_multi_path->92@0x8b8cb:1 || 0x1772ec:vmop_092_plus0x4_state_add_const_slot_multi_path->330@0xbc9b8:1	0x1772f5:vmop_301_plus0x5_state_add_const_slot_mba_stateful->173@0x9ba74:1 || 0x1772fa:vmop_173_plus0x2_state_add_const_slot_multi_path->246@0xab427:1 || 0x1772fc:vmop_246_plus0x78_sampled_long_or_sparse_slot_unknown->354@0xc2241
3	031	0x2318ea	0x411a	0x4112	.dynstr	string_interior	_ZGTtdlPv	exact_row	0	0x2318e8	0x2318eb	16@0x2316bf-0x231b7a+0x229	199	vmop_199_plus0x3_state_add_const_slot_multi_path	exact_instruction	a7581a	state_add_const	slot_multi_path	3@0x78c77:1	+0x3	next = 3@0x78c77:1, ip += +0x3; dispatch_model=static_100	state0 + b2 + flags0 ^ 0x7353b039 - 0x24d1328a ^ 0x7e708197 & 0x20d5418 + flags0 ^ 0x7353b039 - 0x24d1328a	106=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32(state0 + (mask32(b2 + flags0)))) ^ 0x7e708197)) & 0x20d5418)) + flags0)))) + 0x3030bb89)) & 0xffff | 2...#12f	0x2318dc:vmop_043_plus0x4_state_add_const_slot_mba_stateful->114@0x90319:1 || 0x2318e0:vmop_114_plus0x4_state_add_const_slot_multi_path->300@0xb6c36:1 || 0x2318e4:vmop_300_plus0x4_state_add_const_slot_multi_path->199@0xa0631:1	0x2318eb:vmop_003_plus0x5_state_add_const_slot_multi_path->198@0xa037e:1 || 0x2318f0:vmop_198_plus0x2_state_add_const_slot_mba_stateful->28@0x7e390:1 || 0x2318f2:vmop_028_plus0x3_state_add_const_slot_u16_0->340@0xbf435:1
4	034	0x26db58	0x58518e	0x58518e	.rodata	string_start	YYYYY	exact_row	0	0x26db56	0x26db59	19@0x26db07-0x26f097+0x4f	28	vmop_028_plus0x3_state_add_const_slot_u16_0	exact_instruction	e0038e	state_add_const	slot_u16_0	124@0x91e81:4	+0x3	next = 124@0x91e81:4, ip += +0x3; dispatch_model=static_100; state=state_add_const	state0 | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a | flags0 ^ state0 | 0xb9ad02a & 0x3fb85e48 - state0 ^ 0x6e3e6f1a + 0x43078fb1 & 0x282416bb...#12f	128=u16_0 & 0xffff	0x26db4b:vmop_301_plus0x5_state_add_const_slot_mba_stateful->108@0x8f24b:4 || 0x26db50:vmop_108_plus0x2_state_add_const_slot_mba_stateful->43@0x8173d:4 || 0x26db52:vmop_043_plus0x4_state_add_const_slot_mba_stateful->28@0x7e390:4	0x26db59:vmop_124_plus0x6_state_add_const_slot_multi_path->258@0xadf2c:4 || 0x26db5f:vmop_258_plus0x4_state_add_const_slot_multi_path->37@0x80685:4 || 0x26db63:vmop_037_plus0x5_state_add_const_slot_mba_stateful->144@0x95887:4
5	039	0x2c0363	0x331b	0x3316	.dynstr	string_interior	socket	exact_row	0	0x2c0362	0x2c0366	23@0x2bfe6f-0x2c05b1+0x4f3	172	vmop_172_plus0x4_state_add_const_slot_mba_stateful	exact_instruction	531b3300	state_add_const	slot_mba_stateful	320@0xbada5:1	+0x4	next = 320@0xbada5:1, ip += +0x4; dispatch_model=static_100	state0 ^ 0x7070916c - 0x6ecee241 + u16_0 ^ state0 ^ 0x7070916c - 0x6ecee241 ^ flags0 ^ 0x15bf847f & state0 | 0x3eba9edf | u16_2 ^ 0x715f0a33	128=(mask32(u16_2 ^ 0x715f0a33)) & 0xffff	0x2c0355:vmop_258_plus0x4_state_add_const_slot_multi_path->215@0xa4609:1 || 0x2c0359:vmop_215_plus0x3_state_mixed_slot_u16_0->239@0xa991e:1 || 0x2c035c:vmop_239_plus0x6_state_add_const_slot_mba_stateful->172@0x9b68a:1	0x2c0366:vmop_320_plus0x5_state_add_const_slot_mba_stateful->144@0x95887:1 || 0x2c036b:vmop_144_plus0x2_state_mixed_slot_mba_stateful->347@0xc088d:1 || 0x2c036d:vmop_347_plus0x4_state_add_const_slot_multi_path->154@0x97ce6:1
6	040	0x2c13a3	0x5843fc	0x5843f0	.rodata	string_interior	basic_string::append	exact_row	0	0x2c139f	0x2c13a5	24@0x2c1156-0x2c13ed+0x249	140	vmop_140_plus0x6_state_add_const_slot_multi_path	exact_instruction	e88371cafc43	state_add_const	slot_multi_path	268@0xb0007:1	+0x6	next = 268@0xb0007:1, ip += +0x6; dispatch_model=static_100	state0 - flags0 - 0x6f549f79 - state0 | 0xf17c331 | 0x16a9ca8c + u16_0 ^ state0 - flags0 - 0x6f549f79 - state0 | 0xf17c331 | 0x16a9ca8c ^ 0x6e089feb	112=(mask32((mask32(u16_0 ^ (mask32(state0 - (mask32((mask32(flags0 - (mask32(state0 | 0xf17c331)))) | 0x16a9ca8c)))))) ^ 0x6e089feb)) & 0xffff | 16=(mask32((mask...#137	0x2c1395:vmop_049_plus0x5_state_add_const_slot_mba_stateful->257@0xadbfd:1 || 0x2c139a:vmop_257_plus0x2_state_add_const_slot_multi_path->185@0x9d964:1 || 0x2c139c:vmop_185_plus0x3_state_add_const_slot_multi_path->140@0x94e5a:1	0x2c13a5:vmop_268_plus0x4_state_add_const_slot_multi_path->114@0x90319:1 || 0x2c13a9:vmop_114_plus0x4_state_add_const_slot_multi_path->319@0xba72f:1 || 0x2c13ad:vmop_319_plus0x5_state_add_const_slot_multi_path->256@0xad849:1
7	041	0x30eebd	0x3000	0x2ff2	.dynstr	string_interior	_ITM_registerTMCloneTable	exact_row	0	0x30eeba	0x30eeea	25@0x30e872-0x316692+0x648	210	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	long_branch_forward	a5000000300000003d0122	sampled_long_or_sparse	slot_unknown	165@0x9a24c	+0x30	next = table[165], ip += 0x30	state0		0x30eeab:vmop_168_plus0x4_state_add_const_slot_multi_path->345@0xc02e4:14 || 0x30eeaf:vmop_345_plus0x6_state_add_const_slot_mba_stateful->52@0x833c7:14 || 0x30eeb5:vmop_052_plus0x5_state_add_const_slot_mba_stateful->210@0xa2da3:14	0x30eed0:vmop_199_plus0x3_state_add_const_slot_multi_path->337@0xbec0e:13 || 0x30eed3:vmop_337_plus0x4_state_add_const_slot_multi_path->157@0x98a9a:13 || 0x30eed7:vmop_157_plus0x4_state_add_const_slot_multi_path->326@0xbc06d:13
8	041	0x30eee5	0x4000	0x3ff6	.dynstr	string_interior	__freelocale	exact_row	0	0x30eeba	0x30eeea	25@0x30e872-0x316692+0x648	210	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	long_branch_forward	a5000000300000003d0122	sampled_long_or_sparse	slot_unknown	165@0x9a24c	+0x30	next = table[165], ip += 0x30	state0		0x30eeab:vmop_168_plus0x4_state_add_const_slot_multi_path->345@0xc02e4:14 || 0x30eeaf:vmop_345_plus0x6_state_add_const_slot_mba_stateful->52@0x833c7:14 || 0x30eeb5:vmop_052_plus0x5_state_add_const_slot_mba_stateful->210@0xa2da3:14	0x30eed0:vmop_199_plus0x3_state_add_const_slot_multi_path->337@0xbec0e:13 || 0x30eed3:vmop_337_plus0x4_state_add_const_slot_multi_path->157@0x98a9a:13 || 0x30eed7:vmop_157_plus0x4_state_add_const_slot_multi_path->326@0xbc06d:13
9	041	0x30f17b	0x31f5	0x31ef	.dynstr	string_interior	blake3_hasher_finalize	exact_row	0	0x30f179	0x30f17c	25@0x30e872-0x316692+0x907	199	vmop_199_plus0x3_state_add_const_slot_multi_path	exact_instruction	c201f5	state_add_const	slot_multi_path	37@0x80685:4	+0x3	next = 37@0x80685:4, ip += +0x3; dispatch_model=static_100; state=state_const_post	state0 + b2 + flags0 ^ 0x7353b039 - 0x24d1328a ^ 0x7e708197 & 0x20d5418 + flags0 ^ 0x7353b039 - 0x24d1328a	106=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32(state0 + (mask32(b2 + flags0)))) ^ 0x7e708197)) & 0x20d5418)) + flags0)))) + 0x3030bb89)) & 0xffff | 2...#12f	0x30f16b:vmop_239_plus0x6_state_add_const_slot_mba_stateful->196@0x9fbcd:4 || 0x30f171:vmop_196_plus0x4_state_add_const_slot_multi_path->347@0xc088d:4 || 0x30f175:vmop_347_plus0x4_state_add_const_slot_multi_path->199@0xa0631:4	0x30f17c:vmop_037_plus0x5_state_add_const_slot_mba_stateful->108@0x8f24b:4 || 0x30f181:vmop_108_plus0x2_state_add_const_slot_mba_stateful->43@0x8173d:4 || 0x30f183:vmop_043_plus0x4_state_add_const_slot_mba_stateful->64@0x85059:4
10	041	0x310859	0x5f073a	0x5f072a	.rodata	string_interior	unsigned __int128	exact_row	0	0x310857	0x31085c	25@0x30e872-0x316692+0x1fe5	330	vmop_330_plus0x5_state_add_const_slot_u16_0	exact_instruction	88013a075f	state_add_const	slot_u16_0	49@0x82820:1	+0x5	next = 49@0x82820:1, ip += +0x5; dispatch_model=static_100; state=state_add_const	state0 | 0x6460b705 & 0x786588ba ^ 0x2897b354 + u16_0	128=u16_0 & 0xffff	0x31084c:vmop_281_plus0x4_state_add_const_slot_multi_path->332@0xbd36d:1 || 0x310850:vmop_332_plus0x4_state_add_const_slot_multi_path->18@0x7be9b:1 || 0x310854:vmop_018_plus0x3_state_add_const_slot_multi_path->330@0xbc9b8:1	0x31085c:vmop_049_plus0x5_state_add_const_slot_mba_stateful->352@0xc1ec4:1 || 0x310861:vmop_352_plus0x2_state_add_const_slot_mba_stateful->199@0xa0631:1 || 0x310863:vmop_199_plus0x3_state_add_const_slot_multi_path->43@0x8173d:1
11	041	0x315809	0x3800	0x3800	.dynstr	string_start	zydis_decoder_tree_root	exact_row	0	0x310dba	0x315cc8	25@0x30e872-0x316692+0x2548	75	vmop_075_minus0x6d_sampled_backedge_slot_unknown	long_branch_forward	620100000e4f00003d0122	sampled_backedge	slot_unknown	354@0xc2241	+0x4f0e	next = table[354], ip += 0x4f0e	state0		0x310dad:vmop_114_plus0x4_state_add_const_slot_multi_path->196@0x9fbcd:92 || 0x310db1:vmop_196_plus0x4_state_add_const_slot_multi_path->242@0xaa87d:92 || 0x310db5:vmop_242_plus0x5_state_formula_slot_mba_stateful->75@0x873fc:92	0x310dca:vmop_260_plus0x4_state_add_const_slot_multi_path->183@0x9d495:91 || 0x310dce:vmop_183_plus0x4_state_add_const_slot_mba_stateful->196@0x9fbcd:91 || 0x310dd2:vmop_196_plus0x4_state_add_const_slot_multi_path->347@0xc088d:91
12	042	0x31b31e	0x3000	0x2ff2	.dynstr	string_interior	_ITM_registerTMCloneTable	exact_row	0	0x31b31b	0x31b34b	26@0x31aa27-0x31f2b7+0x8f4	316	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	long_branch_forward	a5000000300000003d0122	sampled_backedge	slot_unknown	165@0x9a24c	+0x30	next = table[165], ip += 0x30	state0		0x31b30f:vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const->168@0x9aa83:8 || 0x31b312:vmop_168_plus0x4_state_add_const_slot_multi_path->52@0x833c7:8 || 0x31b316:vmop_052_plus0x5_state_add_const_slot_mba_stateful->316@0xb987b:8	0x31b331:vmop_258_plus0x4_state_add_const_slot_multi_path->307@0xb8064:7 || 0x31b335:vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const->157@0x98a9a:7 || 0x31b338:vmop_157_plus0x4_state_add_const_slot_multi_path->290@0xb4c00:7
13	042	0x31b346	0x4000	0x3ff6	.dynstr	string_interior	__freelocale	exact_row	0	0x31b31b	0x31b34b	26@0x31aa27-0x31f2b7+0x8f4	316	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	long_branch_forward	a5000000300000003d0122	sampled_backedge	slot_unknown	165@0x9a24c	+0x30	next = table[165], ip += 0x30	state0		0x31b30f:vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const->168@0x9aa83:8 || 0x31b312:vmop_168_plus0x4_state_add_const_slot_multi_path->52@0x833c7:8 || 0x31b316:vmop_052_plus0x5_state_add_const_slot_mba_stateful->316@0xb987b:8	0x31b331:vmop_258_plus0x4_state_add_const_slot_multi_path->307@0xb8064:7 || 0x31b335:vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const->157@0x98a9a:7 || 0x31b338:vmop_157_plus0x4_state_add_const_slot_multi_path->290@0xb4c00:7
14	042	0x31c008	0x3000	0x2ff2	.dynstr	string_interior	_ITM_registerTMCloneTable	exact_row	0	0x31c005	0x31c035	26@0x31aa27-0x31f2b7+0x15de	75	vmop_075_minus0x6d_sampled_backedge_slot_unknown	long_branch_forward	a5000000300000003d0122	sampled_backedge	slot_unknown	165@0x9a24c	+0x30	next = table[165], ip += 0x30	state0		0x31bff7:vmop_253_plus0x6_state_add_const_slot_mba_stateful->18@0x7be9b:8 || 0x31bffd:vmop_018_plus0x3_state_add_const_slot_multi_path->52@0x833c7:8 || 0x31c000:vmop_052_plus0x5_state_add_const_slot_mba_stateful->75@0x873fc:8	0x31c01b:vmop_114_plus0x4_state_add_const_slot_multi_path->28@0x7e390:7 || 0x31c01f:vmop_028_plus0x3_state_add_const_slot_u16_0->268@0xb0007:7 || 0x31c022:vmop_268_plus0x4_state_add_const_slot_multi_path->0@0x78561:7
