ref_index	program	first_seen_rank	site	text	section_name	role	role_confidence	role_evidence	behavior_tags	opcode_name	source_entry	row_start	semantic_ir
0	020	58	0x128e61	FILTERS_MODE_IPREFETCH	.dynstr	cpu_or_runtime_configuration_name	medium	CPU/runtime feature/configuration name	control_transfer_or_native_bridge_candidate	vmop_333_plus0x4_state_add_const_slot_multi_path	333	0x128e60	next = 18@0x7be9b:1, ip += +0x4; dispatch_model=static_100
1	021	57	0x172f32	pthread_mutexattr_init	.dynstr	threading_import_symbol	high	pthread synchronization import name	threading_sync	vmop_337_plus0x4_state_add_const_slot_multi_path	337	0x172f31	next = 49@0x82820:1, ip += +0x4; dispatch_model=static_100
2	022	46	0x1772f2	unsigned __int128	.rodata	compiler_type_name	medium	compiler/runtime type-name string	control_transfer_or_native_bridge_candidate	vmop_330_plus0x5_state_add_const_slot_u16_0	330	0x1772f0	next = 301@0xb708d:1, ip += +0x5; dispatch_model=static_100
3	031	50	0x2318ea	_ZGTtdlPv	.dynstr	cxx_runtime_type_or_exception_text	medium	C++ ABI/libstdc++ type or diagnostic text	cxx_runtime	vmop_199_plus0x3_state_add_const_slot_multi_path	199	0x2318e8	next = 3@0x78c77:1, ip += +0x3; dispatch_model=static_100
4	034	1	0x26db58	YYYYY	.rodata	literal_data_marker	low	short repeated literal data marker	control_transfer_or_native_bridge_candidate	vmop_028_plus0x3_state_add_const_slot_u16_0	28	0x26db56	next = 124@0x91e81:4, ip += +0x3; dispatch_model=static_100; state=state_add_const
5	039	63	0x2c0363	socket	.dynstr	network_import_symbol	high	network syscall/libc import name	networking	vmop_172_plus0x4_state_add_const_slot_mba_stateful	172	0x2c0362	next = 320@0xbada5:1, ip += +0x4; dispatch_model=static_100
6	040	65	0x2c13a3	basic_string::append	.rodata	cxx_runtime_type_or_exception_text	medium	C++ ABI/libstdc++ type or diagnostic text	cxx_runtime	vmop_140_plus0x6_state_add_const_slot_multi_path	140	0x2c139f	next = 268@0xb0007:1, ip += +0x6; dispatch_model=static_100
7	041	31	0x30eebd	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	libgcc/libstdc++ transactional-memory support symbol	crypto_hashing;cxx_runtime;disassembly_metadata	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x30eeba	next = table[165], ip += 0x30
8	041	31	0x30eee5	__freelocale	.dynstr	locale_runtime_symbol	medium	libc locale runtime symbol	crypto_hashing;cxx_runtime;disassembly_metadata	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x30eeba	next = table[165], ip += 0x30
9	041	31	0x30f17b	blake3_hasher_finalize	.dynstr	crypto_import_symbol	high	BLAKE3 import/name string	crypto_hashing;cxx_runtime;disassembly_metadata	vmop_199_plus0x3_state_add_const_slot_multi_path	199	0x30f179	next = 37@0x80685:4, ip += +0x3; dispatch_model=static_100; state=state_const_post
10	041	31	0x310859	unsigned __int128	.rodata	compiler_type_name	medium	compiler/runtime type-name string	crypto_hashing;cxx_runtime;disassembly_metadata	vmop_330_plus0x5_state_add_const_slot_u16_0	330	0x310857	next = 49@0x82820:1, ip += +0x5; dispatch_model=static_100; state=state_add_const
