source_entry	synthetic_start_vm_ip	missing_successor_vm_ip	gap_bytes	dynamic_resolution	start_event_count	start_site	next_event_count	next_site	dynamic_next_end_vm_ip	dynamic_next_tail_target_entry	candidate_entries	hidden_source_entry	hidden_source_target	hidden_source_start_vm_ip	hidden_source_delta_from_start	hidden_source_bytes	hidden_pred_entry	hidden_pred_target	hidden_pred_delta	hidden_pred_end_vm_ip	hidden_target_expr	hidden_slot_expr	hidden_ip_expr	steps	unknown_ops	branch_unknown	path	status
175	0xd1445	0xd144b	cb1702008000	dynamic_stitch_to_next_hooked_source	132655	0x992ca	132656	0xb86f5	0xd4897	354	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	0xb8556	0xd4893	+0x344e	e8016201510188949900530c3a14689dd9d23ce801e08a3adc5f22ca72ecadd7	354	0xc2241	+0x4	0xd4897	T[u16_2 << 0x3]	u16_2 << 0x3	0x4	72	24	0	0xb8595:je:1;0xb8617:je:1	dynamic_next_hook_matches_static_transfer
195	0xd5ebc	0xd5ec2	1e1e02008000	dynamic_stitch_to_next_hooked_source	133980	0x91e7f	133981	0x9b0c5	0x18bd9a	171	169:5:+0x4:observed_source,byte_match	169	0x9af18	0x18bd96	+0xb5eda	ab00e8011c006005108aae93003cd399002200e801d8f5ae93d7c6d4c4c654e9	171	0x9b4b3	+0x4	0x18bd9a	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
195	0xdaf39	0xdaf3f	d43002008000	dynamic_stitch_to_next_hooked_source	135019	0x9d961	135020	0xb86f5	0x18c088	171	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	0xb8556	0x18c084	+0xb114b	e801ab00c7000f483a8b8364bc12e1eb03e80171f2721bdf5b2d1a1cc3e8ab00	171	0x9b4b3	+0x4	0x18c088	T[u16_2 << 0x3]	u16_2 << 0x3	0x4	72	24	0	0xb8595:je:1;0xb8617:je:1	dynamic_next_hook_matches_static_transfer
299	0x122e3c	0x122e42	09d402008000	dynamic_stitch_to_next_hooked_source	766856	0x9c08c	766857	0x9b0c5	0x2c0468	165	169:5:+0x4:observed_source,byte_match	169	0x9af18	0x2c0464	+0x19d628	a500e8012b00f5749900e8053aaea57c9ee801b4815801c6136cd71512f340e4	165	0x9a24c	+0x4	0x2c0468	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
278	0x12906f	0x129079	b2b51500800010c00600	dynamic_stitch_to_next_hooked_source	763157	0x9c08c	763158	0xb86f5	0x172d66	171	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	0xb8556	0x172d62	+0x49cf3	e801ab000c014a1c866c006f99001229c4e801eabeaf0b7f7a79075e59f83d85	171	0x9b4b3	+0x4	0x172d66	T[u16_2 << 0x3]	u16_2 << 0x3	0x4	72	24	0	0xb8595:je:1;0xb8617:je:1	dynamic_next_hook_matches_static_transfer
299	0x17452e	0x174534	eb1303008000	dynamic_stitch_to_next_hooked_source	766123	0x91e7f	766124	0xb86f5	0x2bff9e	354	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	0xb8556	0x2bff9a	+0x14ba6c	e80162010201eec40776c66731df91367ae80151f6c0bb55a1f18a3a27a30d0b	354	0xc2241	+0x4	0x2bff9e	T[u16_2 << 0x3]	u16_2 << 0x3	0x4	72	24	0	0xb8595:je:1;0xb8617:je:1	dynamic_next_hook_matches_static_transfer
175	0x17a420	0x17a426	031703008000	dynamic_stitch_to_next_hooked_source	755346	0x99b3a	755347	0x9b0c5	0x120b02	354	169:5:+0x4:observed_source,byte_match	169	0x9af18	0x120afe	-0x59922	6201e801020146c20776685686d5d00088cf69e80173a2ab005d99a5bf854301	354	0xc2241	+0x4	0x120b02	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
195	0x18c467	0x18c46d	fe2203008000	dynamic_stitch_to_next_hooked_source	135282	0x9d961	135283	0xb86f5	0x11d6b0	171	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	0xb8556	0x11d6ac	-0x6edbb	e801ab00c70057493a639c9900bc0958a0e801e084e5402a0e8cb202b3c3ab00	171	0x9b4b3	+0x4	0x11d6b0	T[u16_2 << 0x3]	u16_2 << 0x3	0x4	72	24	0	0xb8595:je:1;0xb8617:je:1	dynamic_next_hook_matches_static_transfer
175	0x1a6041	0x1a6047	bd3903008000	dynamic_stitch_to_next_hooked_source	759858	0x9c08c	759859	0x9b0c5	0x1221a4	171	169:5:+0x4:observed_source,byte_match	169	0x9af18	0x1221a0	-0x83ea1	ab00e8019d0037cf99003c80a0002add8f5d93e8015ad5af616efcf8a305af41	171	0x9b4b3	+0x4	0x1221a4	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
195	0x1ed483	0x1ed489	f97a03008000	dynamic_stitch_to_next_hooked_source	758121	0x99b3a	758122	0xb86f5	0x121ed4	354	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	0xb8556	0x121ed0	-0xcb5b3	e8016201420019983a5bade3f9cff09900e059e801680746aac4ab009833ab00	354	0xc2241	+0x4	0x121ed4	T[u16_2 << 0x3]	u16_2 << 0x3	0x4	72	24	0	0xb8595:je:1;0xb8617:je:1	dynamic_next_hook_matches_static_transfer
195	0x2304b8	0x2304be	7b4d04008000	dynamic_stitch_to_next_hooked_source	89488	0x9d961	89489	0x9b0c5	0xd1010	165	169:5:+0x4:observed_source,byte_match	169	0x9af18	0xd100c	-0x15f4ac	a500e801120058063adf9235b73c00de00e796e801e9af3ab152cd2c9880ab00	165	0x9a24c	+0x4	0xd1010	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
195	0x231b74	0x231b7a	c6f105008000	dynamic_stitch_to_next_hooked_source	756644	0x9c08c	756645	0x9b0c5	0x121c91	165	169:5:+0x4:observed_source,byte_match	169	0x9af18	0x121c8d	-0x10fee7	a500e80133013a0db0ef9d3576bd74ecdbf0fbe8013a45ade9629e9cb7c3ab00	165	0x9a24c	+0x4	0x121c91	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
299	0x24bd2a	0x24bd30	533f06008000	dynamic_stitch_to_next_hooked_source	11610	0x7ca96	11611	0x8a49b	0x11ac5e	169	86:5:+0x4:observed_source,byte_match	86	0x8a37f	0x11ac5a	-0x1310d0	a9000000ab00e801ac00b2afeb00348bde02f81356204ae801fd650d305c1144	169	0x9af18	+0x4	0x11ac5e	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	61	32	0		dynamic_next_hook_matches_static_transfer
299	0x24bd2a	0x24bd30	533f06008000	ambiguous_next_source	7346	0x7ca96	7347	0xbb8a8	0x249468	169	323:1:+0x4:observed_source,byte_miss	323	0xbb6e6	0x24bd57	+0x2d	a9000000688ae1b22d68437adf08508f04244889c84889442408584889c948c7	169	0x9af18	+0x4	0x24bd5b	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	87	25	1	0xbb707:je:?;0xbb766:je:1;0xbb7ba:je:1	hidden_chain_target_only
246	0x293689	0x293694	62010000701800003d0122	ambiguous_next_source	765028	0x91a57	765029	0xb84a4	0x2bec2e	171	308:1:+0x20:observed_source,byte_miss	308	0xb837c	0x293696	+0xd	ab00000098b50200fd00b6be05000000900350159c4ade7300b30037b8fb3d01	171	0x9b4b3	+0x2b598	0x2bec2e	T[u16_0 << 0x3]	u16_0 << 0x3	u32_4	57	28	0	0xb8454:je:1	hidden_chain_matches_next_event
195	0x31f2b1	0x31f2b7	3f3c07008000	dynamic_stitch_to_next_hooked_source	164819	0x9d961	164820	0x9b0c5	0x11d929	354	169:5:+0x4:observed_source,byte_match	169	0x9af18	0x11d925	-0x20198c	6201e8019d007fd799002cd03a5c679900e10ae8018d9d2b763f9e97deeb5ca6	354	0xc2241	+0x4	0x11d929	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
195	0x333bc9	0x333bcf	d84807008000	dynamic_stitch_to_next_hooked_source	153616	0x9c08c	153617	0x9b0c5	0x31e24d	165	169:5:+0x4:observed_source,byte_match	169	0x9af18	0x31e249	-0x15980	a500e8014d017bdf990018a82a6c628dabada3e8018bac3af0902052fee43b0b	165	0x9a24c	+0x4	0x31e24d	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
299	0x33710f	0x337115	3d4b07008000	dynamic_stitch_to_next_hooked_source	146826	0x9c3f4	146827	0xb86f5	0x31e060	165	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	0xb8556	0x31e05c	-0x190b3	e801a500c4004f6e34f07eba184d91ac2be801e9f9d7c5b1aca321c64b3bab00	165	0x9a24c	+0x4	0x31e060	T[u16_2 << 0x3]	u16_2 << 0x3	0x4	72	24	0	0xb8595:je:1;0xb8617:je:1	dynamic_next_hook_matches_static_transfer
299	0x33a6cc	0x33a6d2	924d07008000	dynamic_stitch_to_next_hooked_source	160651	0x9c3f4	160652	0x9b0c5	0x31e43a	354	169:5:+0x4:observed_source,byte_match	169	0x9af18	0x31e436	-0x1c296	6201e8012901310eebba22613ad292b6efda10e801a00a3a144aab00cbf0ab00	354	0xc2241	+0x4	0x31e43a	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
195	0x33d2d9	0x33d2df	884f07008000	dynamic_stitch_to_next_hooked_source	164150	0x9c3f4	164151	0x9b0c5	0x31e627	165	169:5:+0x4:observed_source,byte_match	169	0x9af18	0x31e623	-0x1ecb6	a500e8014000c5a6990034c17b03fb98eee80129f6ef9d97b7ffb414e4d00a3e	165	0x9a24c	+0x4	0x31e627	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
175	0x34556c	0x345572	515b07008000	dynamic_stitch_to_next_hooked_source	676088	0x9c3f4	676089	0x9b0c5	0x11db16	354	169:5:+0x4:observed_source,byte_match	169	0x9af18	0x11db12	-0x227a5a	6201e801cb00a7923576241d9900f085aace1ee8015c79e94e4005727e58becf	354	0xc2241	+0x4	0x11db16	T[u16_0 << 0x3]	u16_0 << 0x3	0x4	88	12	0		dynamic_next_hook_matches_static_transfer
195	0x3655e4	0x3655ea	bd7907008000	dynamic_stitch_to_next_hooked_source	752223	0x992ca	752224	0xb86f5	0x11dd03	165	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	0xb8556	0x11dcff	-0x2478e5	e801a5002b0025749900a00ae684429900e80129f131ab55d5d780562bfc0b13	165	0x9a24c	+0x4	0x11dd03	T[u16_2 << 0x3]	u16_2 << 0x3	0x4	72	24	0	0xb8595:je:1;0xb8617:je:1	dynamic_next_hook_matches_static_transfer
