chain_start_vm_ip	step_index	step_vm_ip	step_source_entry	step_role	first_hop_kind	first_hop_target_entry	first_hop_slot_offset	first_hop_vm_ip	following_residual_start	transfer_classification	transfer_zero_seed_status	transfer_ip_expr	transfer_slot_expr	table_diagnosis	table_offset	table_entry	table_alignment	table_region	table_qword_class	runtime_matches_file	runtime_qword_class	sampled_correlation_class	sampled_target_entries	dynamic_next_source_entry	dynamic_next_source_start_vm_ip	dynamic_next_end_vm_ip	slot_target_relation	reconciliation_class
0xd1445	0	0xd1445	175	residual_chain_step	tail	123	0x3d8	0xd5eb8	0xd5ebc	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff	table_index_out_of_range	0x4388	2161	0	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	310:1	310	0xd4893	0xd4897	table_offset_oob_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0xd1445	1	0xd5ebc	195	residual_chain_step	tail	184	0x5c0	0xdaf35	0xdaf39	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0x49bd	2359	5	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:2,86:1	169	0x18bd96	0x18bd9a	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0xd1445	2	0xdaf39	195	residual_chain_step	tail	184	0x5c0	0x18c463	0x18c467	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0x1be	55	6	inside_dispatch_table_unaligned	non_pointer_bytes	no	non_pointer_bytes	sampled_target_match_delta_mismatch	310:2,86:1	310	0x18c084	0x18c088	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0xd1445	3	0x18c467	195	focused_direct_terminal_step	dispatch	42	0x150	0x334a3d		symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0xdf	27	7	inside_dispatch_table_unaligned	non_pointer_bytes	no	non_pointer_bytes	sampled_target_match_delta_mismatch	310:2,86:1	310	0x11d6ac	0x11d6b0	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0xd5ebc	0	0xd5ebc	195	residual_chain_step	tail	184	0x5c0	0xdaf35	0xdaf39	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0x49bd	2359	5	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:2,86:1	169	0x18bd96	0x18bd9a	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0xd5ebc	1	0xdaf39	195	residual_chain_step	tail	184	0x5c0	0x18c463	0x18c467	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0x1be	55	6	inside_dispatch_table_unaligned	non_pointer_bytes	no	non_pointer_bytes	sampled_target_match_delta_mismatch	310:2,86:1	310	0x18c084	0x18c088	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0xd5ebc	2	0x18c467	195	focused_direct_terminal_step	dispatch	42	0x150	0x334a3d		symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0xdf	27	7	inside_dispatch_table_unaligned	non_pointer_bytes	no	non_pointer_bytes	sampled_target_match_delta_mismatch	310:2,86:1	310	0x11d6ac	0x11d6b0	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0xdaf39	0	0xdaf39	195	residual_chain_step	tail	184	0x5c0	0x18c463	0x18c467	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0x1be	55	6	inside_dispatch_table_unaligned	non_pointer_bytes	no	non_pointer_bytes	sampled_target_match_delta_mismatch	310:2,86:1	310	0x18c084	0x18c088	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0xdaf39	1	0x18c467	195	focused_direct_terminal_step	dispatch	42	0x150	0x334a3d		symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0xdf	27	7	inside_dispatch_table_unaligned	non_pointer_bytes	no	non_pointer_bytes	sampled_target_match_delta_mismatch	310:2,86:1	310	0x11d6ac	0x11d6b0	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x122e3c	0	0x122e3c	299	context_reentry_terminal_step	tail	165	0x528	0x2c0468		symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0xd9cf	6969	7	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	169	0x2c0464	0x2c0468	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
