source_entry	synthetic_start_vm_ip	missing_successor_vm_ip	gap_statuses	gap_bytes	resolution	start_event_count	start_site	start_target_entry	next_event_count	next_site	next_end_vm_ip	next_tail_target_entry	candidate_entries	inferred_next_source_entry	inferred_next_source_delta	inferred_next_source_start_vm_ip	inferred_hidden_delta	inferred_next_source_bytes	inference_evidence
175	0xd1445	0xd144b	target_footprint_of_6:1	cb1702008000	dynamic_stitch_to_next_hooked_source	132655	0x992ca	175	132656	0xb86f5	0xd4897	354	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	+0x4	0xd4893	+0x344e	e8016201	observed_source,byte_match
195	0xd5ebc	0xd5ec2	target_footprint_of_6:1	1e1e02008000	dynamic_stitch_to_next_hooked_source	133980	0x91e7f	195	133981	0x9b0c5	0x18bd9a	171	169:5:+0x4:observed_source,byte_match	169	+0x4	0x18bd96	+0xb5eda	ab00e801	observed_source,byte_match
195	0xdaf39	0xdaf3f	target_footprint_of_6:1	d43002008000	dynamic_stitch_to_next_hooked_source	135019	0x9d961	195	135020	0xb86f5	0x18c088	171	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	+0x4	0x18c084	+0xb114b	e801ab00	observed_source,byte_match
299	0x122e3c	0x122e42	target_footprint_of_6:1	09d402008000	dynamic_stitch_to_next_hooked_source	766856	0x9c08c	299	766857	0x9b0c5	0x2c0468	165	169:5:+0x4:observed_source,byte_match	169	+0x4	0x2c0464	+0x19d628	a500e801	observed_source,byte_match
278	0x12906f	0x129079	target_footprint_of_10:1	b2b51500800010c00600	dynamic_stitch_to_next_hooked_source	763157	0x9c08c	278	763158	0xb86f5	0x172d66	171	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	+0x4	0x172d62	+0x49cf3	e801ab00	observed_source,byte_match
299	0x17452e	0x174534	target_footprint_of_6:1	eb1303008000	dynamic_stitch_to_next_hooked_source	766123	0x91e7f	299	766124	0xb86f5	0x2bff9e	354	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	+0x4	0x2bff9a	+0x14ba6c	e8016201	observed_source,byte_match
175	0x17a420	0x17a426	target_footprint_of_6:1	031703008000	dynamic_stitch_to_next_hooked_source	755346	0x99b3a	175	755347	0x9b0c5	0x120b02	354	169:5:+0x4:observed_source,byte_match	169	+0x4	0x120afe	-0x59922	6201e801	observed_source,byte_match
195	0x18c467	0x18c46d	target_footprint_of_6:1	fe2203008000	dynamic_stitch_to_next_hooked_source	135282	0x9d961	195	135283	0xb86f5	0x11d6b0	171	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	+0x4	0x11d6ac	-0x6edbb	e801ab00	observed_source,byte_match
175	0x1a6041	0x1a6047	target_footprint_of_6:1	bd3903008000	dynamic_stitch_to_next_hooked_source	759858	0x9c08c	175	759859	0x9b0c5	0x1221a4	171	169:5:+0x4:observed_source,byte_match	169	+0x4	0x1221a0	-0x83ea1	ab00e801	observed_source,byte_match
195	0x1ed483	0x1ed489	target_footprint_of_6:1	f97a03008000	dynamic_stitch_to_next_hooked_source	758121	0x99b3a	195	758122	0xb86f5	0x121ed4	354	310:5:+0x4:observed_source,byte_match,309:0::nonfixed_delta	310	+0x4	0x121ed0	-0xcb5b3	e8016201	observed_source,byte_match
195	0x2304b8	0x2304be	target_footprint_of_6:1	7b4d04008000	dynamic_stitch_to_next_hooked_source	89488	0x9d961	195	89489	0x9b0c5	0xd1010	165	169:5:+0x4:observed_source,byte_match	169	+0x4	0xd100c	-0x15f4ac	a500e801	observed_source,byte_match
195	0x231b74	0x231b7a	target_footprint_of_6:1	c6f105008000	dynamic_stitch_to_next_hooked_source	756644	0x9c08c	195	756645	0x9b0c5	0x121c91	165	169:5:+0x4:observed_source,byte_match	169	+0x4	0x121c8d	-0x10fee7	a500e801	observed_source,byte_match
299	0x24bd2a	0x24bd30	target_footprint_of_6:2	533f06008000	ambiguous_next_source	7346	0x7ca96	299	7347	0xbb8a8	0x249468	169	323:1:+0x4:observed_source,byte_miss						
299	0x24bd2a	0x24bd30	target_footprint_of_6:2	533f06008000	dynamic_stitch_to_next_hooked_source	11610	0x7ca96	299	11611	0x8a49b	0x11ac5e	169	86:5:+0x4:observed_source,byte_match	86	+0x4	0x11ac5a	-0x1310d0	a9000000	observed_source,byte_match
246	0x293689	0x293694	target_footprint_of_11:1	62010000701800003d0122	ambiguous_next_source	765028	0x91a57	246	765029	0xb84a4	0x2bec2e	171	308:1:+0x20:observed_source,byte_miss						
195	0x31f2b1	0x31f2b7	target_footprint_of_6:1	3f3c07008000	dynamic_stitch_to_next_hooked_source	164819	0x9d961	195	164820	0x9b0c5	0x11d929	354	169:5:+0x4:observed_source,byte_match	169	+0x4	0x11d925	-0x20198c	6201e801	observed_source,byte_match
