source_entry	synthetic_start_vm_ip	missing_successor_vm_ip	focused_trace_rows	focused_unique_transfers	focused_trace_files	focused_source_entries	focused_target_entries	focused_targets	focused_end_vm_ips	focused_deltas	focused_sites	focused_byte_statuses	focused_dest_blocks	focused_dest_ir_starts	focused_dest_ir_ends	focused_dest_segments	dynamic_next_source_entry	dynamic_next_source_start_vm_ip	dynamic_next_end_vm_ip	dynamic_next_source_matches_focused_source	dynamic_next_start_matches_focused_start	dynamic_next_end_matches_focused_end	focused_direct_class	promotion_candidate	promotion_blocker	example_trace_file	example_seq	example_source_entry	example_start_vm_ip	example_end_vm_ip	example_delta	example_target_entry	example_target	example_site	example_byte_status	example_bytes	example_dest_block	example_dest_segment
175	0xd1445	0xd144b	0	0	-	-	-	-	-	-	-	-	-	-	-	-	310	0xd4893	0xd4897	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
195	0xd5ebc	0xd5ec2	0	0	-	-	-	-	-	-	-	-	-	-	-	-	169	0x18bd96	0x18bd9a	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
195	0xdaf39	0xdaf3f	0	0	-	-	-	-	-	-	-	-	-	-	-	-	310	0x18c084	0x18c088	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
299	0x122e3c	0x122e42	0	0	-	-	-	-	-	-	-	-	-	-	-	-	169	0x2c0464	0x2c0468	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
278	0x12906f	0x129079	0	0	-	-	-	-	-	-	-	-	-	-	-	-	310	0x172d62	0x172d66	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
299	0x17452e	0x174534	0	0	-	-	-	-	-	-	-	-	-	-	-	-	310	0x2bff9a	0x2bff9e	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
175	0x17a420	0x17a426	0	0	-	-	-	-	-	-	-	-	-	-	-	-	169	0x120afe	0x120b02	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
195	0x18c467	0x18c46d	1	1	dumps/vmtail-live-residual-targets/vm_instruction_trace.tsv:1	195:1	42:1	0x815ea:1	0x334a3d:1	+0x1a85d6:1	0xc80b9:1	prefix_32_of_1738198:1	293@0x334a3d:1	42@0x334a3d:1	311@0x31e052->0x334a3d:1	28:0x334a3d..0x337115:1	310	0x11d6ac	0x11d6b0	no	no	no	direct_trace_to_recovered_block	yes	-	dumps/vmtail-live-residual-targets/vm_instruction_trace.tsv	43	195	0x18c467	0x334a3d	+0x1a85d6	42	0x815ea	0xc80b9	prefix_32_of_1738198	fe22030080009c4881ec080000004c891424524c89d24989d2ff34245a4883c4	293	28:0x334a3d..0x337115
175	0x1a6041	0x1a6047	0	0	-	-	-	-	-	-	-	-	-	-	-	-	169	0x1221a0	0x1221a4	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
195	0x1ed483	0x1ed489	0	0	-	-	-	-	-	-	-	-	-	-	-	-	310	0x121ed0	0x121ed4	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
195	0x2304b8	0x2304be	0	0	-	-	-	-	-	-	-	-	-	-	-	-	169	0xd100c	0xd1010	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
195	0x231b74	0x231b7a	0	0	-	-	-	-	-	-	-	-	-	-	-	-	169	0x121c8d	0x121c91	no	no	no	no_focused_direct_trace	no	no focused trace row starts at the residual VM IP													
