source_entry	synthetic_start_vm_ip	focused_direct_promotion_candidate	raw_start_event_rows	raw_sequence_rows	unique_raw_transfers	raw_sequence_class_mix	following_residual_start_mix	chain_path	chain_terminal	chain_length	example_trace_file	example_start_event_index	example_start_event_count	example_start_event_kind	example_start_event_site	example_start_event_entry	example_next_event_kind	example_next_event_site	example_next_event_site_sources	example_next_site_matches_start_entry	example_next_event_vm_ip	example_next_event_delta	example_next_event_target_entry	example_next_event_target	example_next_event_byte_status	example_next_event_bytes	example_following_event_kind	example_following_event_site	example_following_event_vm_ip	example_following_event_delta	example_following_event_entry	example_following_residual_start	sequence_promotion_candidate	promotion_blocker
175	0xd1445	no	1	1	1	raw_next_tail_indirect_site:1	0xd5ebc:1	0xd1445 -> 0xd5ebc -> 0xdaf39 -> 0x18c467	focused_direct_promoted	4	dumps/vmtail-live-residual-targets/run.stderr	44	8	tail	0x992ca	175	tail	0xbf126	337	no	0xd5eb8	+0x4a73	123	0x91a59	prefix_32_of_19059	cb17020080009c68a73b3c03488904245048812c24df914e2b488b04244883c4	tail	0x91e7f	0xd5ebc	+0x4	195	0xd5ebc	no	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
195	0xd5ebc	no	1	1	1	raw_next_tail_indirect_site:1	0xdaf39:1	0xd5ebc -> 0xdaf39 -> 0x18c467	focused_direct_promoted	3	dumps/vmtail-live-residual-targets/run.stderr	46	10	tail	0x91e7f	195	tail	0xb837a	307	no	0xdaf35	+0x5079	184	0x9d694	prefix_32_of_20601	1e1e02008000999c4883ec0848890c245141535248ba3a59287f000000004989	tail	0x9d961	0xdaf39	+0x4	195	0xdaf39	no	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
195	0xdaf39	no	1	1	1	raw_next_tail_indirect_site:1	0x18c467:1	0xdaf39 -> 0x18c467	focused_direct_promoted	2	dumps/vmtail-live-residual-targets/run.stderr	48	12	tail	0x9d961	195	tail	0xbf886	340	no	0x18c463	+0xb152a	184	0x9d694	prefix_32_of_726314	d430020080000f94c09c41534150415348813424cc83dd2f4c8b04244881c408	tail	0x9d961	0x18c467	+0x4	195	0x18c467	no	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
299	0x122e3c	no	2	2	2	raw_start_seen_no_next_event:1,raw_next_tail_indirect_site:1	-	0x122e3c	raw_sequence_no_residual_successor	1	dumps/vmtail-residual-122e3c-context/run.stderr	3387	2	tail	0x9c08c	299	tail	0x9b0c5	169	no	0x2c0468	+0x19d62c	165	0x9a24c	prefix_32_of_1693228	09d4020080000f95c09c554889ed415249ba360100000000000041528f442408	tail	0x9a46b	0x2c046a	+0x2	43		no	sequence-only indirect tail evidence
278	0x12906f	no	2	2	1	raw_next_tail_indirect_site:2	0x17452e:2	0x12906f -> 0x17452e -> 0x122e3c	raw_sequence_no_residual_successor	3	dumps/vmtail-live-residual-targets/run.stderr	3423	38	tail	0x9c08c	278	tail	0x859f9	66	no	0x17452a	+0x4b4bb	123	0x91a59	prefix_32_of_308411	b2b51500800010c006006201e801a800990096d46b823ada8d85db6c9be801a7	tail	0x91e7f	0x17452e	+0x4	299	0x17452e	no	sequence-only indirect tail evidence
299	0x17452e	no	2	2	2	raw_start_seen_no_next_event:1,raw_next_tail_indirect_site:1	0x122e3c:1	0x17452e -> 0x122e3c	raw_sequence_no_residual_successor	2	dumps/vmtail-state-residual-targets/run.stderr	3401	16	tail	0x91e7f	299	tail	0x90893	113,114	no	0x122e38	-0x516f6	174	0x9bd8f	backedge_sample	eb13030080009c415368cd3e016f4c891c245148b9d165d73d0000000048294c	tail	0x9c08c	0x122e3c	+0x4	299	0x122e3c	no	sequence-only indirect tail evidence
175	0x17a420	no	2	2	1	raw_next_tail_indirect_site:2	0x231b74:2	0x17a420 -> 0x231b74 -> 0x1ed483 -> 0x1a6041 -> 0x12906f -> 0x17452e -> 0x122e3c	raw_sequence_no_residual_successor	7	dumps/vmtail-live-residual-targets/run.stderr	3415	30	tail	0x99b3a	175	tail	0xa4a5e	215	no	0x231b70	+0xb7750	174	0x9bd8f	prefix_32_of_751440	03170300800048c1fa039c68c9379d5b4c8934244156415149b90093ff770000	tail	0x9c08c	0x231b74	+0x4	195	0x231b74	no	sequence-only indirect tail evidence
195	0x18c467	yes	1	1	1	raw_next_dispatch:1	-	0x18c467	focused_direct_promoted	1	dumps/vmtail-live-residual-targets/run.stderr	50	14	tail	0x9d961	195	dispatch	0xc80b9		no	0x334a3d	+0x1a85d6	42	0x815ea	prefix_32_of_1738198	fe22030080009c4881ec080000004c891424524c89d24989d2ff34245a4883c4	dispatch	0xc80b9	0x3359b9	+0xf7c	310		superseded_by_focused_direct_bridge	-
175	0x1a6041	no	2	2	1	raw_next_tail_indirect_site:2	0x12906f:2	0x1a6041 -> 0x12906f -> 0x17452e -> 0x122e3c	raw_sequence_no_residual_successor	4	dumps/vmtail-live-residual-targets/run.stderr	3421	36	tail	0x9c08c	175	tail	0x7c308	18	no	0x12906b	-0x7cfd6	174	0x9bd8f	backedge_sample	bd39030080000f95c09c4881ec080000004883ec084c893c248f04244d89ff53	tail	0x9c08c	0x12906f	+0x4	278	0x12906f	no	sequence-only indirect tail evidence
195	0x1ed483	no	2	2	1	raw_next_tail_indirect_site:2	0x1a6041:2	0x1ed483 -> 0x1a6041 -> 0x12906f -> 0x17452e -> 0x122e3c	raw_sequence_no_residual_successor	5	dumps/vmtail-live-residual-targets/run.stderr	3419	34	tail	0x99b3a	195	tail	0xbf126	337	no	0x1a603d	-0x47446	174	0x9bd8f	backedge_sample	f97a030080009c684a5f36514881ec080000004c8914248f0424504c89d04989	tail	0x9c08c	0x1a6041	+0x4	175	0x1a6041	no	sequence-only indirect tail evidence
