source_entry	synthetic_start_vm_ip	missing_successor_vm_ip	focused_direct_promotion_candidate	chain_terminal	chain_path	chain_length	first_hop_kind	first_hop_vm_ip	first_hop_delta	first_hop_target_entry	following_residual_start	terminal_start_vm_ip	terminal_bridge_kind	terminal_dest_vm_ip	terminal_dest_block	terminal_dest_entry	primary_dynamic_next_source_entry	primary_dynamic_next_source_start_vm_ip	primary_dynamic_next_end_vm_ip	primary_dynamic_dest_block	primary_vs_focused_first_hop	observed_chain_bridge_class	bridge_action	promotion_blocker
175	0xd1445	0xd144b	no	focused_direct_promoted	0xd1445 -> 0xd5ebc -> 0xdaf39 -> 0x18c467	4	tail	0xd5eb8	+0x4a73	123	0xd5ebc	0x18c467	sequence	0x334a3d	293	42	310	0xd4893	0xd4897	prog_bb_0011	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_focused_direct_bridge	disabled_observed_chain_bridge	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
195	0xd5ebc	0xd5ec2	no	focused_direct_promoted	0xd5ebc -> 0xdaf39 -> 0x18c467	3	tail	0xdaf35	+0x5079	184	0xdaf39	0x18c467	sequence	0x334a3d	293	42	169	0x18bd96	0x18bd9a	prog_bb_0135	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_focused_direct_bridge	disabled_observed_chain_bridge	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
195	0xdaf39	0xdaf3f	no	focused_direct_promoted	0xdaf39 -> 0x18c467	2	tail	0x18c463	+0xb152a	184	0x18c467	0x18c467	sequence	0x334a3d	293	42	310	0x18c084	0x18c088	prog_bb_0137	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_focused_direct_bridge	disabled_observed_chain_bridge	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
299	0x122e3c	0x122e42	no	raw_sequence_no_residual_successor	0x122e3c	1	tail	0x2c0468	+0x19d62c	165		0x122e3c	sequence	0x2c0468	214	165	169	0x2c0464	0x2c0468	prog_bb_0214	focused_first_hop_matches_primary_next_end	sequence_chain_to_recovered_context_reentry	disabled_observed_chain_bridge	sequence-only indirect tail evidence
278	0x12906f	0x129079	no	raw_sequence_no_residual_successor	0x12906f -> 0x17452e -> 0x122e3c	3	tail	0x17452a	+0x4b4bb	123	0x17452e	0x122e3c	sequence	0x2c0468	214	165	310	0x172d62	0x172d66	prog_bb_0109	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_recovered_context_reentry	disabled_observed_chain_bridge	sequence-only indirect tail evidence
299	0x17452e	0x174534	no	raw_sequence_no_residual_successor	0x17452e -> 0x122e3c	2	tail	0x122e38	-0x516f6	174	0x122e3c	0x122e3c	sequence	0x2c0468	214	165	310	0x2bff9a	0x2bff9e	prog_bb_0212	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_recovered_context_reentry	disabled_observed_chain_bridge	sequence-only indirect tail evidence
175	0x17a420	0x17a426	no	raw_sequence_no_residual_successor	0x17a420 -> 0x231b74 -> 0x1ed483 -> 0x1a6041 -> 0x12906f -> 0x17452e -> 0x122e3c	7	tail	0x231b70	+0xb7750	174	0x231b74	0x122e3c	sequence	0x2c0468	214	165	169	0x120afe	0x120b02	prog_bb_0071	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_recovered_context_reentry	disabled_observed_chain_bridge	sequence-only indirect tail evidence
195	0x18c467	0x18c46d	yes	focused_direct_promoted	0x18c467	1	dispatch	0x334a3d	+0x1a85d6	42		0x18c467	direct	0x334a3d	293	42	310	0x11d6ac	0x11d6b0	prog_bb_0051	focused_first_hop_differs_from_primary_next_hook	hard_focused_direct_bridge_already_promoted	hard_cfg	-
175	0x1a6041	0x1a6047	no	raw_sequence_no_residual_successor	0x1a6041 -> 0x12906f -> 0x17452e -> 0x122e3c	4	tail	0x12906b	-0x7cfd6	174	0x12906f	0x122e3c	sequence	0x2c0468	214	165	169	0x1221a0	0x1221a4	prog_bb_0084	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_recovered_context_reentry	disabled_observed_chain_bridge	sequence-only indirect tail evidence
195	0x1ed483	0x1ed489	no	raw_sequence_no_residual_successor	0x1ed483 -> 0x1a6041 -> 0x12906f -> 0x17452e -> 0x122e3c	5	tail	0x1a603d	-0x47446	174	0x1a6041	0x122e3c	sequence	0x2c0468	214	165	310	0x121ed0	0x121ed4	prog_bb_0082	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_recovered_context_reentry	disabled_observed_chain_bridge	sequence-only indirect tail evidence
