chain_start_vm_ip	chain_source_entry	chain_missing_successor_vm_ip	chain_bridge_class	chain_path	chain_step_count	step_index	step_vm_ip	step_source_entry	step_role	step_bridge_action	step_bridge_class	first_hop_kind	first_hop_vm_ip	first_hop_delta	first_hop_target_entry	following_residual_start	terminal_dest_vm_ip	terminal_dest_block	terminal_dest_entry	primary_vs_focused_first_hop	replay_c_shape	promotion_blocker
0xd1445	175	0xd144b	sequence_chain_to_focused_direct_bridge	0xd1445 -> 0xd5ebc -> 0xdaf39 -> 0x18c467	4	0	0xd1445	175	residual_chain_step	disabled_observed_chain_bridge	sequence_chain_to_focused_direct_bridge	tail	0xd5eb8	+0x4a73	123	0xd5ebc	0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	op_entry_175(vm); next_entry=123; first_hop=0xd5eb8; vm_ip=0xd5ebc; terminal=prog_bb_0293@0x334a3d	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
0xd1445	175	0xd144b	sequence_chain_to_focused_direct_bridge	0xd1445 -> 0xd5ebc -> 0xdaf39 -> 0x18c467	4	1	0xd5ebc	195	residual_chain_step	disabled_observed_chain_bridge	sequence_chain_to_focused_direct_bridge	tail	0xdaf35	+0x5079	184	0xdaf39	0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	op_entry_195(vm); next_entry=184; first_hop=0xdaf35; vm_ip=0xdaf39; terminal=prog_bb_0293@0x334a3d	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
0xd1445	175	0xd144b	sequence_chain_to_focused_direct_bridge	0xd1445 -> 0xd5ebc -> 0xdaf39 -> 0x18c467	4	2	0xdaf39	195	residual_chain_step	disabled_observed_chain_bridge	sequence_chain_to_focused_direct_bridge	tail	0x18c463	+0xb152a	184	0x18c467	0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	op_entry_195(vm); next_entry=184; first_hop=0x18c463; vm_ip=0x18c467; terminal=prog_bb_0293@0x334a3d	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
0xd1445	175	0xd144b	sequence_chain_to_focused_direct_bridge	0xd1445 -> 0xd5ebc -> 0xdaf39 -> 0x18c467	4	3	0x18c467	195	focused_direct_terminal_step	hard_cfg	hard_focused_direct_bridge_already_promoted	dispatch	0x334a3d	+0x1a85d6	42		0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	op_entry_195(vm); next_entry=42; first_hop=0x334a3d; vm_ip=-; terminal=prog_bb_0293@0x334a3d	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
0xd5ebc	195	0xd5ec2	sequence_chain_to_focused_direct_bridge	0xd5ebc -> 0xdaf39 -> 0x18c467	3	0	0xd5ebc	195	residual_chain_step	disabled_observed_chain_bridge	sequence_chain_to_focused_direct_bridge	tail	0xdaf35	+0x5079	184	0xdaf39	0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	op_entry_195(vm); next_entry=184; first_hop=0xdaf35; vm_ip=0xdaf39; terminal=prog_bb_0293@0x334a3d	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
0xd5ebc	195	0xd5ec2	sequence_chain_to_focused_direct_bridge	0xd5ebc -> 0xdaf39 -> 0x18c467	3	1	0xdaf39	195	residual_chain_step	disabled_observed_chain_bridge	sequence_chain_to_focused_direct_bridge	tail	0x18c463	+0xb152a	184	0x18c467	0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	op_entry_195(vm); next_entry=184; first_hop=0x18c463; vm_ip=0x18c467; terminal=prog_bb_0293@0x334a3d	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
0xd5ebc	195	0xd5ec2	sequence_chain_to_focused_direct_bridge	0xd5ebc -> 0xdaf39 -> 0x18c467	3	2	0x18c467	195	focused_direct_terminal_step	hard_cfg	hard_focused_direct_bridge_already_promoted	dispatch	0x334a3d	+0x1a85d6	42		0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	op_entry_195(vm); next_entry=42; first_hop=0x334a3d; vm_ip=-; terminal=prog_bb_0293@0x334a3d	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
0xdaf39	195	0xdaf3f	sequence_chain_to_focused_direct_bridge	0xdaf39 -> 0x18c467	2	0	0xdaf39	195	residual_chain_step	disabled_observed_chain_bridge	sequence_chain_to_focused_direct_bridge	tail	0x18c463	+0xb152a	184	0x18c467	0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	op_entry_195(vm); next_entry=184; first_hop=0x18c463; vm_ip=0x18c467; terminal=prog_bb_0293@0x334a3d	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
0xdaf39	195	0xdaf3f	sequence_chain_to_focused_direct_bridge	0xdaf39 -> 0x18c467	2	1	0x18c467	195	focused_direct_terminal_step	hard_cfg	hard_focused_direct_bridge_already_promoted	dispatch	0x334a3d	+0x1a85d6	42		0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	op_entry_195(vm); next_entry=42; first_hop=0x334a3d; vm_ip=-; terminal=prog_bb_0293@0x334a3d	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
0x122e3c	299	0x122e42	sequence_chain_to_recovered_context_reentry	0x122e3c	1	0	0x122e3c	299	context_reentry_terminal_step	disabled_observed_chain_bridge	sequence_chain_to_recovered_context_reentry	tail	0x2c0468	+0x19d62c	165		0x2c0468	214	165	focused_first_hop_matches_primary_next_end	op_entry_299(vm); next_entry=165; first_hop=0x2c0468; vm_ip=-; terminal=prog_bb_0214@0x2c0468	sequence-only indirect tail evidence
