source_entry	source_block	source_start_vm_ip	synthetic_start_vm_ip	missing_successor_vm_ip	gap_bytes	gap_statuses	events	transfer_classification	transfer_zero_seed_status	transfer_slot_expr	transfer_ip_expr	dynamic_resolution	dynamic_next_source_entry	dynamic_next_source_start_vm_ip	dynamic_next_end_vm_ip	dynamic_next_tail_target_entry	dynamic_next_end_block	chain_statuses	chain_best_hidden_entry	chain_best_hidden_start_vm_ip	chain_best_pred_end_vm_ip	sampled_variants_for_source	span_semantic_gap_class	span_source_observation	span_source_sampled_ir	residual_reason	promotion_state
175	6	0xd1292	0xd1445	0xd144b	cb1702008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff	0x4	dynamic_stitch_to_next_hooked_source	310	0xd4893	0xd4897	354	prog_bb_0011	dynamic_next_hook_matches_static_transfer:1	310	0xd4893	0xd4897	310:+0x2cef7:513307008000:1	operand_footprint_only	central_or_long	1=sampled operand footprint 0x6, observed target table[310], delta +0x2cef7	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
195	20	0xd5d09	0xd5ebc	0xd5ec2	1e1e02008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	dynamic_stitch_to_next_hooked_source	169	0x18bd96	0x18bd9a	171	prog_bb_0135	dynamic_next_hook_matches_static_transfer:1	169	0x18bd96	0x18bd9a	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1	operand_footprint_only	sampled_backedge	1=sampled operand footprint 0x6, observed target table[310], delta -0x542a | 1=sampled operand footprint 0x6, observed target table[310], delta -0x8c8e	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
195	28	0xdad86	0xdaf39	0xdaf3f	d43002008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	dynamic_stitch_to_next_hooked_source	310	0x18c084	0x18c088	171	prog_bb_0137	dynamic_next_hook_matches_static_transfer:1	310	0x18c084	0x18c088	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1	operand_footprint_only	sampled_backedge	1=sampled operand footprint 0x6, observed target table[310], delta -0x542a | 1=sampled operand footprint 0x6, observed target table[310], delta -0x8c8e	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
299	89	0x122c89	0x122e3c	0x122e42	09d402008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	0x4	dynamic_stitch_to_next_hooked_source	169	0x2c0464	0x2c0468	165	prog_bb_0214	dynamic_next_hook_matches_static_transfer:1	169	0x2c0464	0x2c0468	169:-0x7fe6:795007008000:1,310:-0xcf8b:f68107008000:1	operand_footprint_only	sampled_backedge	1=sampled operand footprint 0x6, observed target table[169], delta -0x7fe6 | 1=sampled operand footprint 0x6, observed target table[310], delta -0xcf8b	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
278	92	0x128df5	0x12906f	0x129079	b2b51500800010c00600	target_footprint_of_10:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff	0x5	dynamic_stitch_to_next_hooked_source	310	0x172d62	0x172d66	171	prog_bb_0109	dynamic_next_hook_matches_static_transfer:1	310	0x172d62	0x172d66	323:+0x221770:9d451200800020540700:1,86:+0x2426ba:11471200800040750700:1	operand_footprint_only	exact	1=sampled operand footprint 0xa, observed target table[323], delta +0x221770 | 1=sampled operand footprint 0xa, observed target table[86], delta +0x2426ba	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
299	118	0x17437b	0x17452e	0x174534	eb1303008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	0x4	dynamic_stitch_to_next_hooked_source	310	0x2bff9a	0x2bff9e	354	prog_bb_0212	dynamic_next_hook_matches_static_transfer:1	310	0x2bff9a	0x2bff9e	169:-0x7fe6:795007008000:1,310:-0xcf8b:f68107008000:1	operand_footprint_only	sampled_backedge	1=sampled operand footprint 0x6, observed target table[169], delta -0x7fe6 | 1=sampled operand footprint 0x6, observed target table[310], delta -0xcf8b	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
175	131	0x17a26d	0x17a420	0x17a426	031703008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff	0x4	dynamic_stitch_to_next_hooked_source	169	0x120afe	0x120b02	354	prog_bb_0071	dynamic_next_hook_matches_static_transfer:1	169	0x120afe	0x120b02	310:+0x2cef7:513307008000:1	operand_footprint_only	central_or_long	1=sampled operand footprint 0x6, observed target table[310], delta +0x2cef7	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
195	138	0x18c2b4	0x18c467	0x18c46d	fe2203008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	dynamic_stitch_to_next_hooked_source	310	0x11d6ac	0x11d6b0	171	prog_bb_0051	dynamic_next_hook_matches_static_transfer:1	310	0x11d6ac	0x11d6b0	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1	operand_footprint_only	sampled_backedge	1=sampled operand footprint 0x6, observed target table[310], delta -0x542a | 1=sampled operand footprint 0x6, observed target table[310], delta -0x8c8e	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
175	152	0x1a5f3d	0x1a6041	0x1a6047	bd3903008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff	0x4	dynamic_stitch_to_next_hooked_source	169	0x1221a0	0x1221a4	171	prog_bb_0084	dynamic_next_hook_matches_static_transfer:1	169	0x1221a0	0x1221a4	310:+0x2cef7:513307008000:1	operand_footprint_only	central_or_long	1=sampled operand footprint 0x6, observed target table[310], delta +0x2cef7	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
195	161	0x1ed237	0x1ed483	0x1ed489	f97a03008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	dynamic_stitch_to_next_hooked_source	310	0x121ed0	0x121ed4	354	prog_bb_0082	dynamic_next_hook_matches_static_transfer:1	310	0x121ed0	0x121ed4	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1	operand_footprint_only	sampled_backedge	1=sampled operand footprint 0x6, observed target table[310], delta -0x542a | 1=sampled operand footprint 0x6, observed target table[310], delta -0x8c8e	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
195	167	0x2303be	0x2304b8	0x2304be	7b4d04008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	dynamic_stitch_to_next_hooked_source	169	0xd100c	0xd1010	165	prog_bb_0005	dynamic_next_hook_matches_static_transfer:1	169	0xd100c	0xd1010	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1	operand_footprint_only	sampled_backedge	1=sampled operand footprint 0x6, observed target table[310], delta -0x542a | 1=sampled operand footprint 0x6, observed target table[310], delta -0x8c8e	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
195	173	0x2319c1	0x231b74	0x231b7a	c6f105008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	dynamic_stitch_to_next_hooked_source	169	0x121c8d	0x121c91	165	prog_bb_0081	dynamic_next_hook_matches_static_transfer:1	169	0x121c8d	0x121c91	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1	operand_footprint_only	sampled_backedge	1=sampled operand footprint 0x6, observed target table[310], delta -0x542a | 1=sampled operand footprint 0x6, observed target table[310], delta -0x8c8e	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
299	189	0x24bb77	0x24bd2a	0x24bd30	533f06008000	target_footprint_of_6:2	2	symbolic_slot_expr	unknown_target	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	0x4	dynamic_stitch_to_next_hooked_source	86	0x11ac5a	0x11ac5e	169	prog_bb_0029	dynamic_next_hook_matches_static_transfer:1;hidden_chain_target_only:1	86	0x11ac5a	0x11ac5e	169:-0x7fe6:795007008000:1,310:-0xcf8b:f68107008000:1	operand_footprint_only	sampled_backedge	1=sampled operand footprint 0x6, observed target table[169], delta -0x7fe6 | 1=sampled operand footprint 0x6, observed target table[310], delta -0xcf8b	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_with_target_only_hint
195	272	0x31f0fe	0x31f2b1	0x31f2b7	3f3c07008000	target_footprint_of_6:1	1	symbolic_slot_expr	unknown_target	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	dynamic_stitch_to_next_hooked_source	169	0x11d925	0x11d929	354	prog_bb_0052	dynamic_next_hook_matches_static_transfer:1	169	0x11d925	0x11d929	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1	operand_footprint_only	sampled_backedge	1=sampled operand footprint 0x6, observed target table[310], delta -0x542a | 1=sampled operand footprint 0x6, observed target table[310], delta -0x8c8e	sequence_observed_skip_not_static_replayed	not_promoted_dynamic_next_hook_only
