source_entry	synthetic_start_vm_ip	missing_successor_vm_ip	table_offset	table_offset_count	absolute_file_off	section	region	alignment	runtime_dump_dir	runtime_map_file	runtime_map_perms	runtime_map_file_off	runtime_va	runtime_bytes16	runtime_matches_file	file_qword_le	file_qword_class	runtime_qword_le	runtime_qword_class	runtime_qword_eac_off	runtime_qword_dispatch_entry	runtime_qword_section	dynamic_next_source_entry	dynamic_next_source_start_vm_ip	dynamic_next_end_vm_ip
175	0xd1445	0xd144b	0x4388	1	0xc7aa0	.text	after_dispatch_table	0	dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x1000	0x706c54ac7aa0	cbc5fe3f5f81efcbc5fe3f488b142448	yes	0xcbef815f3ffec5cb	non_pointer_bytes	0xcbef815f3ffec5cb	non_pointer_bytes				310	0xd4893	0xd4897
195	0xd5ebc	0xd5ec2	0x49bd	1	0xc80d5	.text	after_dispatch_table	5	dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x1000	0x706c54ac80d5	fc1d4c29e8415d488704245c48890424	yes	0x485d41e8294c1dfc	non_pointer_bytes	0x485d41e8294c1dfc	non_pointer_bytes				169	0x18bd96	0x18bd9a
195	0xdaf39	0xdaf3f	0x1be	1	0xc38d6	.text	inside_dispatch_table_unaligned	6	dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x1000	0x706c54ac38d6	0000763ea8546c700000f941a8546c70	no	0x83e760000	non_pointer_bytes	0x706c54a83e760000	non_pointer_bytes				310	0x18c084	0x18c088
299	0x122e3c	0x122e42	0xd9cf	1	0xd10e7	.text	after_dispatch_table	7	dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x1000	0x706c54ad10e7	00388e7900d2193ac6f0e8015417b300	yes	0x3a19d200798e3800	non_pointer_bytes	0x3a19d200798e3800	non_pointer_bytes				169	0x2c0464	0x2c0468
278	0x12906f	0x129079	0xea3c	2	0xd2154	.text	after_dispatch_table	4	dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x1000	0x706c54ad2154	aa017aa5aee8017eec5d3756c4c7bf3a	yes	0x7e01e8aea57a01aa	non_pointer_bytes	0x7e01e8aea57a01aa	non_pointer_bytes				310	0x172d62	0x172d66
299	0x17452e	0x174534	0x8144	2	0xcb85c	.text	after_dispatch_table	4	dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x1000	0x706c54acb85c	81c34634be7d488b04244883c40841c1	yes	0x8b487dbe3446c381	non_pointer_bytes	0x8b487dbe3446c381	non_pointer_bytes				310	0x2bff9a	0x2bff9e
175	0x17a420	0x17a426	0xc62	2	0xc437a	.text	after_dispatch_table	2	dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x1000	0x706c54ac437a	2bc0066802d1677968cdf2c956558f04	yes	0x7967d1026806c02b	non_pointer_bytes	0x7967d1026806c02b	non_pointer_bytes				169	0x120afe	0x120b02
195	0x18c467	0x18c46d	0xdf	1	0xc37f7	.text	inside_dispatch_table_unaligned	7	dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x1000	0x706c54ac37f7	0090e3a7546c700000cde7a7546c7000	no	0x7e39000	non_pointer_bytes	0x706c54a7e39000	non_pointer_bytes				310	0x11d6ac	0x11d6b0
175	0x1a6041	0x1a6047	0xe281	2	0xd1999	.text	after_dispatch_table	1	dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x1000	0x706c54ad1999	013a2cae6786093a848890200c52e801	yes	0x3a098667ae2c3a01	non_pointer_bytes	0x3a098667ae2c3a01	non_pointer_bytes				169	0x1221a0	0x1221a4
195	0x1ed483	0x1ed489	0x40be	2	0xc77d6	.text	after_dispatch_table	6	dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x1000	0x706c54ac77d6	81ea0800000048871424488b24244154	yes	0x874800000008ea81	low32_text_offset	0x874800000008ea81	low32_text_offset	0x8ea81		.text	310	0x121ed0	0x121ed4
