source_entry	synthetic_start_vm_ip	missing_successor_vm_ip	gap_bytes	footprint_len	span_semantic_gap_class	span_source_observation	sampled_candidate_rows	sampled_target_entries	sampled_deltas	sampled_operand_byte_exact_matches	dynamic_next_source_entry	dynamic_next_source_start_vm_ip	dynamic_next_end_vm_ip	dynamic_next_delta	dynamic_next_matches_sampled_target	dynamic_next_delta_matches_sampled_delta	table_memory_region	table_memory_qword_class	sampled_correlation_class	sampled_variants_for_source
175	0xd1445	0xd144b	cb1702008000	0x6	operand_footprint_only	central_or_long	1	310:1	+0x2cef7:1	-	310	0xd4893	0xd4897	+0x344e	yes	no	after_dispatch_table	non_pointer_bytes	sampled_target_match_delta_mismatch	310:+0x2cef7:513307008000:1
195	0xd5ebc	0xd5ec2	1e1e02008000	0x6	operand_footprint_only	sampled_backedge	3	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	-	169	0x18bd96	0x18bd9a	+0xb5eda	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1
195	0xdaf39	0xdaf3f	d43002008000	0x6	operand_footprint_only	sampled_backedge	3	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	-	310	0x18c084	0x18c088	+0xb114b	yes	no	inside_dispatch_table_unaligned	non_pointer_bytes	sampled_target_match_delta_mismatch	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1
299	0x122e3c	0x122e42	09d402008000	0x6	operand_footprint_only	sampled_backedge	2	169:1,310:1	-0x7fe6:1,-0xcf8b:1	-	169	0x2c0464	0x2c0468	+0x19d628	yes	no	after_dispatch_table	non_pointer_bytes	sampled_target_match_delta_mismatch	169:-0x7fe6:795007008000:1,310:-0xcf8b:f68107008000:1
278	0x12906f	0x129079	b2b51500800010c00600	0xa	operand_footprint_only	exact	2	323:1,86:1	+0x221770:1,+0x2426ba:1	-	310	0x172d62	0x172d66	+0x49cf3	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	323:+0x221770:9d451200800020540700:1,86:+0x2426ba:11471200800040750700:1
299	0x17452e	0x174534	eb1303008000	0x6	operand_footprint_only	sampled_backedge	2	169:1,310:1	-0x7fe6:1,-0xcf8b:1	-	310	0x2bff9a	0x2bff9e	+0x14ba6c	yes	no	after_dispatch_table	non_pointer_bytes	sampled_target_match_delta_mismatch	169:-0x7fe6:795007008000:1,310:-0xcf8b:f68107008000:1
175	0x17a420	0x17a426	031703008000	0x6	operand_footprint_only	central_or_long	1	310:1	+0x2cef7:1	-	169	0x120afe	0x120b02	-0x59922	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	310:+0x2cef7:513307008000:1
195	0x18c467	0x18c46d	fe2203008000	0x6	operand_footprint_only	sampled_backedge	3	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	-	310	0x11d6ac	0x11d6b0	-0x6edbb	yes	no	inside_dispatch_table_unaligned	non_pointer_bytes	sampled_target_match_delta_mismatch	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1
175	0x1a6041	0x1a6047	bd3903008000	0x6	operand_footprint_only	central_or_long	1	310:1	+0x2cef7:1	-	169	0x1221a0	0x1221a4	-0x83ea1	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	310:+0x2cef7:513307008000:1
195	0x1ed483	0x1ed489	f97a03008000	0x6	operand_footprint_only	sampled_backedge	3	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	-	310	0x121ed0	0x121ed4	-0xcb5b3	yes	no	after_dispatch_table	low32_text_offset	sampled_target_match_delta_mismatch	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1
