family_id	synthetic_start_vm_ip	source_entry	run_dir	event_line	event_site	event_count	event_target_entry	seed_quality	handler_native_entry	ret_patch_formula	ret_patch_kind	operand_bytes	event_operand_u32_0	family_operand_u32_0	event_operand_u16_4	family_operand_u16_4	event_operand_u32_6	family_operand_u32_6	operand_match	event_image_base	event_image_base_source	event_image_base_crosscheck	ret_patch_base	ret_patch_base_source	ret_patch_base_matches_event_base	stack_write_rsp	stack_write_offset	stack_write_addr	stack_write_addr2	patched_ret_runtime	patched_ret_eac_off	patched_ret_section	patched_ret_file_bytes16	patched_ret_text_class	patched_ret2_runtime	patched_ret2_eac_off	patched_ret2_section	patched_ret2_file_bytes16	patched_ret2_text_class	dynamic_next_source_entry	dynamic_next_source_start_vm_ip	dynamic_next_end_vm_ip	observed_first_hop_vm_ip	terminal_dest_vm_ip	next_event_kind	next_event_vm_ip	next_event_target_entry	next_relation	ret_patch_relation	ret_patch2_relation	interpretation
ufam_02	0xd1445	175	dumps/vmtail-fakenet-w16	133335	0x992ca	132655	175	frame_only_snapshot	0x9c08f	*(uint64_t *)(rsp + u16_4) = frame_qword_0xbb + u32_0; ret	single_stack_return	cb1702008000	0x217cb	0x217cb	0x80	0x80			yes	0x7f225ba00000	vm_ip_minus_vm_ip_off	vm_ip_minus_vm_ip_off:0x7f225ba00000,table_minus_table_off:0x7f225ba00000,frame_minus_frame_off:0x7f225ba00000,target_minus_target_off:0x7f225ba00000	0x7f225ba00000	inferred_vm_ip_minus_vm_ip_off	yes		0x80			0x7f225ba217cb	0x217cb	.text	88d288c988db88c088c088db88c088db	inside_text						310	0xd4893	0xd4897	0xd5eb8	0x334a3d	tail	0xd4897	354	next_event_differs_from_family_chain	native_ret_patch_text_offset_not_vm_ip		sampled_native_return_patch_controls_hidden_text_reentry
ufam_02	0xd1445	175	dumps/vmtail-live-residual-targets	689	0x992ca	8	175	full_gpr_snapshot	0x9c08f	*(uint64_t *)(rsp + u16_4) = frame_qword_0xbb + u32_0; ret	single_stack_return	cb1702008000	0x217cb	0x217cb	0x80	0x80			yes	0x787fe4000000	vm_ip_minus_vm_ip_off	vm_ip_minus_vm_ip_off:0x787fe4000000,table_minus_table_off:0x787fe4000000,frame_minus_frame_off:0x787fe4000000,target_minus_target_off:0x787fe4000000	0x787fe4000000	inferred_vm_ip_minus_vm_ip_off	yes	0x7ffcf9f682e8	0x80	0x7ffcf9f68368		0x787fe40217cb	0x217cb	.text	88d288c988db88c088c088db88c088db	inside_text						310	0xd4893	0xd4897	0xd5eb8	0x334a3d	tail	0xd5eb8	123	next_event_is_observed_first_hop	native_ret_patch_text_offset_not_vm_ip		sampled_native_return_patch_controls_hidden_text_reentry
ufam_01	0x17a420	175	dumps/vmtail-live-residual-targets	4069	0x99b3a	30	175	full_gpr_snapshot	0x9c08f	*(uint64_t *)(rsp + u16_4) = frame_qword_0xbb + u32_0; ret	single_stack_return	031703008000	0x31703	0x31703	0x80	0x80			yes	0x787fe4000000	vm_ip_minus_vm_ip_off	vm_ip_minus_vm_ip_off:0x787fe4000000,table_minus_table_off:0x787fe4000000,frame_minus_frame_off:0x787fe4000000,target_minus_target_off:0x787fe4000000	0x787fe4000000	inferred_vm_ip_minus_vm_ip_off	yes	0x7ffcf9f68548	0x80	0x7ffcf9f685c8		0x787fe4031703	0x31703	.text	88d288c988db88d288d288d288c088db	inside_text						169	0x120afe	0x120b02	0x231b70	0x2c0468	tail	0x231b70	174	next_event_is_observed_first_hop	native_ret_patch_text_offset_not_vm_ip		sampled_native_return_patch_controls_hidden_text_reentry
ufam_01	0x17a420	175	dumps/vmtail-state-residual-targets	4045	0x99b3a	6	175	full_gpr_snapshot	0x9c08f	*(uint64_t *)(rsp + u16_4) = frame_qword_0xbb + u32_0; ret	single_stack_return	031703008000	0x31703	0x31703	0x80	0x80			yes	0x70acd7a00000	vm_ip_minus_vm_ip_off	vm_ip_minus_vm_ip_off:0x70acd7a00000,table_minus_table_off:0x70acd7a00000,frame_minus_frame_off:0x70acd7a00000,target_minus_target_off:0x70acd7a00000	0x70acd7a00000	inferred_vm_ip_minus_vm_ip_off	yes	0x7ffebb7d9c08	0x80	0x7ffebb7d9c88		0x70acd7a31703	0x31703	.text	88d288c988db88d288d288d288c088db	inside_text						169	0x120afe	0x120b02	0x231b70	0x2c0468	tail	0x231b70	174	next_event_is_observed_first_hop	native_ret_patch_text_offset_not_vm_ip		sampled_native_return_patch_controls_hidden_text_reentry
ufam_01	0x1a6041	175	dumps/vmtail-live-residual-targets	4084	0x9c08c	36	175	full_gpr_snapshot	0x9c08f	*(uint64_t *)(rsp + u16_4) = frame_qword_0xbb + u32_0; ret	single_stack_return	bd3903008000	0x339bd	0x339bd	0x80	0x80			yes	0x787fe4000000	vm_ip_minus_vm_ip_off	vm_ip_minus_vm_ip_off:0x787fe4000000,table_minus_table_off:0x787fe4000000,frame_minus_frame_off:0x787fe4000000,target_minus_target_off:0x787fe4000000	0x787fe4000000	inferred_vm_ip_minus_vm_ip_off	yes	0x7ffcf9f687a8	0x80	0x7ffcf9f68828		0x787fe40339bd	0x339bd	.text	88c988d288d288c988db88d288db88db	inside_text						169	0x1221a0	0x1221a4	0x12906b	0x2c0468	tail	0x12906b	174	next_event_is_observed_first_hop	native_ret_patch_text_offset_not_vm_ip		sampled_native_return_patch_controls_hidden_text_reentry
ufam_01	0x1a6041	175	dumps/vmtail-state-residual-targets	4060	0x9c08c	12	175	full_gpr_snapshot	0x9c08f	*(uint64_t *)(rsp + u16_4) = frame_qword_0xbb + u32_0; ret	single_stack_return	bd3903008000	0x339bd	0x339bd	0x80	0x80			yes	0x70acd7a00000	vm_ip_minus_vm_ip_off	vm_ip_minus_vm_ip_off:0x70acd7a00000,table_minus_table_off:0x70acd7a00000,frame_minus_frame_off:0x70acd7a00000,target_minus_target_off:0x70acd7a00000	0x70acd7a00000	inferred_vm_ip_minus_vm_ip_off	yes	0x7ffebb7d9e68	0x80	0x7ffebb7d9ee8		0x70acd7a339bd	0x339bd	.text	88c988d288d288c988db88d288db88db	inside_text						169	0x1221a0	0x1221a4	0x12906b	0x2c0468	tail	0x12906b	174	next_event_is_observed_first_hop	native_ret_patch_text_offset_not_vm_ip		sampled_native_return_patch_controls_hidden_text_reentry
ufam_03	0xd5ebc	195	dumps/vmtail-fakenet-w16	134660	0x91e7f	133980	195	frame_only_snapshot	0x9fb50	*(uint64_t *)(rsp + u16_4) = frame_qword_0xbb + u32_0; ret	single_stack_return	1e1e02008000	0x21e1e	0x21e1e	0x80	0x80			yes	0x7f225ba00000	vm_ip_minus_vm_ip_off	vm_ip_minus_vm_ip_off:0x7f225ba00000,table_minus_table_off:0x7f225ba00000,frame_minus_frame_off:0x7f225ba00000,target_minus_target_off:0x7f225ba00000	0x7f225ba00000	inferred_vm_ip_minus_vm_ip_off	yes		0x80			0x7f225ba21e1e	0x21e1e	.text	88d288d288db88c988db88db88c988d2	inside_text						169	0x18bd96	0x18bd9a	0xdaf35	0x334a3d	tail	0x18bd9a	171	next_event_differs_from_family_chain	native_ret_patch_text_offset_not_vm_ip		sampled_native_return_patch_controls_hidden_text_reentry
ufam_03	0xd5ebc	195	dumps/vmtail-live-residual-targets	691	0x91e7f	10	195	full_gpr_snapshot	0x9fb50	*(uint64_t *)(rsp + u16_4) = frame_qword_0xbb + u32_0; ret	single_stack_return	1e1e02008000	0x21e1e	0x21e1e	0x80	0x80			yes	0x787fe4000000	vm_ip_minus_vm_ip_off	vm_ip_minus_vm_ip_off:0x787fe4000000,table_minus_table_off:0x787fe4000000,frame_minus_frame_off:0x787fe4000000,target_minus_target_off:0x787fe4000000	0x787fe4000000	inferred_vm_ip_minus_vm_ip_off	yes	0x7ffcf9f68488	0x80	0x7ffcf9f68508		0x787fe4021e1e	0x21e1e	.text	88d288d288db88c988db88db88c988d2	inside_text						169	0x18bd96	0x18bd9a	0xdaf35	0x334a3d	tail	0xdaf35	184	next_event_is_observed_first_hop	native_ret_patch_text_offset_not_vm_ip		sampled_native_return_patch_controls_hidden_text_reentry
ufam_04	0xdaf39	195	dumps/vmtail-fakenet-w16	135699	0x9d961	135019	195	frame_only_snapshot	0x9fb50	*(uint64_t *)(rsp + u16_4) = frame_qword_0xbb + u32_0; ret	single_stack_return	d43002008000	0x230d4	0x230d4	0x80	0x80			yes	0x7f225ba00000	vm_ip_minus_vm_ip_off	vm_ip_minus_vm_ip_off:0x7f225ba00000,table_minus_table_off:0x7f225ba00000,frame_minus_frame_off:0x7f225ba00000,target_minus_target_off:0x7f225ba00000	0x7f225ba00000	inferred_vm_ip_minus_vm_ip_off	yes		0x80			0x7f225ba230d4	0x230d4	.text	88c988db88c088db88d288c088c988c0	inside_text						310	0x18c084	0x18c088	0x18c463	0x334a3d	tail	0x18c088	171	next_event_differs_from_family_chain	native_ret_patch_text_offset_not_vm_ip		sampled_native_return_patch_controls_hidden_text_reentry
ufam_04	0xdaf39	195	dumps/vmtail-live-residual-targets	693	0x9d961	12	195	full_gpr_snapshot	0x9fb50	*(uint64_t *)(rsp + u16_4) = frame_qword_0xbb + u32_0; ret	single_stack_return	d43002008000	0x230d4	0x230d4	0x80	0x80			yes	0x787fe4000000	vm_ip_minus_vm_ip_off	vm_ip_minus_vm_ip_off:0x787fe4000000,table_minus_table_off:0x787fe4000000,frame_minus_frame_off:0x787fe4000000,target_minus_target_off:0x787fe4000000	0x787fe4000000	inferred_vm_ip_minus_vm_ip_off	yes	0x7ffcf9f68458	0x80	0x7ffcf9f684d8		0x787fe40230d4	0x230d4	.text	88c988db88c088db88d288c088c988c0	inside_text						310	0x18c084	0x18c088	0x18c463	0x334a3d	tail	0x18c463	184	next_event_is_observed_first_hop	native_ret_patch_text_offset_not_vm_ip		sampled_native_return_patch_controls_hidden_text_reentry
