family_id	family_member_count	family_rank	synthetic_start_vm_ip	missing_successor_vm_ip	source_entry	transfer_path_hash	transfer_branch_unknown	transfer_ip_expr	slot_expr_hash	operand_bytes	footprint_len	zero_seed_status	zero_seed_pred_entry	zero_seed_pred_delta	table_diagnosis	table_offset	table_region	table_alignment	runtime_matches_file	runtime_qword_class	sampled_correlation_class	sampled_target_entries	sampled_deltas	dynamic_next_source_entry	dynamic_next_source_start_vm_ip	dynamic_next_end_vm_ip	observed_first_hop_target_entry	observed_first_hop_vm_ip	following_residual_start	observed_chain_bridge_class	terminal_dest_vm_ip	terminal_dest_block	terminal_dest_entry	primary_vs_focused_first_hop	family_key	next_reconstruction_target
ufam_02	1	2	0xd1445	0xd144b	175	bbe0d482f93ad097	0	0x4	c9fce5d05b97	cb1702008000	0x6	unknown_target		+0x4	table_index_out_of_range	0x4388	after_dispatch_table	0	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	310:1	+0x2cef7:1	310	0xd4893	0xd4897	123	0xd5eb8	0xd5ebc	sequence_chain_to_focused_direct_bridge	0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	175|bbe0d482f93ad097|0x4|c9fce5d05b97|0x6|table_index_out_of_range|after_dispatch_table|sequence_chain_to_focused_direct_bridge|293|sampled_target_match_delta_mismatch|310	replay_first_indirect_hop_then_promoted_terminal
ufam_03	1	3	0xd5ebc	0xd5ec2	195	44a20faf942e72a8	0	0x4	c0ec087b210b	1e1e02008000	0x6	unknown_target		+0x4	misaligned_or_non_qword_table_read	0x49bd	after_dispatch_table	5	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	169	0x18bd96	0x18bd9a	184	0xdaf35	0xdaf39	sequence_chain_to_focused_direct_bridge	0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	195|44a20faf942e72a8|0x4|c0ec087b210b|0x6|misaligned_or_non_qword_table_read|after_dispatch_table|sequence_chain_to_focused_direct_bridge|293|sequence_only_no_sampled_target_match|310	replay_first_indirect_hop_then_promoted_terminal
ufam_04	1	4	0xdaf39	0xdaf3f	195	44a20faf942e72a8	0	0x4	c0ec087b210b	d43002008000	0x6	unknown_target		+0x4	misaligned_or_non_qword_table_read	0x1be	inside_dispatch_table_unaligned	6	no	non_pointer_bytes	sampled_target_match_delta_mismatch	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	310	0x18c084	0x18c088	184	0x18c463	0x18c467	sequence_chain_to_focused_direct_bridge	0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	195|44a20faf942e72a8|0x4|c0ec087b210b|0x6|misaligned_or_non_qword_table_read|inside_dispatch_table_unaligned|sequence_chain_to_focused_direct_bridge|293|sampled_target_match_delta_mismatch|310	replay_first_indirect_hop_then_promoted_terminal
ufam_00	2	0	0x122e3c	0x122e42	299	b75ed1b046c72a97	1	0x4	c6f36fb6c762	09d402008000	0x6	unknown_target		+0x4	misaligned_or_non_qword_table_read	0xd9cf	after_dispatch_table	7	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	-0x7fe6:1,-0xcf8b:1	169	0x2c0464	0x2c0468	165	0x2c0468		sequence_chain_to_recovered_context_reentry	0x2c0468	214	165	focused_first_hop_matches_primary_next_end	299|b75ed1b046c72a97|0x4|c6f36fb6c762|0x6|misaligned_or_non_qword_table_read|after_dispatch_table|sequence_chain_to_recovered_context_reentry|214|sampled_target_match_delta_mismatch|169	isolate_context_reentry_first_hop
ufam_05	1	5	0x12906f	0x129079	278	bdce1bd00d4b09a0	0	0x5	4ec538428441	b2b51500800010c00600	0xa	unknown_target		+0x5	misaligned_or_non_qword_table_read	0xea3c	after_dispatch_table	4	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	323:1,86:1	+0x221770:1,+0x2426ba:1	310	0x172d62	0x172d66	123	0x17452a	0x17452e	sequence_chain_to_recovered_context_reentry	0x2c0468	214	165	focused_first_hop_differs_from_primary_next_hook	278|bdce1bd00d4b09a0|0x5|4ec538428441|0xa|misaligned_or_non_qword_table_read|after_dispatch_table|sequence_chain_to_recovered_context_reentry|214|sequence_only_no_sampled_target_match|323	solve_unique_transfer_family
ufam_00	2	0	0x17452e	0x174534	299	b75ed1b046c72a97	1	0x4	c6f36fb6c762	eb1303008000	0x6	unknown_target		+0x4	misaligned_or_non_qword_table_read	0x8144	after_dispatch_table	4	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	-0x7fe6:1,-0xcf8b:1	310	0x2bff9a	0x2bff9e	174	0x122e38	0x122e3c	sequence_chain_to_recovered_context_reentry	0x2c0468	214	165	focused_first_hop_differs_from_primary_next_hook	299|b75ed1b046c72a97|0x4|c6f36fb6c762|0x6|misaligned_or_non_qword_table_read|after_dispatch_table|sequence_chain_to_recovered_context_reentry|214|sampled_target_match_delta_mismatch|169	solve_repeated_central_dispatch_family
ufam_01	2	1	0x17a420	0x17a426	175	bbe0d482f93ad097	0	0x4	c9fce5d05b97	031703008000	0x6	unknown_target		+0x4	misaligned_or_non_qword_table_read	0xc62	after_dispatch_table	2	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:1	+0x2cef7:1	169	0x120afe	0x120b02	174	0x231b70	0x231b74	sequence_chain_to_recovered_context_reentry	0x2c0468	214	165	focused_first_hop_differs_from_primary_next_hook	175|bbe0d482f93ad097|0x4|c9fce5d05b97|0x6|misaligned_or_non_qword_table_read|after_dispatch_table|sequence_chain_to_recovered_context_reentry|214|sequence_only_no_sampled_target_match|310	solve_repeated_central_dispatch_family
ufam_01	2	1	0x1a6041	0x1a6047	175	bbe0d482f93ad097	0	0x4	c9fce5d05b97	bd3903008000	0x6	unknown_target		+0x4	misaligned_or_non_qword_table_read	0xe281	after_dispatch_table	1	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:1	+0x2cef7:1	169	0x1221a0	0x1221a4	174	0x12906b	0x12906f	sequence_chain_to_recovered_context_reentry	0x2c0468	214	165	focused_first_hop_differs_from_primary_next_hook	175|bbe0d482f93ad097|0x4|c9fce5d05b97|0x6|misaligned_or_non_qword_table_read|after_dispatch_table|sequence_chain_to_recovered_context_reentry|214|sequence_only_no_sampled_target_match|310	solve_repeated_central_dispatch_family
ufam_06	1	6	0x1ed483	0x1ed489	195	9917c35930d48ca1	0	0x4	c0ec087b210b	f97a03008000	0x6	unknown_target		+0x4	misaligned_or_non_qword_table_read	0x40be	after_dispatch_table	6	yes	low32_text_offset	sampled_target_match_delta_mismatch	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	310	0x121ed0	0x121ed4	174	0x1a603d	0x1a6041	sequence_chain_to_recovered_context_reentry	0x2c0468	214	165	focused_first_hop_differs_from_primary_next_hook	195|9917c35930d48ca1|0x4|c0ec087b210b|0x6|misaligned_or_non_qword_table_read|after_dispatch_table|sequence_chain_to_recovered_context_reentry|214|sampled_target_match_delta_mismatch|310	solve_repeated_central_dispatch_family
ufam_07	1	7	0x2304b8	0x2304be	195	9917c35930d48ca1	0	0x4	c0ec087b210b	7b4d04008000	0x6	unknown_target		+0x4	table_index_out_of_range	0x71e0	after_dispatch_table	0	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	169	0xd100c	0xd1010	158	0xd1441	0xd1445	sequence_chain_to_focused_direct_bridge	0x334a3d	293	42	focused_first_hop_differs_from_primary_next_hook	195|9917c35930d48ca1|0x4|c0ec087b210b|0x6|table_index_out_of_range|after_dispatch_table|sequence_chain_to_focused_direct_bridge|293|sequence_only_no_sampled_target_match|310	replay_first_indirect_hop_then_promoted_terminal
