kind	byte_status	source_entry	source_class	source_observation	source_delta	source_shape	target_entry	target_class	semantic_gap_class	span_len	known_footprint_len	known_footprint_source	unresolved_tail_len	static_ip_advance_site	top_prefix_variants	top_tail_variants	tail_u16_candidates	events	unique_start_ips	unique_end_ips	byte_variants	terminal_blocks	terminal_events	top_targets	terminal_target_entries	top_deltas	byte_layout	top_byte_variants	source_state_ir	source_dispatch_ir	source_ip_ir	source_long_ir	source_sampled_ir
hidden_span	hidden_span_of_17	50	target_only	target_only	-	-	171	static_validated	target_only_prefix_plus_tail	0x11	0xb	target_only_static_ip_advance	0x6	tail_ip_add@0x833be	43766d112825:256:f7a5d6df374416be042300;6561f923cab4:64:b4ab4d1a9aeb03db122300	18dfc5e5d2a8:256:8000e801ab00;36a7b503a634:64:8000ab00e801	256:+0x0:128,+0x4:171*;64:+0x0:128,+0x2:171*	320	2	2	2	2	320	171:320	50:320	+0x11:320	b0=enum2(0xf7:256,0xb4:64);b1=enum2(0xa5:256,0xab:64);b2=enum2(0xd6:256,0x4d:64);b3=enum2(0xdf:256,0x1a:64);b4=enum2(0x37:256,0x9a:64);b5=enum2(0x44:256,0xeb:64);b6=enum2(0x16:256,0x03:64);b7=enum2(0xbe:256,0xdb:64);b8=enum2(0x04:256,0x12:64);b9=0x23;b10=0x00;b11=0x80;b12=0x00;b13=enum2(0xe8:256,0xab:64);b14=enum2(0x01:256,0x00:64);b15=enum2(0xab:256,0xe8:64);...1 omitted	3e9d415e5e33:256:f7a5d6df374416be0423008000e801ab00;47864f66abdf:64:b4ab4d1a9aeb03db1223008000ab00e801	0x832cb: state xor= state0 ^ 0x167c9a49 | 0x8339e: state sub= state0 ^ 0x167c9a49 - u16_7 - state0 ^ 0x167c9a49 ^ 0x1217a3f5				
hidden_span	hidden_span_of_17	334	sampled_only	sampled_long_or_sparse	+0x2a5	sampled	183	static_validated	known_prefix_plus_tail	0x11	0xb	long_branch_operand	0x6		07bc0c048474:125:62010000a50200003d0100;4a444707b550:1:ab0000005e0000003d0122	f5418f72b026:125:c3c965845dca;c88e58884e10:1:03c749284c97		126	2	2	2	1	1	183:126	334:1	+0x11:126	b0=enum2(0x62:125,0xab:1);b1=enum2(0x01:125,0x00:1);b2=0x00;b3=0x00;b4=enum2(0xa5:125,0x5e:1);b5=enum2(0x02:125,0x00:1);b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=enum2(0x00:125,0x22:1);b11=enum2(0xc3:125,0x03:1);b12=enum2(0xc9:125,0xc7:1);b13=enum2(0x65:125,0x49:1);b14=enum2(0x84:125,0x28:1);b15=enum2(0x5d:125,0x4c:1);...1 omitted	571e2ff6fc13:125:62010000a50200003d0100c3c965845dca;6214f02ea9c9:1:ab0000005e0000003d012203c749284c97				25=next = table[354], ip += 0x2a5 | 1=next = table[165], ip += 0x238	
hidden_span	hidden_span_of_16	75	sampled_only	sampled_backedge	-0x6d	sampled	260	static_validated	known_prefix_plus_tail	0x10	0xb	long_branch_operand	0x5		29607b0b66ab:91:620100000e4f00003d0122;09e21213efd4:2:a5000000880200003d0100	2990db204e40:91:089c424b34;3c4b16b950e0:2:36ad200839		93	2	2	2	0	0	260:93		+0x10:93	b0=enum2(0x62:91,0xa5:2);b1=enum2(0x01:91,0x00:2);b2=0x00;b3=0x00;b4=enum2(0x0e:91,0x88:2);b5=enum2(0x4f:91,0x02:2);b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=enum2(0x22:91,0x00:2);b11=enum2(0x08:91,0x36:2);b12=enum2(0x9c:91,0xad:2);b13=enum2(0x42:91,0x20:2);b14=enum2(0x4b:91,0x08:2);b15=enum2(0x34:91,0x39:2)	7ced0dd8d7da:91:620100000e4f00003d0122089c424b34;d09001c6d6dd:2:a5000000880200003d010036ad200839				255=next = table[171], ip -= 0x6d | 9=next = table[165], ip += 0x60	
hidden_span	hidden_span_of_17	321	affine_dispatch_fallback	exact	+0xd	EEEEEEEEEECCC	165	static_validated	known_prefix_plus_tail	0x11	0xd	exact_shape	0x4		5c5e66f96bdd:64:a55cd83d0f9e67571423008000;d06084139dee:1:e181c02402a612c25e0d008000;f2cc67d8d6b8:1:0b0362ed5d4a0787611a008000	e9e51cfc7d31:64:a500e801;2c3b78dca0ce:2:e801a500	64:+0x0:165*;2:+0x2:165*	66	3	3	3	3	66	165:66	321:66	+0x11:66	b0=enum3(0xa5:64,0xe1:1,0x0b:1);b1=enum3(0x5c:64,0x81:1,0x03:1);b2=enum3(0xd8:64,0xc0:1,0x62:1);b3=enum3(0x3d:64,0x24:1,0xed:1);b4=enum3(0x0f:64,0x02:1,0x5d:1);b5=enum3(0x9e:64,0xa6:1,0x4a:1);b6=enum3(0x67:64,0x12:1,0x07:1);b7=enum3(0x57:64,0xc2:1,0x87:1);b8=enum3(0x14:64,0x5e:1,0x61:1);b9=enum3(0x23:64,0x0d:1,0x1a:1);b10=0x00;b11=0x80;b12=0x00;b13=enum2(0xa5:64,0xe8:2);b14=enum2(0x00:64,0x01:2);b15=enum2(0xe8:64,0xa5:2);...1 omitted	d350403bf19e:64:a55cd83d0f9e67571423008000a500e801;7df093a950d3:1:e181c02402a612c25e0d008000e801a500;852c48df2222:1:0b0362ed5d4a0787611a008000e801a500	0xbb447: state add= state0 + u16_0 ^ flags0 | 0xbb54f: state or= state0 + u16_0 ^ flags0 | 0x2d680d90 | 0xbb593: state add= state0 + u16_0 ^ flags0 | 0x2d680d90 + 0x69cbe1a0 | 0...	19=(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 + (mask32(u16_0 ^ flags0)))) | 0x2d680d90)) + 0x69cbe1a0)))) + 0x7ba65dc4)) & 0xffff	19=0x4		
hidden_span	hidden_span_of_14	264	affine_dispatch_fallback	exact	+0xa	VVECCCVVEC	171	static_validated	known_prefix_plus_tail	0xe	0xa	exact_shape	0x4		5d590545841a:25:442a3700800014de4800;7f302a359273:12:b4ec33008000b6510700;0d9b1ff83b6e:9:72ef33008000c9d74800;4cb0f1bf27fc:1:a4411200800080000200;c6a09ef298bb:1:6dc41800800036170200;34ba097f0bee:1:e06d0d0080005e1e0200	84058bb8e996:52:e801ab00;2c1b3e824c9e:6:ab00e801	52:+0x2:171*;6:+0x0:171*	58	15	15	15	15	59	171:58	264:59	+0xe:58	b0=enum3(0x44:25,0xb4:12,0x72:9);b1=enum3(0x2a:26,0xec:12,0xef:9);b2=enum3(0x37:25,0x33:22,0x0d:3);b3=0x00;b4=0x80;b5=0x00;b6=enum3(0x14:25,0xb6:12,0xc9:9);b7=enum3(0xde:25,0x51:16,0xd7:9);b8=enum3(0x48:34,0x07:14,0x02:9);b9=0x00;b10=enum2(0xe8:52,0xab:6);b11=enum2(0x01:52,0x00:6);b12=enum2(0xab:52,0xe8:6);b13=enum2(0x00:52,0x01:6)	4147d605da47:25:442a3700800014de4800e801ab00;81bfe441597f:12:b4ec33008000b6510700e801ab00;1be475004fb1:9:72ef33008000c9d74800e801ab00;b0f331d82d99:1:a4411200800080000200e801ab00;7403302c5a88:1:6dc41800800036170200ab00e801;749eb3cd7d3d:1:e06d0d0080005e1e0200ab00e801	0xaf88c: state and= state0 & u16_8 + state0 - 0x6fba3362	49=(mask32((mask32(u16_8 + state0)) - 0x6fba3362)) & 0xffff	49=0x22		
hidden_span	hidden_span_of_22	316	sampled_only	sampled_backedge	-0x3c4	sampled	196	static_validated	known_prefix_plus_tail	0x16	0xb	long_branch_operand	0xb		9791338fad96:41:ab000000300000003d0122	39686efd19b8:41:65f513003d019d0180e00d	41:+0x2:19,+0x4:317	41	1	1	1	0	0	196:41		+0x16:41	b0=0xab;b1=0x00;b2=0x00;b3=0x00;b4=0x30;b5=0x00;b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=0x22;b11=0x65;b12=0xf5;b13=0x13;b14=0x00;b15=0x3d;...6 omitted	e49dace93831:41:ab000000300000003d012265f513003d019d0180e00d				255=next = table[165], ip -= 0x3c4 | 91=next = table[171], ip += 0x2d	
hidden_span	hidden_span_of_14	311	affine_dispatch_fallback	exact	+0xa	VVECCCVVEC	165	static_validated	known_prefix_plus_tail	0xe	0xa	exact_shape	0x4		1adc5faac7db:26:552437008000a0000200;ca76481b3587:9:1aee33008000b8500700;6e02ae823f6e:1:fb680d00800050eb4e00;72f04ffe74de:1:e92d37008000ff4d0200;393ffa34a1f7:1:156512008000e41f0200;31417131c2ab:1:34451700800078590300	e9e51cfc7d31:35:a500e801;2c3b78dca0ce:4:e801a500	35:+0x0:165*;4:+0x2:165*	39	6	6	6	6	39	165:39	311:39	+0xe:39	b0=enum3(0x55:26,0x1a:9,0xfb:1);b1=enum3(0x24:26,0xee:9,0x68:1);b2=enum3(0x37:27,0x33:9,0x0d:1);b3=0x00;b4=0x80;b5=0x00;b6=enum3(0xa0:26,0xb8:9,0x50:1);b7=enum3(0x00:26,0x50:9,0xeb:1);b8=enum3(0x02:28,0x07:9,0x4e:1);b9=0x00;b10=enum2(0xa5:35,0xe8:4);b11=enum2(0x00:35,0x01:4);b12=enum2(0xe8:35,0xa5:4);b13=enum2(0x01:35,0x00:4)	3d607cb964f5:26:552437008000a0000200a500e801;eb424639c788:9:1aee33008000b8500700a500e801;d7f00f9e45eb:1:fb680d00800050eb4e00e801a500;bdd5ecb4feeb:1:e92d37008000ff4d0200e801a500;be63b410b643:1:156512008000e41f0200e801a500;e898624c0fea:1:34451700800078590300e801a500	0xb87ef: state sub= state0 - 0x1889c111 | 0xb8997: state sub= state0 - 0x1889c111 - flags0 - state0 - 0x1889c111 + 0x3cae9026 | 0x2b959efa | 0x35e8abc1 | 0xb8ae7: state sub= sta...	67=(mask32((mask32(u16_3 ^ (mask32((mask32(state0 - 0x1889c111)) - (mask32((mask32((mask32(flags0 - (mask32((mask32(state0 - 0x1889c111)) + 0x3cae9026)))) | 0x2b959efa)) | 0x35e...	67=0x5		1=sampled operand footprint 0xa, observed target table[42], delta +0x169eb | 1=sampled operand footprint 0xa, observed target table[42], delta -0x34ced
hidden_span	hidden_span_of_22	334	sampled_only	sampled_long_or_sparse	+0x2a5	sampled	114	static_validated	known_prefix_plus_tail	0x16	0xb	long_branch_operand	0xb		5ebae721d161:39:62010000300000003d0122	76a2ef235112:39:b3cb1300eb539d013d0180	39:+0x2:19,+0x8:317	39	1	1	1	0	0	114:39		+0x16:39	b0=0x62;b1=0x01;b2=0x00;b3=0x00;b4=0x30;b5=0x00;b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=0x22;b11=0xb3;b12=0xcb;b13=0x13;b14=0x00;b15=0xeb;...6 omitted	127049225098:39:62010000300000003d0122b3cb1300eb539d013d0180				25=next = table[354], ip += 0x2a5 | 1=next = table[165], ip += 0x238	
hidden_span	hidden_span_of_14	356	affine_dispatch_fallback	exact	+0xa	VVECCCVVEC	171	static_validated	known_prefix_plus_tail	0xe	0xa	exact_shape	0x4		d8207336040f:25:d228370080006e820700;6e36c0decc20:1:6b33120080001c600300;f7de3dd6b46d:1:2d3f120080008e500200;2abc8ffa153b:1:35ac33008000ff4d0200;5c86dff31f3d:1:bcb13300800080fd0100;c701dd693800:1:d1a73600800000ff0100	2c1b3e824c9e:30:ab00e801;84058bb8e996:3:e801ab00	30:+0x0:171*;3:+0x2:171*	33	9	9	9	9	33	171:33	356:33	+0xe:33	b0=enum3(0xd2:25,0x6b:1,0x2d:1);b1=enum3(0x28:25,0x33:1,0x3f:1);b2=enum3(0x37:25,0x12:3,0x33:2);b3=0x00;b4=0x80;b5=0x00;b6=enum3(0x6e:25,0x1c:1,0x8e:1);b7=enum3(0x82:25,0x60:1,0x50:1);b8=enum3(0x07:25,0x02:3,0x03:2);b9=0x00;b10=enum2(0xab:30,0xe8:3);b11=enum2(0x00:30,0x01:3);b12=enum2(0xe8:30,0xab:3);b13=enum2(0x01:30,0x00:3)	eaa94b134e8b:25:d228370080006e820700ab00e801;2418e0cf9b5c:1:6b33120080001c600300e801ab00;ec06b95acf10:1:2d3f120080008e500200ab00e801;df0fe339cb8b:1:35ac33008000ff4d0200e801ab00;8794bc19a4ba:1:bcb13300800080fd0100ab00e801;aa97413828f3:1:d1a73600800000ff0100ab00e801	0xc2a0d: state xor= state0 ^ flags0	116=(mask32((mask32(u16_0 ^ (mask32(state0 ^ flags0)))) + 0x70d7d4a7)) & 0xffff	116=0x5		
hidden_span	hidden_span_of_14	95	affine_dispatch_fallback	exact	+0xa	VVECCCVVEC	165	static_validated	known_prefix_plus_tail	0xe	0xa	exact_shape	0x4		f949d7c654d3:25:95253700800030080200;a5330a768b6b:1:eec5180080007b520200;055f1da341ca:1:c1f63100800068510700;4ec26be6b53e:1:33ad3600800080fd0100;fa53f77c8f0b:1:a92c3700800070080200;940cda8220d4:1:4b4b1200800012d60200	e9e51cfc7d31:29:a500e801;2c3b78dca0ce:3:e801a500	29:+0x0:165*;3:+0x2:165*	32	8	8	8	8	32	165:32	95:32	+0xe:32	b0=enum3(0x95:25,0xee:1,0xc1:1);b1=enum3(0x25:25,0xc5:1,0xf6:1);b2=enum3(0x37:26,0x17:2,0x18:1);b3=0x00;b4=0x80;b5=0x00;b6=enum3(0x30:25,0x7b:1,0x68:1);b7=enum3(0x08:26,0x52:1,0x51:1);b8=enum3(0x02:29,0x07:1,0x01:1);b9=0x00;b10=enum2(0xa5:29,0xe8:3);b11=enum2(0x00:29,0x01:3);b12=enum2(0xe8:29,0xa5:3);b13=enum2(0x01:29,0x00:3)	53ef9c33f483:25:95253700800030080200a500e801;d38b89df983e:1:eec5180080007b520200a500e801;109efd7f2905:1:c1f63100800068510700e801a500;e9d714dfe035:1:33ad3600800080fd0100a500e801;93f00fa08fb3:1:a92c3700800070080200a500e801;079b2c964286:1:4b4b1200800012d60200e801a500	0x8c595: state xor= state0 ^ u16_4 + 0x1f18e1aa	92=(mask32(u16_4 + 0x1f18e1aa)) & 0xffff	92=0x8		2=sampled operand footprint 0xa, observed target table[86], delta +0x2341b | 1=sampled operand footprint 0xa, observed target table[42], delta +0x1d02e
