tail_hash	tail_len	tail_hex	events	source_entries	target_entries	semantic_gap_classes	source_classes	prefix_sources	prefix_lens	span_lens	top_sources	top_targets	u16_candidates	target_match_offsets	tail_schema	motifs	byte_layout
18dfc5e5d2a8	0x6	8000e801ab00	256	1	1	target_only_prefix_plus_tail:256	target_only:256	target_only_static_ip_advance:256	0xb:256	0x11:256	50:256	171:256	+0x0:128,+0x4:171*	171@+0x4:256	8000+e801+target_u16@4	8000,e801,ab00	b0=0x80;b1=0x00;b2=0xe8;b3=0x01;b4=0xab;b5=0x00
e9e51cfc7d31	0x4	a500e801	155	7	1	known_prefix_plus_tail:155	affine_dispatch_fallback:155	exact_shape:155	0xa:91,0xd:64	0xe:91,0x11:64	321:64,311:35,95:31,356:9,264:6,278:6,216:4	165:155	+0x0:165*	165@+0x0:155	target_u16@0+e801	e801,a500	b0=0xa5;b1=0x00;b2=0xe8;b3=0x01
f5418f72b026	0x6	c3c965845dca	125	1	1	known_prefix_plus_tail:125	sampled_only:125	long_branch_operand:125	0xb:125	0x11:125	334:125	183:125					b0=0xc3;b1=0xc9;b2=0x65;b3=0x84;b4=0x5d;b5=0xca
84058bb8e996	0x4	e801ab00	105	8	1	known_prefix_plus_tail:105	affine_dispatch_fallback:103,partial:2	exact_shape:105	0xa:102,0xd:3	0xe:102,0x11:3	264:53,311:30,216:9,356:4,95:3,278:3,69:2,78:1	171:105	+0x2:171*	171@+0x2:105	e801+target_u16@2	e801,ab00	b0=0xe8;b1=0x01;b2=0xab;b3=0x00
2990db204e40	0x5	089c424b34	91	1	1	known_prefix_plus_tail:91	sampled_only:91	long_branch_operand:91	0xb:91	0x10:91	75:91	260:91					b0=0x08;b1=0x9c;b2=0x42;b3=0x4b;b4=0x34
2c1b3e824c9e	0x4	ab00e801	87	7	1	known_prefix_plus_tail:87	affine_dispatch_fallback:74,partial:13	exact_shape:87	0xa:74,0xd:13	0xe:74,0x11:13	356:32,216:13,69:13,95:11,278:9,264:6,311:3	171:87	+0x0:171*	171@+0x0:87	target_u16@0+e801	e801,ab00	b0=0xab;b1=0x00;b2=0xe8;b3=0x01
2c3b78dca0ce	0x4	e801a500	64	8	1	known_prefix_plus_tail:64	affine_dispatch_fallback:64	exact_shape:64	0xa:46,0xd:18	0xe:46,0x11:18	264:28,78:16,216:6,311:4,95:4,278:3,321:2,356:1	165:64	+0x2:165*	165@+0x2:64	e801+target_u16@2	e801,a500	b0=0xe8;b1=0x01;b2=0xa5;b3=0x00
36a7b503a634	0x6	8000ab00e801	64	1	1	target_only_prefix_plus_tail:64	target_only:64	target_only_static_ip_advance:64	0xb:64	0x11:64	50:64	171:64	+0x0:128,+0x2:171*	171@+0x2:64	8000+target_u16@2+e801	8000,e801,ab00	b0=0x80;b1=0x00;b2=0xab;b3=0x00;b4=0xe8;b5=0x01
b12ac48450d5	0x4	e8016201	50	8	1	known_prefix_plus_tail:50	affine_dispatch_fallback:44,partial:6	exact_shape:50	0xa:38,0xd:12	0xe:38,0x11:12	278:10,264:9,356:7,321:6,69:6,311:5,95:4,216:3	354:50	+0x2:354*	354@+0x2:50	e801+target_u16@2	e801,6201	b0=0xe8;b1=0x01;b2=0x62;b3=0x01
39686efd19b8	0xb	65f513003d019d0180e00d	41	1	1	known_prefix_plus_tail:41	sampled_only:41	long_branch_operand:41	0xb:41	0x16:41	316:41	196:41	+0x2:19,+0x4:317		long_tail_3d01_9d01	3d01,9d01	b0=0x65;b1=0xf5;b2=0x13;b3=0x00;b4=0x3d;b5=0x01;b6=0x9d;b7=0x01;b8=0x80;b9=0xe0;b10=0x0d
3bfb9d72dde2	0x4	6201e801	40	7	1	known_prefix_plus_tail:40	affine_dispatch_fallback:40	exact_shape:40	0xa:39,0xd:1	0xe:39,0x11:1	95:11,278:9,356:7,264:6,311:5,216:1,78:1	354:40	+0x0:354*	354@+0x0:40	target_u16@0+e801	e801,6201	b0=0x62;b1=0x01;b2=0xe8;b3=0x01
76a2ef235112	0xb	b3cb1300eb539d013d0180	39	1	1	known_prefix_plus_tail:39	sampled_only:39	long_branch_operand:39	0xb:39	0x16:39	334:39	114:39	+0x2:19,+0x8:317		long_tail_3d01_9d01	3d01,9d01	b0=0xb3;b1=0xcb;b2=0x13;b3=0x00;b4=0xeb;b5=0x53;b6=0x9d;b7=0x01;b8=0x3d;b9=0x01;b10=0x80
e1d24a4fa77b	0x5	95f3e615b2	25	1	1	known_prefix_plus_tail:25	sampled_only:25	long_branch_operand:25	0xb:25	0x10:25	316:25	268:25					b0=0x95;b1=0xf3;b2=0xe6;b3=0x15;b4=0xb2
c092e5506079	0x5	f65289bebc	25	1	1	known_prefix_plus_tail:25	sampled_only:25	long_branch_operand:25	0xb:25	0x10:25	246:25	347:25					b0=0xf6;b1=0x52;b2=0x89;b3=0xbe;b4=0xbc
10766c2faba5	0x6	512d5cd89cbc	25	1	1	known_prefix_plus_tail:25	sampled_only:25	long_branch_operand:25	0xb:25	0x11:25	316:25	203:25					b0=0x51;b1=0x2d;b2=0x5c;b3=0xd8;b4=0x9c;b5=0xbc
0679ccd019a7	0x6	e8040ecb6800	25	1	1	known_prefix_plus_tail:25	sampled_only:25	long_branch_operand:25	0xb:25	0x11:25	145:25	66:25	+0x4:104				b0=0xe8;b1=0x04;b2=0x0e;b3=0xcb;b4=0x68;b5=0x00
98a812737eda	0x8	400604b8de822006	25	1	1	known_prefix_plus_tail:25	sampled_only:25	long_branch_operand:25	0xb:25	0x13:25	145:25	196:25					b0=0x40;b1=0x06;b2=0x04;b3=0xb8;b4=0xde;b5=0x82;b6=0x20;b7=0x06
d790df9f5983	0xb	a006130023569d013d0180	22	1	1	known_prefix_plus_tail:22	sampled_only:22	long_branch_operand:22	0xb:22	0x16:22	145:22	203:22	+0x2:19,+0x8:317		long_tail_3d01_9d01	3d01,9d01	b0=0xa0;b1=0x06;b2=0x13;b3=0x00;b4=0x23;b5=0x56;b6=0x9d;b7=0x01;b8=0x3d;b9=0x01;b10=0x80
bbc55c1806ea	0xb	34ec13003d019d0180141a	18	1	1	known_prefix_plus_tail:18	sampled_only:18	long_branch_operand:18	0xb:18	0x16:18	210:18	157:18	+0x2:19,+0x4:317		long_tail_3d01_9d01	3d01,9d01	b0=0x34;b1=0xec;b2=0x13;b3=0x00;b4=0x3d;b5=0x01;b6=0x9d;b7=0x01;b8=0x80;b9=0x14;b10=0x1a
dcae7c585625	0xb	1a75809d019cc83d011300	17	1	1	known_prefix_plus_tail:17	sampled_only:17	long_branch_operand:17	0xb:17	0x16:17	210:17	340:17	+0x7:317,+0x9:19		long_tail_3d01_9d01	3d01,9d01	b0=0x1a;b1=0x75;b2=0x80;b3=0x9d;b4=0x01;b5=0x9c;b6=0xc8;b7=0x3d;b8=0x01;b9=0x13;b10=0x00
d10d63b85cac	0xb	67b79d01fc8313003d0180	17	1	1	known_prefix_plus_tail:17	sampled_only:17	long_branch_operand:17	0xb:17	0x16:17	75:17	168:17	+0x6:19,+0x8:317		long_tail_3d01_9d01	3d01,9d01	b0=0x67;b1=0xb7;b2=0x9d;b3=0x01;b4=0xfc;b5=0x83;b6=0x13;b7=0x00;b8=0x3d;b9=0x01;b10=0x80
824afd195da9	0xb	4007809d01b4c43d011300	14	1	1	known_prefix_plus_tail:14	sampled_only:14	long_branch_operand:14	0xb:14	0x16:14	145:14	215:14	+0x7:317,+0x9:19		long_tail_3d01_9d01	3d01,9d01	b0=0x40;b1=0x07;b2=0x80;b3=0x9d;b4=0x01;b5=0xb4;b6=0xc4;b7=0x3d;b8=0x01;b9=0x13;b10=0x00
4708b41e1754	0xb	300213003d019d0180c00c	13	1	1	known_prefix_plus_tail:13	sampled_only:13	long_branch_operand:13	0xb:13	0x16:13	210:13	199:13	+0x2:19,+0x4:317		long_tail_3d01_9d01	3d01,9d01	b0=0x30;b1=0x02;b2=0x13;b3=0x00;b4=0x3d;b5=0x01;b6=0x9d;b7=0x01;b8=0x80;b9=0xc0;b10=0x0c
52a76660708f	0xc	216be8e933008000ab00e801	12	1	1	target_only_prefix_plus_tail:12	target_only:12	target_only_static_ip_advance:12	0x5:12	0x11:12	80:12	171:12	+0x4:51,+0x6:128,+0x8:171*	171@+0x8:12	target_only_8000_tail_target@+0x8	8000,e801,ab00	b0=0x21;b1=0x6b;b2=0xe8;b3=0xe9;b4=0x33;b5=0x00;b6=0x80;b7=0x00;b8=0xab;b9=0x00;b10=0xe8;b11=0x01
2ca62a5469d1	0x6	a202828596ff	10	1	1	known_prefix_plus_tail:10	sampled_only:10	long_branch_operand:10	0xb:10	0x11:10	210:10	199:10					b0=0xa2;b1=0x02;b2=0x82;b3=0x85;b4=0x96;b5=0xff
050dee213c85	0xb	4007809d01e4c33d011300	10	1	1	known_prefix_plus_tail:10	sampled_only:10	long_branch_operand:10	0xb:10	0x16:10	145:10	189:10	+0x7:317,+0x9:19		long_tail_3d01_9d01	3d01,9d01	b0=0x40;b1=0x07;b2=0x80;b3=0x9d;b4=0x01;b5=0xe4;b6=0xc3;b7=0x3d;b8=0x01;b9=0x13;b10=0x00
a2aacba60b6f	0xb	b07513003d019d0180309b	10	1	1	known_prefix_plus_tail:10	sampled_only:10	long_branch_operand:10	0xb:10	0x16:10	210:10	185:10	+0x2:19,+0x4:317		long_tail_3d01_9d01	3d01,9d01	b0=0xb0;b1=0x75;b2=0x13;b3=0x00;b4=0x3d;b5=0x01;b6=0x9d;b7=0x01;b8=0x80;b9=0x30;b10=0x9b
