start_vm_ip	events	target_encoded_events	span_target_encoded_events	schema_events	long_control_overlap_events	long_control_prefix_events	source_entries	target_entries	top_sources	top_targets	byte_statuses	semantic_gap_classes	prefix_sources	prefix_lens	unresolved_lens	tail_schemas	target_match_offsets	span_target_match_offsets	tail_motifs	lift_classes	long_control_overlaps	long_control_targets	long_control_deltas	long_control_prefixes	long_control_prefix_targets	long_control_prefix_deltas	top_tail_hexes
0x230111	256	256	0	256	0	0	1	1	50:256	171:256	hidden_span_of_17:256	target_only_prefix_plus_tail:256	target_only_static_ip_advance:256	0xb:256	0x6:256	8000+e801+target_u16@4:256	171@+0x4:256		8000,e801,ab00:256	target_encoded_tail:256							256:8000e801ab00
0x371477	125	0	0	0	125	0	1	1	334:125	183:125	hidden_span_of_17:125	known_prefix_plus_tail:125	long_branch_operand:125	0xb:125	0x6:125					long_control_overlap:125	334->354/+0x2a5 (next = table[354], ip += 0x2a5) [prefix_32_of_677:25]:125	354:125	+0x2a5:125				125:c3c965845dca
0x310dba	91	0	0	0	91	0	1	1	75:91	260:91	hidden_span_of_16:91	known_prefix_plus_tail:91	long_branch_operand:91	0xb:91	0x5:91					long_control_overlap:91	75->354/+0x4f0e (next = table[354], ip += 0x4f0e) [prefix_32_of_20238:1]:91	354:91	+0x4f0e:91				91:089c424b34
0x230b1b	64	64	0	64	0	0	1	1	50:64	171:64	hidden_span_of_17:64	target_only_prefix_plus_tail:64	target_only_static_ip_advance:64	0xb:64	0x6:64	8000+target_u16@2+e801:64	171@+0x2:64		8000,e801,ab00:64	target_encoded_tail:64							64:8000ab00e801
0x230e07	64	64	0	64	0	0	1	1	321:64	165:64	hidden_span_of_17:64	known_prefix_plus_tail:64	exact_shape:64	0xd:64	0x4:64	target_u16@0+e801:64	165@+0x0:64		e801,a500:64	target_encoded_tail:64							64:a500e801
0x36b35e	41	0	0	41	41	0	1	1	316:41	196:41	hidden_span_of_22:41	known_prefix_plus_tail:41	long_branch_operand:41	0xb:41	0xb:41	long_tail_3d01_9d01:41			3d01,9d01:41	long_control_overlap:41	316->171/+0x30 (next = table[171], ip += 0x30) [prefix_32_of_48:1]:41	171:41	+0x30:41				41:65f513003d019d0180e00d
0x3676fd	39	0	0	39	39	0	1	1	334:39	114:39	hidden_span_of_22:39	known_prefix_plus_tail:39	long_branch_operand:39	0xb:39	0xb:39	long_tail_3d01_9d01:39			3d01,9d01:39	long_control_overlap:39	334->354/+0x30 (next = table[354], ip += 0x30) [prefix_32_of_48:1]:39	354:39	+0x30:39				39:b3cb1300eb539d013d0180
0x3703d8	26	26	0	26	0	0	1	1	311:26	165:26	hidden_span_of_14:26	known_prefix_plus_tail:26	exact_shape:26	0xa:26	0x4:26	target_u16@0+e801:26	165@+0x0:26		e801,a500:26	target_encoded_tail:26							26:a500e801
0x3704f7	25	0	0	0	25	0	1	1	145:25	66:25	hidden_span_of_17:25	known_prefix_plus_tail:25	long_branch_operand:25	0xb:25	0x6:25					long_control_overlap:25	145->354/+0x279 (next = table[354], ip += 0x279) [prefix_32_of_633:1]:25	354:25	+0x279:25				25:e8040ecb6800
0x370624	25	25	0	25	0	0	1	1	95:25	165:25	hidden_span_of_14:25	known_prefix_plus_tail:25	exact_shape:25	0xa:25	0x4:25	target_u16@0+e801:25	165@+0x0:25		e801,a500:25	target_encoded_tail:25							25:a500e801
