trace_dir	trace_class	runtime_config	run_mode	driver_tail_limit	driver_tail_sites	driver_tail_regs	driver_tail_scratch	driver_tail_mem	driver_tail_focus_ips	driver_tail_focus_sites	driver_tail_stop_after_matches	driver_tail_trace	driver_scratch_offsets	driver_read_ranges	trace_cap_status	trace_rows	source_entries	target_entries	start_vm_ips	covered_byte_ranges	covered_bytes	exact_covered_bytes	segment_rows	segment_bytes	segment_conflict_offsets	source_entries_vs_primary	target_entries_vs_primary	start_vm_ips_vs_primary	source_entries_vs_union	target_entries_vs_union	start_vm_ips_vs_union	byte_statuses	kinds	top_sources	top_targets	env_flags	network_policy	network_events	network_denied_events	network_fake_events	network_hosts	network_callers	spawn_policy	spawn_events	spawn_denied_events	spawn_commands	has_run_stderr	origin_run_dir	path
dumps/vmtail-mode0-w16	alternate_mode_trace	x_mode_0	0	250000	311	0	0	0				1			near_or_at_limit	249764	191	195	39725	43	0x22ed01	0x24c51	152	0x252b9	0	+0/-11	+0/-10	+0/-31797	191/205	195/205	39725/71809	exact:248906,backedge_sample:768,prefix_32_of_45:26,prefix_32_of_48:10,prefix_32_of_96:9,prefix_32_of_648:7,prefix_32_of_651:6,prefix_32_of_3052:4	tail:249218,dispatch:546	258:9693,28:8348,347:8151,114:7722,340:7549,337:7502,189:7459,18:7392	258:9680,28:8347,347:8151,114:7715,340:7532,337:7502,189:7446,18:7377	EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-mode0-w16	dumps/vmtail-mode0-w16/vm_instruction_trace.tsv
dumps/vmtail-mode2-w16	alternate_mode_trace	x_mode_2	2	250000	311	0	0	0				1			near_or_at_limit	249764	191	195	39725	43	0x22ed01	0x24c51	152	0x252b9	0	+0/-11	+0/-10	+0/-31797	191/205	195/205	39725/71809	exact:248906,backedge_sample:768,prefix_32_of_45:26,prefix_32_of_48:10,prefix_32_of_96:9,prefix_32_of_648:7,prefix_32_of_651:6,prefix_32_of_3052:4	tail:249218,dispatch:546	258:9693,28:8348,347:8151,114:7722,340:7549,337:7502,189:7459,18:7392	258:9680,28:8347,347:8151,114:7715,340:7532,337:7502,189:7446,18:7377	EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-mode2-w16	dumps/vmtail-mode2-w16/vm_instruction_trace.tsv
dumps/vmtail-fakenet-w16	fake_network_trace	x_mode_1	1	250000	311	0	0	0	0	0	0	1	0	0	near_or_at_limit	249764	191	195	39725	43	0x22ed01	0x24c51				+0/-11	+0/-10	+0/-31797	191/205	195/205	39725/71809	exact:248906,backedge_sample:768,prefix_32_of_45:26,prefix_32_of_48:10,prefix_32_of_96:9,prefix_32_of_648:7,prefix_32_of_651:6,prefix_32_of_3052:4	tail:249218,dispatch:546	258:9693,28:8348,347:8151,114:7722,340:7549,337:7502,189:7459,18:7392	258:9680,28:8347,347:8151,114:7715,340:7532,337:7502,189:7446,18:7377	EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	fake_observed	12	0	12	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	send@eac.elf+0x6b449:4,getaddrinfo@eac.elf+0x6b74f:2,socket@eac.elf+0x6b9e9:2,connect@eac.elf+0x6b609:2,recv@eac.elf+0x6b21f:2	not_observed	0	0		1	dumps/vmtail-fakenet-w16	dumps/vmtail-fakenet-w16/vm_instruction_trace.tsv
dumps/vmtail-mem-focus-final-site-b265e	memory_context_trace	x_mode_1	1	100	14	1	0	1	0	1	20	1	0	54		0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_LAUNCHERDIR,EAC_VMTAIL_FOCUS_SITES,EAC_VMTAIL_LIMIT,EAC_VMTAIL_MEM,EAC_VMTAIL_MEM_REGS,EAC_VMTAIL_REGS,EAC_VMTAIL_STOP_AFTER_MATCHES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	3	3	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1,lshw -C display 2>/dev/null:1	1	dumps/vmtail-mem-focus-final-site-b265e	
dumps/vmtail-mem-focus-final-site-c2d35	memory_context_trace	x_mode_1	1	100	14	1	0	1	0	1	20	1	0	54		0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_LAUNCHERDIR,EAC_VMTAIL_FOCUS_SITES,EAC_VMTAIL_LIMIT,EAC_VMTAIL_MEM,EAC_VMTAIL_MEM_REGS,EAC_VMTAIL_REGS,EAC_VMTAIL_STOP_AFTER_MATCHES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	3	3	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1,lshw -C display 2>/dev/null:1	1	dumps/vmtail-mem-focus-final-site-c2d35	
dumps/vmtail-mem-focus-final-sites	memory_context_trace	x_mode_1	1	500	14	1	0	1	0	5	200	1	0	54		0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_VMTAIL_FOCUS_SITES,EAC_VMTAIL_LIMIT,EAC_VMTAIL_MEM,EAC_VMTAIL_MEM_REGS,EAC_VMTAIL_REGS,EAC_VMTAIL_STOP_AFTER_MATCHES,EAC_VMTAIL_TRACE	not_observed	0	0	0			not_observed	0	0		1	dumps/vmtail-mem-focus-final-sites	
dumps/vmtail-mem-focus-start-final-sites	memory_context_trace	x_mode_1	1	100	14	1	0	1	21	5	20	1	0	54		0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_LAUNCHERDIR,EAC_VMTAIL_FOCUS_IPS,EAC_VMTAIL_FOCUS_SITES,EAC_VMTAIL_LIMIT,EAC_VMTAIL_MEM,EAC_VMTAIL_MEM_REGS,EAC_VMTAIL_REGS,EAC_VMTAIL_STOP_AFTER_MATCHES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	3	3	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1,lshw -C display 2>/dev/null:1	1	dumps/vmtail-mem-focus-start-final-sites	
dumps/vmtail-mem-focus-starts	memory_context_trace	x_mode_1	1	200	20	1	0	1	21		42	1	0	54		0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_LAUNCHERDIR,EAC_VMTAIL_FOCUS_IPS,EAC_VMTAIL_LIMIT,EAC_VMTAIL_MEM,EAC_VMTAIL_MEM_REGS,EAC_VMTAIL_REGS,EAC_VMTAIL_SITES,EAC_VMTAIL_STOP_AFTER_MATCHES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	3	3	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1,lshw -C display 2>/dev/null:1	1	dumps/vmtail-mem-focus-starts	
dumps/vmtail-mem-smoke	memory_context_trace	x_mode_1	1	1000	14	1	0	1				1	0	54		0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_MEM,EAC_VMTAIL_MEM_REGS,EAC_VMTAIL_REGS,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-mem-smoke	
dumps/vmtail-live-residual-targets	raw_dynamic_trace	x_mode_1	1	96	311	1	1	0	40	19	40	1	26	0	near_or_at_limit	3404	15	9	132	9	0x1d8a52	0x4c				+0/-187	+0/-196	+5/-71395	15/205	9/205	132/71809	prefix_32_of_482:546,prefix_32_of_578:459,prefix_32_of_579:459,prefix_32_of_622:455,prefix_32_of_554:280,prefix_32_of_598:183,prefix_32_of_627:115,backedge_sample:94	dispatch:3384,tail:20	169:1776,310:1594,86:5,184:4,176:4,174:4,42:3,20:2	169:1778,310:1598,195:10,299:5,86:4,175:4,42:3,323:1	EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_LAUNCHERDIR,EAC_VMTAIL_FOCUS_IPS,EAC_VMTAIL_FOCUS_SITES,EAC_VMTAIL_LIMIT,EAC_VMTAIL_REGS,EAC_VMTAIL_SCRATCH,EAC_VMTAIL_SITES,EAC_VMTAIL_STOP_AFTER_MATCHES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-live-residual-targets	dumps/vmtail-live-residual-targets/vm_instruction_trace.tsv
