trace_dir	trace_class	runtime_config	run_mode	network_policy	network_events	has_instruction_trace	trace_rows_read	mapped_rows	unmapped_rows	unique_programs	missing_programs	first_program	first_vm_ip	last_program	last_vm_ip	top_programs	program_switches	compressed_program_path	trace_path
dumps/vmtail-mode0-w16	alternate_mode_trace	x_mode_0	0	blocked_observed	2	1	249764	249764	0	32	011,012,013,014,015,016,017,018,019,020,021,022,023,024,026,027,028,031,035,036,037,038,039,040,056,057,058,059,060,061,062,063,064,065	033	0x26cd71	041	0x311ffd	041:75945,029:73109,030:42753,055:9495,053:7767,034:5745,032:5416,042:4724,050:3926,046:3663,048:3590,052:3374	75	033x113 -> 034x1437 -> 033x113 -> 034x1436 -> 032x333 -> 033x113 -> 034x1436 -> 032x2708 -> 033x113 -> 034x1436 -> 032x2375 -> 007x1024 -> 008x188 -> 009x194 -> 010x1333 -> 025x477 -> 001x380 -> 002x77 -> 000x803 -> 029x73109 -> 000x167 -> 030x42753 -> 000x116 -> 002x1003 -> 003x313 -> 025x191 -> 004x489 -> 005x157 -> 006x194 -> 025x261 -> 010x164 -> 042x4724 -> 043x54 -> 048x3355 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x71 -> 048x235 -> 049x222 -> 043x123 -> 046x3431 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 046x232 -> 047x220 -> 043x123 -> 050x3694 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 050x232 -> 051x220 -> 043x124 -> 052x3374 -> 043x130 -> 044x14 -> 045x520 -> 010x124 -> 055x9495 -> 041x75945	dumps/vmtail-mode0-w16/vm_instruction_trace.tsv
dumps/vmtail-mode2-w16	alternate_mode_trace	x_mode_2	2	blocked_observed	2	1	249764	249764	0	32	011,012,013,014,015,016,017,018,019,020,021,022,023,024,026,027,028,031,035,036,037,038,039,040,056,057,058,059,060,061,062,063,064,065	033	0x26cd71	041	0x311ffd	041:75945,029:73109,030:42753,055:9495,053:7767,034:5745,032:5416,042:4724,050:3926,046:3663,048:3590,052:3374	75	033x113 -> 034x1437 -> 033x113 -> 034x1436 -> 032x333 -> 033x113 -> 034x1436 -> 032x2708 -> 033x113 -> 034x1436 -> 032x2375 -> 007x1024 -> 008x188 -> 009x194 -> 010x1333 -> 025x477 -> 001x380 -> 002x77 -> 000x803 -> 029x73109 -> 000x167 -> 030x42753 -> 000x116 -> 002x1003 -> 003x313 -> 025x191 -> 004x489 -> 005x157 -> 006x194 -> 025x261 -> 010x164 -> 042x4724 -> 043x54 -> 048x3355 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x71 -> 048x235 -> 049x222 -> 043x123 -> 046x3431 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 046x232 -> 047x220 -> 043x123 -> 050x3694 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 050x232 -> 051x220 -> 043x124 -> 052x3374 -> 043x130 -> 044x14 -> 045x520 -> 010x124 -> 055x9495 -> 041x75945	dumps/vmtail-mode2-w16/vm_instruction_trace.tsv
dumps/vmtail-fakenet-w16	fake_network_trace	x_mode_1	1	fake_observed	12	1	249764	249764	0	32	011,012,013,014,015,016,017,018,019,020,021,022,023,024,026,027,028,031,035,036,037,038,039,040,056,057,058,059,060,061,062,063,064,065	033	0x26cd71	041	0x311ffd	041:75945,029:73109,030:42753,055:9495,053:7767,034:5745,032:5416,042:4724,050:3926,046:3663,048:3590,052:3374	75	033x113 -> 034x1437 -> 033x113 -> 034x1436 -> 032x333 -> 033x113 -> 034x1436 -> 032x2708 -> 033x113 -> 034x1436 -> 032x2375 -> 007x1024 -> 008x188 -> 009x194 -> 010x1333 -> 025x477 -> 001x380 -> 002x77 -> 000x803 -> 029x73109 -> 000x167 -> 030x42753 -> 000x116 -> 002x1003 -> 003x313 -> 025x191 -> 004x489 -> 005x157 -> 006x194 -> 025x261 -> 010x164 -> 042x4724 -> 043x54 -> 048x3355 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x71 -> 048x235 -> 049x222 -> 043x123 -> 046x3431 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 046x232 -> 047x220 -> 043x123 -> 050x3694 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 050x232 -> 051x220 -> 043x124 -> 052x3374 -> 043x130 -> 044x14 -> 045x520 -> 010x124 -> 055x9495 -> 041x75945	dumps/vmtail-fakenet-w16/vm_instruction_trace.tsv
dumps/vmtail-mem-focus-final-site-b265e	memory_context_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-mem-focus-final-site-c2d35	memory_context_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-mem-focus-final-sites	memory_context_trace	x_mode_1	1	not_observed	0	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-mem-focus-start-final-sites	memory_context_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-mem-focus-starts	memory_context_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-mem-smoke	memory_context_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-live-residual-targets	raw_dynamic_trace	x_mode_1	1	blocked_observed	2	1	3404	3399	5	24	001,002,004,005,007,008,009,010,011,012,013,014,015,016,017,018,019,022,023,026,030,035,036,037,038,039,040,042,043,044,046,050,053,054,057,059,060,061,062,063,064,065	033	0x26cd71	021	0x17452a	041:3291,034:30,056:21,055:20,048:9,052:6,033:4,032:2,029:1,000:1,003:1,006:1	31	033 -> 034x8 -> 033 -> 034x8 -> 033 -> 034x7 -> 032 -> 033 -> 034x7 -> 032 -> 029 -> 000 -> 003 -> 006 -> 025 -> 048x9 -> 049 -> 047 -> 051 -> 052x6 -> 045 -> 055x8 -> 041x3291 -> 055x12 -> 056x21 -> 058 -> 024 -> 031 -> 028 -> 027 -> 020 -> 021	dumps/vmtail-live-residual-targets/vm_instruction_trace.tsv
dumps/vmtail-residual-122e3c-context	raw_dynamic_trace	x_mode_1	1	blocked_observed	2	1	3386	3386	0	10	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,020,021,022,023,024,025,026,027,028,029,030,031,032,035,036,037,038,040,042,043,044,045,046,047,050,051,053,054,057,058,059,060,061,062,063,064,065	033	0x26cd71	039	0x2c0468	041:3291,034:32,056:21,055:20,048:9,052:6,033:4,049:1,019:1,039:1	16	033 -> 034x8 -> 033 -> 034x8 -> 033 -> 034x8 -> 033 -> 034x8 -> 048x9 -> 049 -> 052x6 -> 055x8 -> 041x3291 -> 055x12 -> 056x21 -> 019 -> 039	dumps/vmtail-residual-122e3c-context/vm_instruction_trace.tsv
dumps/vmtail-wide	raw_dynamic_trace	x_mode_1	1	blocked_observed	2	1	249764	249764	0	32	011,012,013,014,015,016,017,018,019,020,021,022,023,024,026,027,028,031,035,036,037,038,039,040,056,057,058,059,060,061,062,063,064,065	033	0x26cd71	041	0x311ffd	041:75945,029:73109,030:42753,055:9495,053:7767,034:5745,032:5416,042:4724,050:3926,046:3663,048:3590,052:3374	75	033x113 -> 034x1437 -> 033x113 -> 034x1436 -> 032x333 -> 033x113 -> 034x1436 -> 032x2708 -> 033x113 -> 034x1436 -> 032x2375 -> 007x1024 -> 008x188 -> 009x194 -> 010x1333 -> 025x477 -> 001x380 -> 002x77 -> 000x803 -> 029x73109 -> 000x167 -> 030x42753 -> 000x116 -> 002x1003 -> 003x313 -> 025x191 -> 004x489 -> 005x157 -> 006x194 -> 025x261 -> 010x164 -> 042x4724 -> 043x54 -> 048x3355 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x71 -> 048x235 -> 049x222 -> 043x123 -> 046x3431 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 046x232 -> 047x220 -> 043x123 -> 050x3694 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 050x232 -> 051x220 -> 043x124 -> 052x3374 -> 043x130 -> 044x14 -> 045x520 -> 010x124 -> 055x9495 -> 041x75945	dumps/vmtail-wide/vm_instruction_trace.tsv
dumps/vmtail-wide-1m	raw_dynamic_trace	x_mode_1	1	blocked_observed	2	1	769113	769113	0	66		033	0x26cd71	035	0x2932de	041:502501,029:73109,063:44029,030:42753,055:11755,059:8056,061:8004,053:7767,056:6962,034:5745,032:5416,042:4724	485	033x113 -> 034x1437 -> 033x113 -> 034x1436 -> 032x333 -> 033x113 -> 034x1436 -> 032x2708 -> 033x113 -> 034x1436 -> 032x2375 -> 007x1024 -> 008x188 -> 009x194 -> 010x1333 -> 025x477 -> 001x380 -> 002x77 -> 000x803 -> 029x73109 -> 000x167 -> 030x42753 -> 000x116 -> 002x1003 -> 003x313 -> 025x191 -> 004x489 -> 005x157 -> 006x194 -> 025x261 -> 010x164 -> 042x4724 -> 043x54 -> 048x3355 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x71 -> 048x235 -> 049x222 -> 043x123 -> 046x3431 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 046x232 -> 047x220 -> 043x123 -> 050x3694 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 050x232 -> 051x220 -> 043x124 -> 052x3374 -> 043x130 -> 044x14 -> 045x520 -> 010x124 -> 055x9495 -> 041x502501 -> 055x2260 -> 010x124 -> 056x6594 -> 059x6319 -> ...+406	dumps/vmtail-wide-1m/vm_instruction_trace.tsv
dumps/vmtail-wide-1m-w16	raw_dynamic_trace	x_mode_1	1	blocked_observed	2	1	769225	769225	0	66		033	0x26cd71	035	0x293469	041:502501,029:73109,063:44029,030:42753,055:11755,059:8056,061:8004,053:7767,056:6962,034:5745,032:5416,042:4724	485	033x113 -> 034x1437 -> 033x113 -> 034x1436 -> 032x333 -> 033x113 -> 034x1436 -> 032x2708 -> 033x113 -> 034x1436 -> 032x2375 -> 007x1024 -> 008x188 -> 009x194 -> 010x1333 -> 025x477 -> 001x380 -> 002x77 -> 000x803 -> 029x73109 -> 000x167 -> 030x42753 -> 000x116 -> 002x1003 -> 003x313 -> 025x191 -> 004x489 -> 005x157 -> 006x194 -> 025x261 -> 010x164 -> 042x4724 -> 043x54 -> 048x3355 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x71 -> 048x235 -> 049x222 -> 043x123 -> 046x3431 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 046x232 -> 047x220 -> 043x123 -> 050x3694 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 050x232 -> 051x220 -> 043x124 -> 052x3374 -> 043x130 -> 044x14 -> 045x520 -> 010x124 -> 055x9495 -> 041x502501 -> 055x2260 -> 010x124 -> 056x6594 -> 059x6319 -> ...+406	dumps/vmtail-wide-1m-w16/vm_instruction_trace.tsv
dumps/vmtail-wide-w16	raw_dynamic_trace	x_mode_1	1	blocked_observed	2	1	249764	249764	0	32	011,012,013,014,015,016,017,018,019,020,021,022,023,024,026,027,028,031,035,036,037,038,039,040,056,057,058,059,060,061,062,063,064,065	033	0x26cd71	041	0x311ffd	041:75945,029:73109,030:42753,055:9495,053:7767,034:5745,032:5416,042:4724,050:3926,046:3663,048:3590,052:3374	75	033x113 -> 034x1437 -> 033x113 -> 034x1436 -> 032x333 -> 033x113 -> 034x1436 -> 032x2708 -> 033x113 -> 034x1436 -> 032x2375 -> 007x1024 -> 008x188 -> 009x194 -> 010x1333 -> 025x477 -> 001x380 -> 002x77 -> 000x803 -> 029x73109 -> 000x167 -> 030x42753 -> 000x116 -> 002x1003 -> 003x313 -> 025x191 -> 004x489 -> 005x157 -> 006x194 -> 025x261 -> 010x164 -> 042x4724 -> 043x54 -> 048x3355 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x71 -> 048x235 -> 049x222 -> 043x123 -> 046x3431 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 046x232 -> 047x220 -> 043x123 -> 050x3694 -> 053x852 -> 054x21 -> 053x729 -> 054x21 -> 053x729 -> 054x21 -> 053x279 -> 054x70 -> 050x232 -> 051x220 -> 043x124 -> 052x3374 -> 043x130 -> 044x14 -> 045x520 -> 010x124 -> 055x9495 -> 041x75945	dumps/vmtail-wide-w16/vm_instruction_trace.tsv
dumps/vmtail-regs-smoke-w16	register_context_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-regs-wide-w16	register_context_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-scratch-wide-w16	register_context_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-scratch-wide-w16-fs337all	register_context_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-scratch-wide-w16-fs337all-fs128	register_context_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/dispatch-detail	run_without_instruction_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/dispatch-trap	run_without_instruction_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/local-blocked-log	run_without_instruction_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-allstatic	run_without_instruction_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-auto1	run_without_instruction_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-auto2	run_without_instruction_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-auto3	run_without_instruction_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-recursive	run_without_instruction_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
dumps/vmtail-trace	run_without_instruction_trace	x_mode_1	1	blocked_observed	2	0	0	0	0	0	000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065						0		
