entry	target	observation	observed_events	delta	shape	tail_site	static_stop	top_targets	state_update_count	flag_update_count	branch_count	ip_reads	state_static_pct	state_static_mismatches	state_affine_status	state_affine_cv_status	state_affine_cv_pct	state_affine_terms	static_dispatch_pct	static_dispatch_mismatches	static_ip_pct	static_ip_mismatches	dispatch_model	dispatch_model_pct	dispatch_model_events	dispatch_affine_cv_status	dispatch_affine_cv_pct	dispatch_affine_terms	transfer_expr_events	transfer_expr_target_pct	transfer_expr_ip_pct	transfer_expr_unique_slot_exprs	transfer_expr_unique_ip_exprs	transfer_expr_top_slot_exprs	transfer_expr_top_ip_exprs	path_profile_events	path_profile_unique_paths	path_profile_branch_sites	path_profile_top_paths	branch_predicate_events	branch_predicate_unknown_events	branch_predicate_unknown_pct	branch_predicate_top_classes	branch_predicate_top_unknown_sites	branch_predicate_top_unknown_conditions	branch_gpr_predicate_events	branch_gpr_predicate_unknown_events	branch_gpr_predicate_unknown_pct	branch_gpr_predicate_top_classes	branch_gpr_predicate_top_unknown_sites	branch_gpr_predicate_top_unknown_conditions	long_branch_events	long_branch_variants	long_branch_operand_lens	long_branch_operand_shapes	long_branch_top_ir	sampled_operand_events	sampled_operand_variants	sampled_operand_lens	sampled_operand_shapes	sampled_operand_top_ir	target_reg	slot_kind	slot_reg_or_temp	byte_index_reg	static_load_site	static_index_add_site	tail_role_events	decode_signature	dispatch_skeleton	final_state_expr
0	0x78561	exact	89	+0x5	EECCE	0x78833	0x78843	352@0xc1ec4:41,144@0x95887:31,257@0xadbfd:10,108@0x8f24b:7	2	0	5	0x78614:u16_2,0x7862f:byte0,0x786f1:b4,0x78726:u16_2,0x787bc:u16_0	100.0	0	fit	robust	100.0	35	100.0	0	100.0	0	static_100	100.0	48	robust	100.0	22	48	100.0	100.0	1	1	48=(mask32((mask32(u16_0 + (mask32(state0 ^ 0x1966e0e7)))) - 0x251a0141)) & 0xffff	48=0x5	48	1	0x78634,0x7864f,0x78668,0x7867f,0x786fc	48:886532d40d9edf1c:0x78634:jne:1;0x7864f:jne:1;0x78668:jne:1;0x7867f:jne:0;0x786fc:je:0	240	0	0.0				240	0	0.0														rdx	consumed_slot	r14	r12	0x78818	0x78812	48	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx	state0 ^ 0x1966e0e7 - u16_0 + state0 ^ 0x1966e0e7 - 0x251a0141
1	0x78835	unobserved	0	-	-	0x78c74	0x78c84		8	6	2	0x78850:u16_6,0x78875:u16_4,0x788a2:u32_0,0x78900:u32_2,0x789bd:byte0,0x78b8c:u16_0																																																									IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12	state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 & u16_0 - state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 ^ 0x4bf26182
2	0x788e2	unobserved	0	-	-	0x78c74	0x78c84		8	6	2	0x78900:u32_2,0x789bd:byte0,0x78b8c:u16_0																																																									IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12	state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 & u16_0 - state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 - flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x46c00171 & 0xaee30e6 | flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d | 0x1da8e06 ^ 0x4bf26182
3	0x78c77	exact	3434	+0x5	VVCCC	0x792f5	0x79305	160@0x994cf:635,256@0xad849:510,257@0xadbfd:503,144@0x95887:485,352@0xc1ec4:418,173@0x9ba74:377	7	1	3	0x78c84:byte0,0x78d73:byte0,0x79156:b2,0x79182:u16_3,0x791dc:u16_0	100.0	0	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	static_100	100.0	999	robust	100.0	34	128	100.0	100.0	1	1	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - 0x1c03cc82)) - flags0)) | 0x38c49877)) - 0x742d9511)) + 0x4ddaed7b)))) + 0x4bc0d288)) & 0xffff	128=0x5	999	1	0x78c93,0x78cd4,0x79161	999:0f263ac4d353d4da:0x78c93:je:?;0x78cd4:je:?;0x79161:je:1	384	256	66.7	live_in_reg:256	0x78c93:je:live_in_reg:128,0x78cd4:je:live_in_reg:128	0x78c91:cmp:al, 0:low8(live_in(rax))(?livein_rax) ? 0x0(0x0):zf=None:constant,live_in_reg,unknown:128:128,0x78cd1:cmp:dl, 0:low8(live_in(rdx))(?livein_rdx) ? 0x0(0x0):zf=None:constant,live_in_reg,unknown:128:128	384	0	0.0														r15	live_slot	rcx	rdx			999	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:xor;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r15	state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b ^ u16_0 ^ state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b + 0x4bc0d288
4	0x792f8	unobserved	0	-	-	0x79672	0x79682		8	3	0	0x79364:byte0,0x793c6:byte0,0x793e8:byte0,0x7941d:byte0,0x794c2:u32_0,0x795e1:u16_4,0x79626:u16_4 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ 0x2a994b16																																																									IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r10	state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 | u16_4 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ 0x2a994b16
5	0x79675	target_only	0	-	-	0x799c4	0x799d4		1	0	1	0x79690:u16_6,0x796b5:u16_4,0x796e1:u32_0,0x7977d:u16_3,0x79782:u16_0,0x797ea:u16_5,0x79871:u16_3,0x7989f:u16_0,0x79935:u16_7																																																									IPADV+0x7;RIP+0x7/2:movzx;RF+0x170/4:xor;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x7;RIP+0x7/2:movzx;RF+0x10f/8:mov;RF+0x170/4:xor;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r14	state0 + u16_7 ^ state0 + 0x17cd41c1
6	0x7971e	unobserved	0	-	-	0x799c4	0x799d4		1	0	1	0x7977d:u16_3,0x79782:u16_0,0x797ea:u16_5,0x79871:u16_3,0x7989f:u16_0,0x79935:u16_7																																																									IPADV+0x7;RIP+0x7/2:movzx;RF+0x170/4:xor;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x7;RIP+0x7/2:movzx;RF+0x10f/8:mov;RF+0x170/4:xor;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r14	state0 + u16_7 ^ state0 + 0x17cd41c1
7	0x799c7	unobserved	0	-	-	0x79da1	0x79db1		1	0	5	0x799e2:u16_2,0x79a08:u16_0,0x79b22:u16_3,0x79b90:byte0,0x79ca9:b2,0x79ce5:u16_3,0x79d32:u16_0																																																									IPADV+0x0;RIP+0x0/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rax	state0 | flags0
8	0x79a3d	unobserved	0	-	-	0x79da1	0x79db1		1	0	5	0x79b22:u16_3,0x79b90:byte0,0x79ca9:b2,0x79ce5:u16_3,0x79d32:u16_0																																																									IPADV+0x0;RIP+0x0/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rax	state0 | flags0
9	0x79da3	exact	3	+0x5	CCCCC	0x7a04c	0x7a05c	256@0xad849:3	1	0	5	0x79e24:byte0,0x79f12:b0,0x79f64:u16_1,0x79fcf:u16_3																																																			no_static_load					0	IPADV+0x3;RIP+0x3/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:movzx;RF+0x10f/8:mov;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r8;RF+0x194/1:mov	state0 & u16_3 - state0 ^ 0x25d88329
