first_seen_rank	program	first_segment	first_seq	first_vm_ip	total_rows	segment_count	behavior_tags	confidence	string_refs	top_strings	outgoing_targets	external_or_exit_edges
0	033	0	1	0x26cd71	452	4	control_transfer_or_native_bridge_candidate	low	0		034:1	0
1	034	1	114	0x26db07	5745	4	control_transfer_or_native_bridge_candidate	low_to_medium	1	YYYYY	033:1	0
2	032	4	3100	0x249468	5416	3	control_transfer_or_native_bridge_candidate	low	0		032:14,033:1,external_or_exit:1	1
3	007	11	11614	0x11ac5e	1024	1	control_transfer_or_native_bridge_candidate	low	0		007:7,008:1	0
4	008	12	12638	0x11bc28	188	1	control_transfer_or_native_bridge_candidate	low	0		008:2,009:1	0
5	009	13	12826	0x11bf5d	194	1	control_transfer_or_native_bridge_candidate	low	0		009:2,010:1	0
6	010	14	13020	0x11c2aa	1823	5	control_transfer_or_native_bridge_candidate	low	0		010:12,055:1,056:1,011:1	0
7	025	15	14353	0x18b66f	929	3	control_transfer_or_native_bridge_candidate	low	0		025:6,external_or_exit:1	1
8	001	16	14830	0xd3fac	380	1	control_transfer_or_native_bridge_candidate	low	0		001:2,002:1	0
9	002	17	15210	0xd476e	1080	2	control_transfer_or_native_bridge_candidate	low	0		002:7,003:1	0
10	000	18	15287	0xd0ac0	1086	3	control_transfer_or_native_bridge_candidate	low	0		000:6,external_or_exit:1	1
11	029	19	16090	0x22fe2d	73109	1	control_transfer_or_native_bridge_candidate	low	0		029:5,external_or_exit:1	1
12	030	21	89366	0x230722	42753	1	vm_dispatch_math_only_so_far	none	0		030:4	0
13	003	24	133238	0xd5a12	313	1	control_transfer_or_native_bridge_candidate	low	0		003:2,external_or_exit:1	1
14	004	26	133742	0xd718e	489	1	control_transfer_or_native_bridge_candidate	low	0		004:3,005:1	0
15	005	27	134231	0xda38f	157	1	control_transfer_or_native_bridge_candidate	low	0		005:1,006:1	0
16	006	28	134388	0xdac57	194	1	control_transfer_or_native_bridge_candidate	low	0		006:1,external_or_exit:1	1
17	042	31	135007	0x31aa27	4724	1	cxx_runtime	medium	4	_ITM_registerTMCloneTable || __freelocale	042:27,043:1	0
18	043	32	139731	0x31df8f	554	5	control_transfer_or_native_bridge_candidate	low	0		043:7,048:1,052:1,044:1	0
19	048	33	139785	0x334a3d	3590	2	cxx_runtime	medium	3	_ITM_registerTMCloneTable || __freelocale || long double	048:12,049:1	0
20	053	34	143140	0x33db28	7767	12	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
21	054	35	143992	0x33e889	400	12	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
22	049	43	146098	0x336dc8	222	1	control_transfer_or_native_bridge_candidate	low	0		external_or_exit:1	1
23	046	45	146443	0x33170b	3663	2	cxx_runtime	medium	2	_ITM_registerTMCloneTable || __freelocale	046:17,047:1	0
24	047	55	152828	0x333882	220	1	control_transfer_or_native_bridge_candidate	low	0		047:1,external_or_exit:1	1
25	050	57	153171	0x337e84	3926	2	control_transfer_or_native_bridge_candidate	low	0		050:14,051:1	0
