program	first_seen_rank	first_vm_ip	timeline_segments	phase_hint	summary	behavior_tags	exact_side_effect_categories	top_strings	evidence_scope
000	10	0xd0ac0	3	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
001	8	0xd3fac	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
002	9	0xd476e	2	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
003	13	0xd5a12	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
004	14	0xd718e	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
005	15	0xda38f	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
006	16	0xdac57	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
007	3	0x11ac5e	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
008	4	0x11bc28	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
009	5	0x11bf5d	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
010	6	0x11c2aa	5	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
011	42	0x11de9f	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
012	43	0x11e574	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
013	44	0x11ef65	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
014	45	0x1209d2	2	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
015	49	0x1210d6	2	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
016	51	0x121b31	3	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
