segment	program	program_range	start_seq	end_seq	row_count	first_vm_ip	last_vm_ip	last_end_vm_ip	first_source_entry	last_source_entry	first_target_entry	last_target_entry	behavior_tags	confidence	string_refs	top_strings	outgoing_targets	external_or_exit_edges
0	033	0x26cd71..0x26cf3b	1	113	113	0x26cd71	0x26cf1b	0x26db07	86	145	310	165	control_transfer_or_native_bridge_candidate	low	0		034:1	0
1	034	0x26db07..0x26f097	114	1550	1437	0x26db07	0x26f077	0x26cd71	165	195	199	86	control_transfer_or_native_bridge_candidate	low_to_medium	1	YYYYY	033:1	0
2	033	0x26cd71..0x26cf3b	1551	1663	113	0x26cd71	0x26cf1b	0x26db07	86	145	310	165	control_transfer_or_native_bridge_candidate	low	0		034:1	0
3	034	0x26db07..0x26f097	1664	3099	1436	0x26db07	0x26f073	0x26f077	165	161	199	195	control_transfer_or_native_bridge_candidate	low_to_medium	1	YYYYY	033:1	0
4	032	0x249468..0x24bd2a	3100	3432	333	0x249468	0x249956	0x26cd71	169	95	354	86	control_transfer_or_native_bridge_candidate	low	0		032:14,033:1,external_or_exit:1	1
5	033	0x26cd71..0x26cf3b	3433	3545	113	0x26cd71	0x26cf1b	0x26db07	86	145	310	165	control_transfer_or_native_bridge_candidate	low	0		034:1	0
6	034	0x26db07..0x26f097	3546	4981	1436	0x26db07	0x26f073	0x26f077	165	161	199	195	control_transfer_or_native_bridge_candidate	low_to_medium	1	YYYYY	033:1	0
7	032	0x249468..0x24bd2a	4982	7689	2708	0x249964	0x249956	0x26cd71	354	95	114	86	control_transfer_or_native_bridge_candidate	low	0		032:14,033:1,external_or_exit:1	1
8	033	0x26cd71..0x26cf3b	7690	7802	113	0x26cd71	0x26cf1b	0x26db07	86	145	310	165	control_transfer_or_native_bridge_candidate	low	0		034:1	0
9	034	0x26db07..0x26f097	7803	9238	1436	0x26db07	0x26f073	0x26f077	165	161	199	195	control_transfer_or_native_bridge_candidate	low_to_medium	1	YYYYY	033:1	0
10	032	0x249468..0x24bd2a	9239	11613	2375	0x249964	0x24bd26	0x24bd2a	354	20	114	299	control_transfer_or_native_bridge_candidate	low	0		032:14,033:1,external_or_exit:1	1
11	007	0x11ac5e..0x11bbf4	11614	12637	1024	0x11ac5e	0x11bbd4	0x11bc28	169	308	171	171	control_transfer_or_native_bridge_candidate	low	0		007:7,008:1	0
12	008	0x11bc28..0x11bf29	12638	12825	188	0x11bc28	0x11bf09	0x11bf5d	171	266	64	354	control_transfer_or_native_bridge_candidate	low	0		008:2,009:1	0
13	009	0x11bf5d..0x11c276	12826	13019	194	0x11bf5d	0x11c256	0x11c2aa	354	117	185	165	control_transfer_or_native_bridge_candidate	low	0		009:2,010:1	0
14	010	0x11c2aa..0x11de59	13020	14352	1333	0x11c2aa	0x11d69e	0x11d6a2	165	176	28	95	control_transfer_or_native_bridge_candidate	low	0		010:12,055:1,056:1,011:1	0
15	025	0x18b66f..0x18c467	14353	14829	477	0x18b66f	0x18bd88	0x18bd8c	169	184	171	216	control_transfer_or_native_bridge_candidate	low	0		025:6,external_or_exit:1	1
16	001	0xd3fac..0xd4581	14830	15209	380	0xd3fac	0xd4561	0xd476e	169	334	354	354	control_transfer_or_native_bridge_candidate	low	0		001:2,002:1	0
17	002	0xd476e..0xd57f4	15210	15286	77	0xd476e	0xd4885	0xd4889	354	161	199	264	control_transfer_or_native_bridge_candidate	low	0		002:7,003:1	0
18	000	0xd0ac0..0xd1445	15287	16089	803	0xd0ac0	0xd0ffe	0xd1002	310	174	165	95	control_transfer_or_native_bridge_candidate	low	0		000:6,external_or_exit:1	1
19	029	0x22fe2d..0x2304b8	16090	89198	73109	0x22fe2d	0x2304b4	0x2304b8	169	184	354	195	control_transfer_or_native_bridge_candidate	low	0		029:5,external_or_exit:1	1
20	000	0xd0ac0..0xd1445	89199	89365	167	0xd1010	0xd1280	0xd1284	165	176	18	356	control_transfer_or_native_bridge_candidate	low	0		000:6,external_or_exit:1	1
21	030	0x230722..0x231237	89366	132118	42753	0x230722	0x230901	0x230905	310	184	354	102	vm_dispatch_math_only_so_far	none	0		030:4	0
22	000	0xd0ac0..0xd1445	132119	132234	116	0xd1292	0xd1441	0xd1445	165	158	28	175	control_transfer_or_native_bridge_candidate	low	0		000:6,external_or_exit:1	1
23	002	0xd476e..0xd57f4	132235	133237	1003	0xd4897	0xd57d4	0xd5a12	354	75	337	354	control_transfer_or_native_bridge_candidate	low	0		002:7,003:1	0
24	003	0xd5a12..0xd5ebc	133238	133550	313	0xd5a12	0xd5eb8	0xd5ebc	354	123	157	195	control_transfer_or_native_bridge_candidate	low	0		003:2,external_or_exit:1	1
25	025	0x18b66f..0x18c467	133551	133741	191	0x18bd9a	0x18c076	0x18c07a	171	20	28	311	control_transfer_or_native_bridge_candidate	low	0		025:6,external_or_exit:1	1
26	004	0xd718e..0xd790a	133742	134230	489	0xd718e	0xd78ea	0xda38f	310	75	165	171	control_transfer_or_native_bridge_candidate	low	0		004:3,005:1	0
27	005	0xda38f..0xda607	134231	134387	157	0xda38f	0xda5e7	0xdac57	171	210	114	165	control_transfer_or_native_bridge_candidate	low	0		005:1,006:1	0
28	006	0xdac57..0xdaf39	134388	134581	194	0xdac57	0xdaf35	0xdaf39	165	184	347	195	control_transfer_or_native_bridge_candidate	low	0		006:1,external_or_exit:1	1
29	025	0x18b66f..0x18c467	134582	134842	261	0x18c088	0x18c463	0x18c467	171	184	199	195	control_transfer_or_native_bridge_candidate	low	0		025:6,external_or_exit:1	1
30	010	0x11c2aa..0x11de59	134843	135006	164	0x11d6b0	0x11d917	0x11d91b	171	123	199	264	control_transfer_or_native_bridge_candidate	low	0		010:12,055:1,056:1,011:1	0
31	042	0x31aa27..0x31ddb5	135007	139730	4724	0x31aa27	0x31dd95	0x31df8f	310	334	354	171	cxx_runtime	medium	4	_ITM_registerTMCloneTable || __freelocale	042:27,043:1	0
32	043	0x31df8f..0x31e862	139731	139784	54	0x31df8f	0x31e052	0x334a3d	171	311	28	42	control_transfer_or_native_bridge_candidate	low	0		043:7,048:1,052:1,044:1	0
33	048	0x334a3d..0x336d93	139785	143139	3355	0x334a3d	0x3369ee	0x3369f2	42	20	169	95	cxx_runtime	medium	3	_ITM_registerTMCloneTable || __freelocale || long double	048:12,049:1	0
34	053	0x33db28..0x33e849	143140	143991	852	0x33db28	0x33e829	0x33e889	310	75	171	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
35	054	0x33e889..0x33ea02	143992	144012	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
36	053	0x33db28..0x33e849	144013	144741	729	0x33dd15	0x33e829	0x33e889	165	75	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
37	054	0x33e889..0x33ea02	144742	144762	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
38	053	0x33db28..0x33e849	144763	145491	729	0x33dd15	0x33e829	0x33e889	165	75	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
39	054	0x33e889..0x33ea02	145492	145512	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
40	053	0x33db28..0x33e849	145513	145791	279	0x33dd15	0x33e14c	0x33e8de	165	246	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
41	054	0x33e889..0x33ea02	145792	145862	71	0x33e8de	0x33e9e2	0x3369fc	165	299	199	169	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
42	048	0x334a3d..0x336d93	145863	146097	235	0x3369fc	0x336d73	0x336dc8	169	302	171	165	cxx_runtime	medium	3	_ITM_registerTMCloneTable || __freelocale || long double	048:12,049:1	0
43	049	0x336dc8..0x33710f	146098	146319	222	0x336dc8	0x33710b	0x33710f	165	176	64	299	control_transfer_or_native_bridge_candidate	low	0		external_or_exit:1	1
44	043	0x31df8f..0x31e862	146320	146442	123	0x31e060	0x31e23b	0x31e23f	165	123	196	216	control_transfer_or_native_bridge_candidate	low	0		043:7,048:1,052:1,044:1	0
45	046	0x33170b..0x33384d	146443	149873	3431	0x33170b	0x3334a8	0x3334ac	169	123	354	356	cxx_runtime	medium	2	_ITM_registerTMCloneTable || __freelocale	046:17,047:1	0
46	053	0x33db28..0x33e849	149874	150725	852	0x33db28	0x33e829	0x33e889	310	75	171	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
47	054	0x33e889..0x33ea02	150726	150746	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
48	053	0x33db28..0x33e849	150747	151475	729	0x33dd15	0x33e829	0x33e889	165	75	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
49	054	0x33e889..0x33ea02	151476	151496	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
50	053	0x33db28..0x33e849	151497	152225	729	0x33dd15	0x33e829	0x33e889	165	75	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
51	054	0x33e889..0x33ea02	152226	152246	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
52	053	0x33db28..0x33e849	152247	152525	279	0x33dd15	0x33e14c	0x33e8de	165	246	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
53	054	0x33e889..0x33ea02	152526	152595	70	0x33e8de	0x33e9de	0x33e9e2	165	20	199	299	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
54	046	0x33170b..0x33384d	152596	152827	232	0x3334ba	0x33382d	0x333882	165	302	64	171	cxx_runtime	medium	2	_ITM_registerTMCloneTable || __freelocale	046:17,047:1	0
55	047	0x333882..0x333bc9	152828	153047	220	0x333882	0x333bc5	0x333bc9	171	174	273	195	control_transfer_or_native_bridge_candidate	low	0		047:1,external_or_exit:1	1
56	043	0x31df8f..0x31e862	153048	153170	123	0x31e24d	0x31e428	0x31e42c	165	161	333	356	control_transfer_or_native_bridge_candidate	low	0		043:7,048:1,052:1,044:1	0
57	050	0x337e84..0x33a350	153171	156864	3694	0x337e84	0x339fab	0x339faf	169	20	354	216	control_transfer_or_native_bridge_candidate	low	0		050:14,051:1	0
58	053	0x33db28..0x33e849	156865	157716	852	0x33db28	0x33e829	0x33e889	310	75	171	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
59	054	0x33e889..0x33ea02	157717	157737	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
60	053	0x33db28..0x33e849	157738	158466	729	0x33dd15	0x33e829	0x33e889	165	75	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
61	054	0x33e889..0x33ea02	158467	158487	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
62	053	0x33db28..0x33e849	158488	159216	729	0x33dd15	0x33e829	0x33e889	165	75	124	165	control_transfer_or_native_bridge_candidate	low	0		053:7,054:2	0
63	054	0x33e889..0x33ea02	159217	159237	21	0x33e889	0x33e8d6	0x33dd15	165	117	189	165	control_transfer_or_native_bridge_candidate	low	0		053:1,048:1	0
