source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
169	0x230122-0x2303ae	169	0x230122-0x2303ae	intra_block	44288	173	196:1792,258:1792,189:1792,168:1536,347:1536,215:1536,114:1280,199:1280	196:1792,258:1792,189:1792,168:1536,347:1536,215:1536,114:1280,199:1280	+0x4:24576,+0x3:8960,+0x5:5632,+0x2:4608,+0x6:512	exact:44288
168	0x22ffc2-0x230111	168	0x22ffc2-0x230111	intra_block	20235	90	66:1280,114:1024,307:1024,347:1024,28:1024,258:1024,337:768,340:768	66:1280,114:1024,307:1024,347:1024,28:1024,258:1024,337:768,340:768	+0x4:11525,+0x3:5378,+0x5:1538,+0x2:1538,+0x6:256	exact:20235
174	0x230e18-0x231217	174	0x230e18-0x231217	intra_block	17536	274	157:768,43:640,258:640,66:576,347:512,18:512,172:512,337:448	157:768,43:640,258:640,66:576,347:512,18:512,172:512,337:448	+0x4:8960,+0x3:3520,+0x5:2688,+0x2:2176,+0x6:192	exact:17536
252	0x311f69-0x312230	252	0x311f69-0x312230	intra_block	17108	188	258:819,337:728,64:637,28:637,215:637,307:637,340:546,199:455	258:819,337:728,64:637,28:637,215:637,307:637,340:546,199:455	+0x4:10374,+0x3:4004,+0x5:1183,+0x2:1092,+0x6:455	exact:17108
251	0x311cad-0x311f5f	251	0x311cad-0x311f5f	intra_block	16562	182	66:1183,347:728,258:728,185:637,189:637,307:637,18:637,64:637	66:1183,347:728,258:728,185:637,189:637,307:637,18:637,64:637	+0x4:10101,+0x3:3913,+0x2:1001,+0x5:1001,+0x6:546	exact:16562
245	0x310ef0-0x311159	245	0x310ef0-0x311159	intra_block	14833	163	297:728,307:728,258:637,28:637,337:637,340:546,347:455,189:455	297:728,307:728,258:637,28:637,337:637,340:546,347:455,189:455	+0x4:9282,+0x3:3640,+0x5:819,+0x2:728,+0x6:364	exact:14833
262	0x31334b-0x3135af	262	0x31334b-0x3135af	intra_block	14742	162	64:1001,258:910,307:819,161:728,196:637,297:637,185:546,340:546	64:1001,258:910,307:819,161:728,196:637,297:637,185:546,340:546	+0x4:9282,+0x3:3640,+0x2:728,+0x5:728,+0x6:364	exact:14742
265	0x3139de-0x313c42	265	0x3139de-0x313c42	intra_block	14742	162	337:910,18:910,258:728,28:637,174:637,189:546,203:546,340:455	337:910,18:910,258:728,174:728,28:637,189:546,203:546,340:455	+0x4:9282,+0x3:3640,+0x2:728,+0x5:728,+0x6:364	exact:14742
268	0x314071-0x3142d5	268	0x314071-0x3142d5	intra_block	14742	162	347:819,258:819,307:637,346:637,18:637,28:637,199:546,340:546	347:819,258:819,307:637,346:637,18:637,28:637,199:546,340:546	+0x4:9282,+0x3:3640,+0x2:728,+0x5:728,+0x6:364	exact:14742
271	0x314704-0x314968	271	0x314704-0x314968	intra_block	14742	162	337:819,307:728,189:728,347:637,66:546,64:546,215:546,340:455	337:819,307:728,189:728,347:637,66:546,64:546,215:546,340:455	+0x4:9282,+0x3:3640,+0x2:728,+0x5:728,+0x6:364	exact:14742
274	0x314d97-0x314ffb	274	0x314d97-0x314ffb	intra_block	14742	162	114:728,199:637,28:637,196:637,174:637,340:546,337:546,258:546	114:728,199:637,28:637,196:637,174:637,340:546,337:546,258:546	+0x4:9282,+0x3:3640,+0x2:728,+0x5:728,+0x6:364	exact:14742
259	0x312cd0-0x312f1c	259	0x312cd0-0x312f1c	intra_block	14196	156	114:819,28:728,258:728,185:637,199:546,337:546,297:546,189:455	114:819,28:728,258:728,185:637,199:546,337:546,297:546,189:455	+0x4:9100,+0x3:3549,+0x2:637,+0x5:637,+0x6:273	exact:14196
276	0x31522f-0x31547c	276	0x31522f-0x31547c	intra_block	14196	156	18:910,347:728,307:637,114:546,168:546,28:546,189:455,64:455	18:910,347:728,307:637,114:546,168:546,28:546,189:455,64:455	+0x4:9009,+0x3:3549,+0x5:728,+0x2:637,+0x6:273	exact:14196
280	0x315969-0x315bb5	280	0x315969-0x315bb5	intra_block	14105	155	297:1001,258:819,189:819,340:637,185:637,64:546,18:546,307:455	297:1001,258:819,189:819,340:637,185:637,64:546,18:546,307:455	+0x4:9009,+0x3:3549,+0x5:637,+0x2:546,+0x6:364	exact:14105
277	0x315486-0x3156c0	277	0x315486-0x3156c0	intra_block	13741	151	258:819,66:728,337:637,185:637,340:637,18:546,243:455,168:455	258:819,66:728,337:637,185:637,340:637,18:546,243:455,168:455	+0x4:8736,+0x3:3458,+0x2:637,+0x5:546,+0x6:364	exact:13741
246	0x311163-0x31139b	246	0x311163-0x31139b	intra_block	13650	150	337:728,185:637,18:637,340:637,215:546,258:546,43:455,114:455	337:728,185:637,18:637,340:637,215:546,258:546,43:455,114:455	+0x4:8736,+0x3:3458,+0x2:546,+0x5:546,+0x6:364	exact:13650
247	0x3113a5-0x3115dd	247	0x3113a5-0x3115dd	intra_block	13650	150	189:910,28:819,340:728,307:637,337:637,215:637,333:455,258:455	189:910,28:819,340:728,307:637,337:637,215:637,333:455,258:455	+0x4:8736,+0x3:3458,+0x2:546,+0x5:546,+0x6:364	exact:13650
248	0x3115e7-0x31181f	248	0x3115e7-0x31181f	intra_block	13650	150	347:1001,185:546,297:546,340:546,43:546,114:546,307:546,258:455	347:1001,185:546,297:546,340:546,43:546,114:546,307:546,258:455	+0x4:8736,+0x3:3458,+0x2:546,+0x5:546,+0x6:364	exact:13650
249	0x311829-0x311a61	249	0x311829-0x311a61	intra_block	13650	150	258:728,18:728,189:637,64:637,114:546,185:546,199:546,337:455	258:728,18:728,189:637,64:637,114:546,185:546,199:546,337:455	+0x4:8736,+0x3:3458,+0x2:546,+0x5:546,+0x6:364	exact:13650
