observation	delta	shape	constant_bytes	skeleton_hash	events	entries	top_entries	top_targets	top_ops	skeleton
exact	+0x4	VVVV	-	d2ffd3225c84d40c	43042	4	347@0xc088d:24294,43@0x8173d:16135,30@0x7e849:2590,65@0x85371:23	297@0xb64d7:2219,18@0x7be9b:1932,307@0xb8064:1577,28@0x7e390:1301,168@0x9aa83:1257,184@0x9d694:1070	RF+0x23/4:17,RF+0x81/8:15,WF+0x23/4:14,RF+0x170/4:13,WF+0x170/4:10,RF+0xa/8:8	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	f76b97432a76e62a	28646	2	337@0xbec0e:26531,273@0xb11ca:2115	297@0xb64d7:1787,66@0x855ff:1591,307@0xb8064:1381,28@0x7e390:1313,18@0x7be9b:1254,215@0xa4609:1178	WF+0x170/4:13,RF+0x23/4:9,RF+0x81/8:8,RF+0x170/4:6,RF+0xa/8:4,WF+0x23/4:4	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	f3096d76c6106160	28055	1	258@0xadf2c:28055	307@0xb8064:1689,199@0xa0631:1547,297@0xb64d7:1508,215@0xa4609:1365,18@0x7be9b:1334,43@0x8173d:1325	RF+0x23/4:4,WF+0x23/4:4,WF+0x170/4:4,RF+0x194/1:3,RF+0xa/8:2,RF+0x71/8:1	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x3	VVV	-	32034609986144a5	26605	1	28@0x7e390:26605	347@0xc088d:2146,258@0xadf2c:1654,340@0xbf435:1637,337@0xbec0e:1601,114@0x90319:1452,189@0x9e7af:1398	WF+0x23/4:7,RF+0x23/4:7,RF+0x170/4:5,WF+0x170/4:4,RF+0x81/8:3,RF+0xa/8:2	IPADV+0x0;RIP+0x0/2:movzx;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVE	-	f8cee7f7773eb2b2	26110	1	340@0xbf435:26110	307@0xb8064:1747,28@0x7e390:1702,66@0x855ff:1362,185@0x9d964:1352,215@0xa4609:1274,18@0x7be9b:1062	WF+0x170/4:4,RF+0x71/8:3,WF+0x23/4:3,RF+0x81/8:2,RF+0xa/8:2,RF+0x23/4:1	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x3	VVV	-	4b867e8bf93e37d5	25445	1	18@0x7be9b:25445	114@0x90319:1729,189@0x9e7af:1579,347@0xc088d:1461,258@0xadf2c:1384,337@0xbec0e:1249,174@0x9bd8f:1212	RF+0x23/4:7,WF+0x23/4:6,RF+0x194/1:5,WF+0x170/4:4,RF+0x170/4:3,RF+0x0/8:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	f8cee7f7773eb2b2	25296	1	114@0x90319:25296	66@0x855ff:2041,185@0x9d964:1516,215@0xa4609:1499,18@0x7be9b:1307,20@0x7c62b:1184,158@0x99029:1132	WF+0x23/4:11,RF+0x23/4:8,RF+0x170/4:7,WF+0x170/4:7,RF+0x81/8:3,RF+0x0/8:3	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	ef590697b9125e58	25104	1	189@0x9e7af:25104	18@0x7be9b:1894,297@0xb64d7:1503,215@0xa4609:1354,174@0x9bd8f:1273,307@0xb8064:1197,43@0x8173d:1121	RF+0x170/4:6,WF+0x23/4:4,RF+0x81/8:3,RF+0x0/8:3,RF+0xa/8:2,RF+0x23/4:2	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:add;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x3	VVV	-	1d83ccfc185de880	24092	1	307@0xb8064:24092	114@0x90319:1754,176@0x9c10b:1332,189@0x9e7af:1165,337@0xbec0e:1159,258@0xadf2c:1055,340@0xbf435:1046	RF+0x0/8:4,RF+0x23/4:4,RF+0x170/4:3,WF+0x170/4:3,RF+0x194/1:2,RF+0xa/8:2	IPADV+0x1;RIP+0x1/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	21bc6378a68e6b3f	23676	1	64@0x85059:23676	18@0x7be9b:2091,28@0x7e390:1633,199@0xa0631:1345,184@0x9d694:1255,215@0xa4609:1065,66@0x855ff:1024	RF+0x23/4:4,WF+0x23/4:4,WF+0x170/4:3,RF+0x170/4:3,RF+0x0/8:3,RF+0x194/1:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x3	VVV	-	4d56c48c590080c0	22733	1	66@0x855ff:22733	337@0xbec0e:1650,64@0x85059:1561,340@0xbf435:1335,184@0x9d694:1324,189@0x9e7af:1320,258@0xadf2c:1074	RF+0x81/8:7,WF+0x170/4:6,RF+0x170/4:5,RF+0x0/8:3,WF+0x23/4:3,RF+0x23/4:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x3	VVE	-	78d825f46447db25	21616	1	185@0x9d964:21616	337@0xbec0e:1335,64@0x85059:1324,347@0xc088d:1270,174@0x9bd8f:1182,258@0xadf2c:1099,168@0x9aa83:964	WF+0x23/4:5,WF+0x170/4:5,RF+0x23/4:4,RF+0x170/4:3,RF+0xa/8:2,RF+0x81/8:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVCC	b2=0xe8,b3=0x01	1a7fdca146ae9756	21554	2	184@0x9d694:12091,243@0xaab6a:9463	28@0x7e390:1725,18@0x7be9b:1527,337@0xbec0e:1503,340@0xbf435:1207,66@0x855ff:929,114@0x90319:813	WF+0x170/4:12,RF+0x170/4:11,RF+0x23/4:9,WF+0x23/4:7,RF+0x81/8:6,RF+0x194/1:5	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x3	VVV	-	0ab61c8a9eb5911a	21173	1	215@0xa4609:21173	114@0x90319:1359,337@0xbec0e:1186,347@0xc088d:1123,189@0x9e7af:1119,258@0xadf2c:1070,340@0xbf435:1042	RF+0x23/4:7,WF+0x170/4:7,WF+0x23/4:6,RF+0x170/4:3,RF+0x81/8:3,RF+0x0/8:2	IPADV+0x0;RIP+0x0/2:movzx;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x3	VVV	-	81bc529df24b91da	20637	1	297@0xb64d7:20637	347@0xc088d:1305,258@0xadf2c:1284,340@0xbf435:1194,114@0x90319:908,123@0x91a59:902,43@0x8173d:896	WF+0x170/4:5,RF+0x23/4:4,WF+0x23/4:4,RF+0x81/8:3,RF+0x170/4:3,RF+0x71/8:2	IPADV+0x1;RIP+0x1/2:movzx;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
