entry	target	observation	events	unique_vm_ips	delta	shape	constant_bytes	frame_reads	frame_writes	ip_reads	table_reads	calls	rets	target_entropy	top_targets	top_sites	top_deltas
0	0x78561	exact	89	5	+0x5	EECCE	b2=0x3d,b3=0x01	0xa,0x0,0x71,0x194,0x10f,0x170	0x170,0x71,0x0,0xa	+0x2/2,+0x4/1,+0x0/2	dyn/8	0	0	1.688	352@0xc1ec4:41,144@0x95887:31,257@0xadbfd:10,108@0x8f24b:7	tail@0x78833:89	+0x5:89
1	0x78835	unobserved	0	0	-	-	-	0xa,0x23,0x170,0x71,0xbb,0x81,0x194,0x10f	0x170,0x23,0x1dc,0x60,0xa	+0x6/2,+0x4/2,+0x0/4,+0x2/4,+0x2/8,+0x0/2	dyn/8	0	1	0.000			
2	0x788e2	unobserved	0	0	-	-	-	0x23,0xa,0x170,0x71,0x81,0x194,0x10f	0x170,0x23,0x60,0xa	+0x2/4,+0x2/8,+0x0/2	dyn/8	0	0	0.000			
3	0x78c77	exact	3433	401	+0x5	VVCCC	b2=0x00,b3=0x3d,b4=0x01	0x71,0x81,0xa,0x194,0x23,0x170,0x0,0x60,0x10f	0x170,0x71,0x0,0x60,0x23,0xa	+0x2/1,+0x3/2,+0x0/2	dyn/8	0	0	2.565	160@0x994cf:635,256@0xad849:510,257@0xadbfd:503,144@0x95887:485,352@0xc1ec4:418,173@0x9ba74:377	tail@0x792f5:3433	+0x5:3433
4	0x792f8	unobserved	0	0	-	-	-	0x170,0x194,0x23,0x0,0x81,0xa,0x10f	0x170,0x23,0x16f,0x0,0xa	+0x0/4,+0x4/2	dyn/8	0	0	0.000			
5	0x79675	target_only	0	0	-	-	-	0xa,0xbb,0x81,0x199,0x10f,0x170	0x1dc,0x170,0xa	+0x3/2,+0x0/2,+0x6/2,+0x4/2,+0x0/4,+0x5/2,+0x7/2	dyn/8	0	1	0.000			
6	0x7971e	unobserved	0	0	-	-	-	0xa,0x81,0x199,0x10f,0x170	0x170,0xa	+0x3/2,+0x0/2,+0x5/2,+0x7/2	dyn/8	0	0	0.000			
7	0x799c7	unobserved	0	0	-	-	-	0xa,0x60,0x0,0x23,0x194,0x71,0x10f	0x71,0x1dc,0x60,0x0,0x170,0xa	+0x0/2,+0x3/2,+0x2/2,+0x2/1	dyn/8	0	1	0.000			
8	0x79a3d	unobserved	0	0	-	-	-	0xa,0x60,0x0,0x23,0x194,0x71,0x10f	0x71,0x60,0x0,0x170,0xa	+0x3/2,+0x2/1,+0x0/2	dyn/8	0	0	0.000			
9	0x79da3	exact	3	1	+0x5	CCCCC	b0=0x69,b1=0x3d,b2=0x01,b3=0xb4,b4=0x4a	0xa,0x0,0x194,0x71,0x81,0x10f,0x170	0x71,0x0,0x170,0xa	+0x0/1,+0x1/2,+0x3/2	dyn/8	0	0	0.000	256@0xad849:3	tail@0x7a04c:3	+0x5:3
10	0x7a04f	unobserved	0	0	-	-	-	0x0,0x170,0x81,0x194,0xa,0x23,0x60,0x71,0x10f	0x170,0x23,0x71,0x0,0x60,0xa	+0x4/1,+0x2/2,+0x0/2	dyn/8	0	0	0.000			
11	0x7a4d8	unobserved	0	0	-	-	-	0xa,0x12,0xbb,0x10f,0x170	0x12,0x1dc,0x170,0xa	+0x6/2,+0x8/1,+0x0/4,+0x4/2,+0x9/2,+0xb/2	dyn/8	0	1	0.000			
12	0x7acd8	unobserved	0	0	-	-	-	0xa,0x23,0x10f,0x170	0x170,0xa	+0x4/2,+0x6/2,+0x2/2,+0x0/2	dyn/8	0	0	0.000			
