entry	target	observation	events	delta	shape	constant_bytes	tail_site	static_stop	insns	relevant_ops	skeleton_hash	top_ops	dispatch_ops	dispatch_hash	decode_ops	decode_hash	top_targets	decode_signature	dispatch_skeleton	skeleton
0	0x78561	exact	89	+0x5	EECCE	b2=0x3d,b3=0x01	0x78833	0x78843	173	28	0963005da46c523f	RF+0xa/8:4,RF+0x0/8:2,WF+0x170/4:2,IPADV+0x2:2,RIP+0x2/2:2,WF+0x71/8:2,RF+0x71/8:2,WF+0x0/8:1,RF+0x194/1:1,IPADV+0x4:1,RIP+0x4/1:1,RF+0x10f/8:1	10	c899ea9e0e7050dc	7	f8cee7f7773eb2b2	352@0xc1ec4:41,144@0x95887:31,257@0xadbfd:10,108@0x8f24b:7	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx	RF+0x0/8:mov;WF+0x0/8:mov;WF+0x170/4:xor;RF+0x0/8:mov;RF+0xa/8:mov;IPADV+0x2;RIP+0x2/2:mov;RF+0x194/1:mov;WF+0x71/8:mov;RF+0xa/8:mov;RF+0x71/8:mov;IPADV+0x4;RIP+0x4/1:movzx;RF+0xa/8:mov;IPADV+0x2;RIP+0x2/2:mov;WF+0x71/8:mov;RF+0x71/8:sub;RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx
1	0x78835	unobserved	0	-	-	-	0x78c74	0x78c84	244	52	68d305816f7e45bc	WF+0x170/4:8,RF+0xa/8:6,WF+0x23/4:6,RF+0x23/4:6,RF+0x170/4:3,IPADV+0x0:2,IPADV+0x2:2,RF+0x71/8:2,IPADV+0x6:1,RIP+0x6/2:1,IPADV+0x4:1,RIP+0x4/2:1	10	7138782ed0c2da29	7	f3096d76c6106160		IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12	RF+0xa/8:mov;IPADV+0x6;RIP+0x6/2:mov;RF+0xa/8:mov;IPADV+0x4;RIP+0x4/2:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/4:mov;WF+0x1dc/4:mov;RF+0xa/8:mov;IPADV+0x2;RIP+0x2/4:mov;RF+0x81/8:mov;WF+0x170/4:and;WF+0x23/4:sub;RF+0xa/8:mov;IPADV+0x2;RIP+0x2/8:mov;WF+0x60/8:mov;RF+0x23/4:mov;WF+0x23/4:add;WF+0x23/4:or;RF+0x194/1:mov;RF+0x23/4:mov;WF+0x170/4:add;RF+0x170/4:mov;WF+0x23/4:and;RF+0x170/4:mov;WF+0x23/4:add;RF+0x23/4:mov;WF+0x170/4:xor;RF+0x23/4:mov;WF+0x23/4:or;RF+0x23/4:mov;WF+0x170/4:sub;RF+0x71/8:sub;WF+0x170/4:and;RF+0x23/4:mov;WF+0x170/4:or;WF+0x170/4:or;RF+0x71/8:sub;RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12
2	0x788e2	unobserved	0	-	-	-	0x78c74	0x78c84	197	42	70527f0fd5bc8aff	WF+0x170/4:8,WF+0x23/4:6,RF+0x23/4:6,RF+0xa/8:3,RF+0x170/4:3,IPADV+0x2:2,RF+0x71/8:2,RIP+0x2/4:1,RF+0x81/8:1,RIP+0x2/8:1,WF+0x60/8:1,RF+0x194/1:1	10	7138782ed0c2da29	7	f3096d76c6106160		IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12	RF+0xa/8:mov;IPADV+0x2;RIP+0x2/4:mov;RF+0x81/8:mov;WF+0x170/4:and;WF+0x23/4:sub;RF+0xa/8:mov;IPADV+0x2;RIP+0x2/8:mov;WF+0x60/8:mov;RF+0x23/4:mov;WF+0x23/4:add;WF+0x23/4:or;RF+0x194/1:mov;RF+0x23/4:mov;WF+0x170/4:add;RF+0x170/4:mov;WF+0x23/4:and;RF+0x170/4:mov;WF+0x23/4:add;RF+0x23/4:mov;WF+0x170/4:xor;RF+0x23/4:mov;WF+0x23/4:or;RF+0x23/4:mov;WF+0x170/4:sub;RF+0x71/8:sub;WF+0x170/4:and;RF+0x23/4:mov;WF+0x170/4:or;WF+0x170/4:or;RF+0x71/8:sub;RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12
3	0x78c77	exact	3433	+0x5	VVCCC	b2=0x00,b3=0x3d,b4=0x01	0x792f5	0x79305	363	43	2937a8c1addefb2b	WF+0x170/4:7,RF+0x71/8:4,RF+0x81/8:3,RF+0xa/8:3,RF+0x194/1:2,RF+0x23/4:2,RF+0x170/4:2,RF+0x0/8:2,RF+0x60/8:2,WF+0x71/8:2,WF+0x0/8:1,WF+0x60/8:1	10	c5c28a74c5e993fd	7	19a61ea4ad71aa26	160@0x994cf:635,256@0xad849:510,257@0xadbfd:503,144@0x95887:485,352@0xc1ec4:418,173@0x9ba74:377	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:xor;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r15	RF+0x194/1:mov;RF+0x81/8:mov;RF+0x23/4:mov;WF+0x170/4:sub;RF+0x81/8:mov;RF+0x170/4:sub;RF+0x0/8:cmp;WF+0x170/4:sub;RF+0x71/8:sub;RF+0x23/4:mov;WF+0x170/4:sub;RF+0x71/8:sub;WF+0x170/4:or;RF+0x194/1:mov;WF+0x170/4:sub;RF+0x0/8:mov;WF+0x0/8:mov;RF+0x71/8:sub;RF+0x60/8:mov;RF+0x81/8:mov;WF+0x60/8:mov;RF+0x60/8:mov;WF+0x71/8:mov;RF+0x71/8:mov;WF+0x71/8:mov;WF+0x23/4:xor;RF+0xa/8:mov;IPADV+0x2;RIP+0x2/1:movzx;RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:mov;WF+0x170/4:add;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:xor;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r15
4	0x792f8	unobserved	0	-	-	-	0x79672	0x79682	197	40	2ff33229639e0348	WF+0x170/4:8,RF+0x170/4:5,RF+0x194/1:4,WF+0x23/4:3,RF+0x23/4:3,RF+0x0/8:2,RF+0x81/8:2,RF+0xa/8:2,WF+0x16f/1:1,IPADV+0x0:1,RIP+0x0/4:1,WF+0x0/8:1	10	b371352c4de52840	7	43113ac3ca393a7e		IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r10	RF+0x170/4:or;RF+0x0/8:cmp;RF+0x170/4:or;RF+0x0/8:cmp;RF+0x81/8:mov;WF+0x170/4:add;RF+0x194/1:mov;WF+0x170/4:sub;RF+0x170/4:mov;WF+0x23/4:sub;WF+0x23/4:sub;WF+0x170/4:add;RF+0x194/1:mov;RF+0x23/4:mov;RF+0x194/1:mov;WF+0x170/4:and;RF+0x81/8:mov;RF+0x194/1:mov;WF+0x170/4:xor;RF+0x23/4:mov;WF+0x170/4:add;WF+0x16f/1:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/4:mov;RF+0x170/4:add;RF+0x23/4:xor;WF+0x170/4:xor;WF+0x23/4:and;WF+0x0/8:mov;RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r10
5	0x79675	target_only	0	-	-	-	0x799c4	0x799d4	185	37	be2b58999a71cc5f	RF+0xa/8:9,IPADV+0x0:3,IPADV+0x3:2,RIP+0x3/2:2,RIP+0x0/2:2,IPADV+0x6:1,RIP+0x6/2:1,IPADV+0x4:1,RIP+0x4/2:1,RIP+0x0/4:1,WF+0x1dc/4:1,RF+0x81/8:1	10	f9f6cafb5704ed30	7	85f388d790937802		IPADV+0x7;RIP+0x7/2:movzx;RF+0x170/4:xor;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x7;RIP+0x7/2:movzx;RF+0x10f/8:mov;RF+0x170/4:xor;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r14	RF+0xa/8:mov;IPADV+0x6;RIP+0x6/2:mov;RF+0xa/8:mov;IPADV+0x4;RIP+0x4/2:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/4:mov;WF+0x1dc/4:mov;RF+0x81/8:mov;RF+0xa/8:mov;RF+0xa/8:mov;IPADV+0x0;IPADV+0x3;RIP+0x3/2:movzx;RIP+0x0/2:movzx;RF+0xa/8:mov;IPADV+0x5;RIP+0x5/2:mov;RF+0x199/8:mov;RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:movzx;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0xa/8:mov;IPADV+0x7;RIP+0x7/2:movzx;RF+0x10f/8:mov;RF+0x170/4:xor;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r14
6	0x7971e	unobserved	0	-	-	-	0x799c4	0x799d4	138	27	d3ee7e9fa9f32c99	RF+0xa/8:6,IPADV+0x0:2,IPADV+0x3:2,RIP+0x3/2:2,RIP+0x0/2:2,RF+0x81/8:1,IPADV+0x5:1,RIP+0x5/2:1,RF+0x199/8:1,IPADV+0x7:1,RIP+0x7/2:1,RF+0x10f/8:1	10	f9f6cafb5704ed30	7	85f388d790937802		IPADV+0x7;RIP+0x7/2:movzx;RF+0x170/4:xor;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x7;RIP+0x7/2:movzx;RF+0x10f/8:mov;RF+0x170/4:xor;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r14	RF+0x81/8:mov;RF+0xa/8:mov;RF+0xa/8:mov;IPADV+0x0;IPADV+0x3;RIP+0x3/2:movzx;RIP+0x0/2:movzx;RF+0xa/8:mov;IPADV+0x5;RIP+0x5/2:mov;RF+0x199/8:mov;RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:movzx;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0xa/8:mov;IPADV+0x7;RIP+0x7/2:movzx;RF+0x10f/8:mov;RF+0x170/4:xor;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r14
7	0x799c7	unobserved	0	-	-	-	0x79da1	0x79db1	228	36	5547790f99ac3496	RF+0xa/8:6,IPADV+0x2:2,IPADV+0x0:2,RIP+0x0/2:2,RF+0x60/8:2,RF+0x0/8:2,IPADV+0x3:2,RIP+0x3/2:2,WF+0x71/8:2,RIP+0x2/2:1,WF+0x1dc/4:1,WF+0x60/8:1	8	95b33f1d133ce433	5	812c38cb96f9e6d5		IPADV+0x0;RIP+0x0/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rax	RF+0xa/8:mov;IPADV+0x2;RIP+0x2/2:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:mov;WF+0x1dc/4:mov;RF+0x60/8:mov;RF+0x0/8:mov;WF+0x60/8:mov;WF+0x0/8:mov;RF+0x23/4:mov;WF+0x170/4:or;RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:movzx;RF+0x0/8:mov;RF+0x60/8:mov;RF+0x194/1:mov;WF+0x71/8:mov;RF+0x71/8:mov;WF+0x71/8:mov;RF+0xa/8:mov;IPADV+0x2;RIP+0x2/1:movzx;RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:mov;RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rax
8	0x79a3d	unobserved	0	-	-	-	0x79da1	0x79db1	192	29	b683abbc49aa2b36	RF+0xa/8:4,RF+0x60/8:2,RF+0x0/8:2,IPADV+0x3:2,RIP+0x3/2:2,WF+0x71/8:2,WF+0x60/8:1,WF+0x0/8:1,RF+0x23/4:1,WF+0x170/4:1,RF+0x194/1:1,RF+0x71/8:1	8	95b33f1d133ce433	5	812c38cb96f9e6d5		IPADV+0x0;RIP+0x0/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rax	RF+0x60/8:mov;RF+0x0/8:mov;WF+0x60/8:mov;WF+0x0/8:mov;RF+0x23/4:mov;WF+0x170/4:or;RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:movzx;RF+0x0/8:mov;RF+0x60/8:mov;RF+0x194/1:mov;WF+0x71/8:mov;RF+0x71/8:mov;WF+0x71/8:mov;RF+0xa/8:mov;IPADV+0x2;RIP+0x2/1:movzx;RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:mov;RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rax
9	0x79da3	exact	3	+0x5	CCCCC	b0=0x69,b1=0x3d,b2=0x01,b3=0xb4,b4=0x4a	0x7a04c	0x7a05c	152	25	e73342a8f865c87f	RF+0xa/8:3,RF+0x0/8:2,RF+0x194/1:2,WF+0x71/8:2,WF+0x0/8:1,RF+0x71/8:1,RF+0x81/8:1,IPADV+0x0:1,RIP+0x0/1:1,IPADV+0x1:1,RIP+0x1/2:1,IPADV+0x3:1	11	480aa429577861a1	7	e7b2851cd9903cd7	256@0xad849:3	IPADV+0x3;RIP+0x3/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:movzx;RF+0x10f/8:mov;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r8;RF+0x194/1:mov	RF+0x0/8:mov;WF+0x0/8:mov;RF+0x0/8:mov;RF+0x194/1:mov;WF+0x71/8:mov;RF+0x71/8:mov;RF+0x81/8:mov;WF+0x71/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/1:movzx;RF+0xa/8:mov;IPADV+0x1;RIP+0x1/2:mov;RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:movzx;RF+0x10f/8:mov;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r8;RF+0x194/1:mov
