source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
62	0x230122-0x2303ae	62	0x230122-0x2303ae	intra_block	44288	173	196:1792,258:1792,189:1792,168:1536,347:1536,215:1536,114:1280,199:1280	196:1792,258:1792,189:1792,168:1536,347:1536,215:1536,114:1280,199:1280	+0x4:24576,+0x3:8960,+0x5:5632,+0x2:4608,+0x6:512	exact:44288
92	0x3129aa-0x3157e1	92	0x3129aa-0x3157e1	intra_block	40482	3114	258:1625,337:1586,28:1560,114:1469,18:1469,189:1443,64:1417,340:1378	258:1625,337:1586,28:1560,114:1469,18:1469,189:1443,64:1417,340:1378	+0x4:26026,+0x3:10218,+0x5:1560,+0x2:1495,+0x6:910,+0xa:273	exact:40482
91	0x310dca-0x31297d	91	0x310dca-0x31297d	intra_block	25446	1863	337:1025,340:957,185:903,307:903,114:887,28:886,258:875,64:867	337:1025,340:957,185:903,307:903,114:887,28:886,258:875,64:867	+0x4:16194,+0x3:6296,+0x5:1094,+0x2:1055,+0x6:643,+0xa:151,+0xd:13	exact:25446
61	0x22ffc2-0x230111	61	0x22ffc2-0x230111	intra_block	20235	90	66:1280,114:1024,307:1024,347:1024,28:1024,258:1024,337:768,340:768	66:1280,114:1024,307:1024,347:1024,28:1024,258:1024,337:768,340:768	+0x4:11525,+0x3:5378,+0x5:1538,+0x2:1538,+0x6:256	exact:20235
66	0x230e18-0x231217	66	0x230e18-0x231217	intra_block	17536	274	157:768,43:640,258:640,66:576,347:512,18:512,172:512,337:448	157:768,43:640,258:640,66:576,347:512,18:512,172:512,337:448	+0x4:8960,+0x3:3520,+0x5:2688,+0x2:2176,+0x6:192	exact:17536
64	0x230722-0x230b1b	64	0x230722-0x230b1b	intra_block	12545	268	347:646,337:644,297:516,185:516,64:454,215:453,28:453,161:453	347:646,337:644,297:516,185:516,64:454,215:453,28:453,161:453	+0x4:6679,+0x3:3170,+0x5:1283,+0x2:1027,+0x6:322,+0xd:64	exact:12545
65	0x230b2c-0x230e07	65	0x230b2c-0x230e07	intra_block	12416	194	307:576,114:576,258:512,28:448,66:448,347:448,189:384,18:384	307:576,114:576,258:512,28:448,66:448,347:448,189:384,18:384	+0x4:7232,+0x3:2944,+0x5:1088,+0x2:896,+0x6:256	exact:12416
60	0x22fe2d-0x22ffb1	60	0x22fe2d-0x22ffb1	intra_block	7242	102	258:771,172:260,199:260,43:259,337:259,185:258,297:258,203:257	258:771,172:260,199:260,43:259,337:259,185:258,297:258,203:257	+0x4:3124,+0x3:1297,+0x2:1282,+0x5:1282,+0x6:257	exact:7242
84	0x26db07-0x26f077	84	0x26db07-0x26f077	intra_block	5740	1435	340:232,258:224,18:220,28:220,66:208,337:196,114:188,64:184	340:232,258:224,18:220,28:220,66:208,337:196,114:188,64:184	+0x4:3436,+0x3:1392,+0x5:352,+0x2:308,+0x6:220,+0xa:32	exact:5740
93	0x31580e-0x315cc0	93	0x31580e-0x315cc0	intra_block	4108	316	340:234,297:195,258:182,189:169,18:169,64:156,157:143,185:143	340:234,297:195,258:182,189:169,18:169,64:156,157:143,185:143	+0x4:2600,+0x3:1014,+0x2:195,+0x5:169,+0x6:104,+0xa:26	exact:4108
90	0x30fd95-0x310dba	90	0x30fd95-0x310dba	intra_block	3375	1087	307:158,114:150,340:141,189:133,337:133,66:123,215:118,168:111	307:158,114:150,340:141,189:133,337:133,66:123,215:118,168:111	+0x4:2092,+0x3:802,+0x2:194,+0x5:187,+0x6:81,+0xa:19	exact:3375
177	0x33bea5-0x33c5b0	177	0x33bea5-0x33c5b0	intra_block	1868	467	28:60,18:56,340:56,168:56,258:48,198:48,43:48,257:48	28:60,18:56,340:56,168:56,258:48,198:48,43:48,257:48	+0x4:768,+0x5:384,+0x3:300,+0x2:296,+0x6:120	exact:1868
162	0x3387ea-0x338e10	162	0x3387ea-0x338e10	intra_block	1636	409	18:64,258:52,189:48,168:48,172:44,340:44,64:40,297:40	18:64,258:52,189:48,168:48,172:44,340:44,64:40,297:40	+0x4:756,+0x3:284,+0x5:284,+0x2:220,+0x6:92	exact:1636
182	0x33de30-0x33e02a	182	0x33de30-0x33e02a	intra_block	1596	133	258:96,185:84,189:84,26:72,337:60,28:60,199:60,340:60	258:96,185:84,189:84,26:72,337:60,28:60,199:60,340:60	+0x4:1044,+0x3:420,+0x5:60,+0x2:36,+0x6:36	exact:1596
185	0x33e2e8-0x33e532	185	0x33e2e8-0x33e532	intra_block	1395	155	189:81,337:72,64:63,28:63,297:63,185:54,199:54,168:45	189:81,337:72,64:63,28:63,297:63,185:54,199:54,168:45	+0x4:873,+0x3:351,+0x5:81,+0x2:63,+0x6:27	exact:1395
186	0x33e540-0x33e707	186	0x33e540-0x33e707	intra_block	1080	120	340:81,315:72,307:54,337:54,28:54,174:54,347:45,18:45	340:81,315:72,307:54,337:54,28:54,174:54,347:45,18:45	+0x4:738,+0x3:297,+0x6:18,+0x5:18,+0x2:9	exact:1080
202	0x340f4b-0x34142c	202	0x340f4b-0x34142c	intra_block	1074	322	64:38,18:33,183:33,257:32,185:32,124:31,108:30,337:28	64:38,18:33,183:33,257:32,185:32,124:31,108:30,337:28	+0x4:435,+0x5:217,+0x2:172,+0x3:171,+0x6:79	exact:1074
212	0x3427fd-0x342cde	212	0x3427fd-0x342cde	intra_block	1074	322	66:38,198:36,160:34,18:31,28:28,258:27,157:26,30:25	66:38,198:36,160:34,18:31,28:28,258:27,157:26,30:25	+0x4:435,+0x5:217,+0x2:172,+0x3:171,+0x6:79	exact:1074
181	0x33dcce-0x33de22	181	0x33dcce-0x33de22	intra_block	906	89	340:63,297:48,114:48,174:48,199:48,185:48,123:48,337:39	340:63,123:60,297:48,114:48,174:48,199:48,185:48,337:39	+0x4:510,+0x3:249,+0x2:57,+0x5:48,+0x6:42	exact:906
184	0x33e15d-0x33e2da	184	0x33e15d-0x33e2da	intra_block	900	100	114:63,18:45,307:45,340:36,215:36,347:36,297:36,176:36	114:63,307:45,340:36,215:36,347:36,297:36,18:36,176:36	+0x4:477,+0x3:225,+0x5:90,+0x2:72,+0x6:36	exact:900
151	0x334cab-0x33518c	151	0x334cab-0x33518c	intra_block	886	322	28:29,173:27,347:26,203:25,108:24,340:24,183:23,352:23	28:29,173:27,347:26,203:25,108:24,340:24,183:23,352:23	+0x4:359,+0x5:179,+0x2:142,+0x3:141,+0x6:65	exact:886
87	0x30eeea-0x30f3c5	87	0x30eeea-0x30f3c5	intra_block	882	321	199:28,347:28,108:27,173:26,352:26,301:25,333:24,337:23	199:28,347:28,108:27,173:26,352:26,301:25,333:24,337:23	+0x4:359,+0x5:179,+0x2:142,+0x3:141,+0x6:61	exact:882
183	0x33e03b-0x33e14c	183	0x33e03b-0x33e14c	intra_block	852	71	215:48,258:48,18:48,337:48,333:48,340:48,28:36,287:36	215:48,258:48,18:48,337:48,333:48,340:48,28:36,287:36	+0x4:612,+0x3:204,+0x2:12,+0x6:12,+0x5:12	exact:852
155	0x33585b-0x3364c6	155	0x33585b-0x3364c6	intra_block	834	834	66:39,337:36,114:33,340:32,189:31,18:29,64:28,28:27	66:39,337:36,114:33,340:32,189:31,18:29,64:28,28:27	+0x4:516,+0x3:202,+0x5:44,+0x2:42,+0x6:25,+0xa:5	exact:834
196	0x3401c3-0x3406cb	196	0x3401c3-0x3406cb	intra_block	731	333	258:36,297:26,185:23,307:23,340:23,28:23,347:22,18:21	258:36,297:26,185:23,307:23,340:23,28:23,347:22,18:21	+0x4:394,+0x3:156,+0x5:78,+0x2:64,+0x6:36,+0xd:3	exact:731
206	0x341a75-0x341f7d	206	0x341a75-0x341f7d	intra_block	731	333	114:34,307:30,64:26,18:23,189:23,340:21,297:20,199:19	114:34,307:30,64:26,18:23,189:23,340:21,297:20,199:19	+0x4:394,+0x3:156,+0x5:78,+0x2:64,+0x6:36,+0xd:3	exact:731
135	0x331e8e-0x3320fd	135	0x331e8e-0x3320fd	intra_block	644	161	196:36,64:24,258:24,173:24,185:20,189:20,180:16,168:16	196:36,64:24,258:24,173:24,189:20,180:16,168:16,215:16	+0x4:264,+0x5:140,+0x3:104,+0x2:100,+0x6:36	exact:644
203	0x34143d-0x3416ac	203	0x34143d-0x3416ac	intra_block	644	161	189:24,333:20,198:20,66:20,258:20,28:20,91:16,340:16	189:24,333:20,198:20,66:20,258:20,28:20,340:16,173:16	+0x4:264,+0x5:140,+0x3:104,+0x2:100,+0x6:36	exact:644
213	0x342cef-0x342f5e	213	0x342cef-0x342f5e	intra_block	644	161	144:36,215:24,340:24,172:24,173:20,64:20,297:20,333:20	144:36,215:24,340:24,173:24,172:24,64:20,297:20,333:20	+0x4:264,+0x5:140,+0x3:104,+0x2:100,+0x6:36	exact:644
134	0x331c8b-0x331e7d	134	0x331c8b-0x331e7d	intra_block	640	128	18:40,347:40,157:25,168:25,28:20,268:20,297:20,340:20	18:40,347:40,157:25,168:25,28:20,268:20,297:20,340:20	+0x4:360,+0x3:130,+0x5:65,+0x2:50,+0x6:35	exact:640
187	0x33e718-0x33e829	187	0x33e718-0x33e829	intra_block	639	71	33:63,347:36,168:36,258:36,28:27,305:27,337:27,18:27	33:63,347:36,168:36,258:36,28:27,305:27,337:27,18:27	+0x4:459,+0x3:153,+0x2:9,+0x6:9,+0x5:9	exact:639
176	0x33b647-0x33be94	176	0x33b647-0x33be94	intra_block	615	543	43:23,18:23,66:19,347:17,189:16,215:15,160:15,144:14	43:23,18:23,66:19,347:17,189:16,215:15,160:15,144:14	+0x4:259,+0x5:111,+0x3:103,+0x2:88,+0x6:54	exact:615
160	0x337e84-0x3386cd	160	0x337e84-0x3386cd	intra_block	614	542	28:21,333:17,297:16,124:16,307:15,180:15,108:15,253:15	28:21,333:17,297:16,124:16,307:15,180:15,108:15,253:15	+0x4:258,+0x5:111,+0x3:103,+0x2:88,+0x6:54	exact:614
74	0x24a4e3-0x24a8c5	74	0x24a4e3-0x24a8c5	intra_block	520	260	64:26,28:22,337:22,18:18,258:16,199:16,66:16,43:16	64:26,28:22,337:22,18:18,258:16,199:16,66:16,43:16	+0x4:278,+0x3:112,+0x5:56,+0x2:48,+0x6:26	exact:520
97	0x31b34b-0x31b82c	97	0x31b34b-0x31b82c	intra_block	510	322	28:17,168:17,64:16,239:16,198:15,337:15,18:14,160:14	28:17,168:17,64:16,239:16,198:15,337:15,18:14,160:14	+0x4:207,+0x5:103,+0x2:82,+0x3:81,+0x6:37	exact:510
192	0x33f710-0x33fbf1	192	0x33f710-0x33fbf1	intra_block	510	322	258:21,43:18,168:17,66:16,108:15,352:14,114:14,183:13	258:21,43:18,168:17,66:16,108:15,352:14,114:14,183:13	+0x4:207,+0x5:103,+0x2:82,+0x3:81,+0x6:37	exact:510
178	0x33c5b8-0x33cd0f	178	0x33c5b8-0x33cd0f	intra_block	490	490	28:22,347:21,337:20,307:17,189:16,258:16,18:15,114:15	28:22,347:21,337:20,307:17,189:16,258:16,18:15,114:15	+0x4:303,+0x3:119,+0x5:26,+0x2:24,+0x6:14,+0xa:3,+0xd:1	exact:490
85	0x30e872-0x30eeba	85	0x30e872-0x30eeba	intra_block	487	422	185:33,64:24,168:23,189:19,340:17,114:16,165:15,199:14	185:33,64:24,168:23,189:19,340:17,114:16,199:14,337:14	+0x4:292,+0x3:113,+0x2:34,+0x6:25,+0x5:21,+0xa:2	exact:487
100	0x31bc0a-0x31be7c	100	0x31bc0a-0x31be7c	intra_block	486	162	237:21,297:18,256:18,183:15,172:15,199:15,144:15,157:12	237:21,297:18,256:18,183:15,172:15,199:15,144:15,269:12	+0x4:198,+0x5:105,+0x3:81,+0x2:75,+0x6:27	exact:486
107	0x31c974-0x31cbe6	107	0x31c974-0x31cbe6	intra_block	486	162	18:21,196:18,66:18,108:18,220:15,114:15,320:15,215:15	18:21,196:18,66:18,108:18,220:15,114:15,320:15,215:15	+0x4:198,+0x5:105,+0x3:81,+0x2:75,+0x6:27	exact:486
89	0x30f64d-0x30fd84	89	0x30f64d-0x30fd84	intra_block	485	485	307:20,28:19,64:17,18:17,199:16,347:16,189:15,340:14	307:20,28:19,64:17,18:17,199:16,347:16,189:15,340:14	+0x4:273,+0x3:106,+0x5:48,+0x2:41,+0x6:15,+0xa:2	exact:485
88	0x30f3d6-0x30f645	88	0x30f3d6-0x30f645	intra_block	483	161	144:21,168:21,114:18,18:15,28:15,347:15,108:15,91:12	144:24,168:21,114:18,28:15,347:15,108:15,91:12,268:12	+0x4:198,+0x5:105,+0x3:78,+0x2:75,+0x6:27	exact:483
152	0x33519c-0x33540c	152	0x33519c-0x33540c	intra_block	483	161	64:15,198:15,185:15,144:15,43:15,199:15,114:15,108:15	108:18,64:15,198:15,185:15,144:15,43:15,199:15,114:15	+0x4:201,+0x5:105,+0x2:75,+0x3:75,+0x6:27	exact:483
133	0x331975-0x331c7a	133	0x331975-0x331c7a	intra_block	474	202	189:31,307:26,28:23,199:20,123:20,347:18,114:18,297:15	189:31,307:26,28:23,199:20,123:20,347:18,114:18,297:15	+0x4:250,+0x3:116,+0x5:47,+0x2:42,+0x6:19	exact:474
83	0x26cd71-0x26cf1b	83	0x26cd71-0x26cf1b	intra_block	444	111	66:28,340:20,189:20,307:20,43:20,337:20,157:16,287:16	66:28,340:20,189:20,307:20,43:20,337:20,157:16,287:16	+0x4:272,+0x3:96,+0x5:36,+0x2:28,+0x6:12	exact:444
78	0x24b060-0x24b39b	78	0x24b060-0x24b39b	intra_block	434	217	340:22,297:20,114:18,189:16,18:16,307:14,268:12,185:12	340:22,297:20,114:18,189:16,18:16,307:14,268:12,185:12	+0x4:244,+0x3:98,+0x5:40,+0x2:34,+0x6:18	exact:434
