source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
66	0x230122-0x2303ae	66	0x230122-0x2303ae	intra_block	44288	173	196:1792,258:1792,189:1792,168:1536,347:1536,215:1536,114:1280,199:1280	196:1792,258:1792,189:1792,168:1536,347:1536,215:1536,114:1280,199:1280	+0x4:24576,+0x3:8960,+0x5:5632,+0x2:4608,+0x6:512	exact:44288
65	0x22ffc2-0x230111	65	0x22ffc2-0x230111	intra_block	20235	90	66:1280,114:1024,307:1024,347:1024,28:1024,258:1024,337:768,340:768	66:1280,114:1024,307:1024,347:1024,28:1024,258:1024,337:768,340:768	+0x4:11525,+0x3:5378,+0x5:1538,+0x2:1538,+0x6:256	exact:20235
71	0x230e18-0x231217	71	0x230e18-0x231217	intra_block	17536	274	157:768,43:640,258:640,66:576,347:512,18:512,172:512,337:448	157:768,43:640,258:640,66:576,347:512,18:512,172:512,337:448	+0x4:8960,+0x3:3520,+0x5:2688,+0x2:2176,+0x6:192	exact:17536
70	0x230b2c-0x230e07	70	0x230b2c-0x230e07	intra_block	12416	194	307:576,114:576,258:512,28:448,66:448,347:448,189:384,18:384	307:576,114:576,258:512,28:448,66:448,347:448,189:384,18:384	+0x4:7232,+0x3:2944,+0x5:1088,+0x2:896,+0x6:256	exact:12416
69	0x230912-0x230b1b	69	0x230912-0x230b1b	intra_block	8832	138	347:512,268:448,337:448,185:384,307:384,340:320,297:320,49:256	347:512,337:448,185:384,268:384,307:384,340:320,297:320,49:256	+0x4:4352,+0x3:2048,+0x5:1216,+0x2:960,+0x6:256	exact:8832
64	0x22fe2d-0x22ffb1	64	0x22fe2d-0x22ffb1	intra_block	7242	102	258:771,172:260,199:260,43:259,337:259,185:258,297:258,203:257	258:771,172:260,199:260,43:259,337:259,185:258,297:258,203:257	+0x4:3124,+0x3:1297,+0x2:1282,+0x5:1282,+0x6:257	exact:7242
68	0x230722-0x230905	68	0x230722-0x230905	intra_block	3584	128	161:325,258:260,189:200,64:198,215:197,28:197,297:196,337:196	161:325,258:260,189:200,64:198,215:197,28:197,297:196,337:196	+0x4:2262,+0x3:1122,+0x2:67,+0x5:67,+0x6:66	exact:3584
121	0x311cad-0x311f5f	121	0x311cad-0x311f5f	intra_block	2548	182	66:182,347:112,258:112,185:98,189:98,307:98,18:98,64:98	66:182,347:112,258:112,185:98,189:98,307:98,18:98,64:98	+0x4:1554,+0x3:602,+0x2:154,+0x5:154,+0x6:84	exact:2548
122	0x311f69-0x312230	122	0x311f69-0x312230	intra_block	2485	188	258:117,337:105,28:94,307:93,64:92,215:92,340:81,172:67	258:117,337:105,28:94,307:93,64:92,215:92,340:81,172:67	+0x4:1512,+0x3:582,+0x5:169,+0x2:157,+0x6:65	exact:2485
115	0x310ef0-0x311159	115	0x310ef0-0x311159	intra_block	2282	163	297:112,307:112,258:98,28:98,337:98,340:84,347:70,189:70	297:112,307:112,258:98,28:98,337:98,340:84,347:70,189:70	+0x4:1428,+0x3:560,+0x5:126,+0x2:112,+0x6:56	exact:2282
132	0x31334b-0x3135af	132	0x31334b-0x3135af	intra_block	2106	162	64:143,258:130,307:117,161:104,196:91,297:91,185:78,340:78	64:143,258:130,307:117,161:104,196:91,297:91,185:78,340:78	+0x4:1326,+0x3:520,+0x2:104,+0x5:104,+0x6:52	exact:2106
135	0x3139de-0x313c42	135	0x3139de-0x313c42	intra_block	2106	162	337:130,18:130,258:104,28:91,174:91,189:78,203:78,340:65	337:130,18:130,258:104,174:104,28:91,189:78,203:78,340:65	+0x4:1326,+0x3:520,+0x2:104,+0x5:104,+0x6:52	exact:2106
138	0x314071-0x3142d5	138	0x314071-0x3142d5	intra_block	2106	162	347:117,258:117,307:91,346:91,18:91,28:91,199:78,340:78	347:117,258:117,307:91,346:91,18:91,28:91,199:78,340:78	+0x4:1326,+0x3:520,+0x2:104,+0x5:104,+0x6:52	exact:2106
141	0x314704-0x314968	141	0x314704-0x314968	intra_block	2106	162	337:117,307:104,189:104,347:91,66:78,64:78,215:78,340:65	337:117,307:104,189:104,347:91,66:78,64:78,215:78,340:65	+0x4:1326,+0x3:520,+0x2:104,+0x5:104,+0x6:52	exact:2106
144	0x314d97-0x314ffb	144	0x314d97-0x314ffb	intra_block	2106	162	114:104,199:91,28:91,196:91,174:91,340:78,337:78,258:78	114:104,199:91,28:91,196:91,174:91,340:78,337:78,258:78	+0x4:1326,+0x3:520,+0x2:104,+0x5:104,+0x6:52	exact:2106
116	0x311163-0x31139b	116	0x311163-0x31139b	intra_block	2100	150	337:112,185:98,18:98,340:98,215:84,258:84,43:70,114:70	337:112,185:98,18:98,340:98,215:84,258:84,43:70,114:70	+0x4:1344,+0x3:532,+0x2:84,+0x5:84,+0x6:56	exact:2100
117	0x3113a5-0x3115dd	117	0x3113a5-0x3115dd	intra_block	2100	150	189:140,28:126,340:112,307:98,337:98,215:98,333:70,258:70	189:140,28:126,340:112,307:98,337:98,215:98,333:70,258:70	+0x4:1344,+0x3:532,+0x2:84,+0x5:84,+0x6:56	exact:2100
118	0x3115e7-0x31181f	118	0x3115e7-0x31181f	intra_block	2100	150	347:154,185:84,297:84,340:84,43:84,114:84,307:84,258:70	347:154,185:84,297:84,340:84,43:84,114:84,307:84,258:70	+0x4:1344,+0x3:532,+0x2:84,+0x5:84,+0x6:56	exact:2100
119	0x311829-0x311a61	119	0x311829-0x311a61	intra_block	2100	150	258:112,18:112,189:98,64:98,114:84,185:84,199:84,337:70	258:112,18:112,189:98,64:98,114:84,185:84,199:84,337:70	+0x4:1344,+0x3:532,+0x2:84,+0x5:84,+0x6:56	exact:2100
120	0x311a6b-0x311ca3	120	0x311a6b-0x311ca3	intra_block	2100	150	337:126,307:112,185:112,114:98,157:98,66:84,340:84,64:84	337:126,307:112,185:112,114:98,157:98,66:84,340:84,64:84	+0x4:1344,+0x3:532,+0x2:84,+0x5:84,+0x6:56	exact:2100
129	0x312cd0-0x312f1c	129	0x312cd0-0x312f1c	intra_block	2028	156	114:117,28:104,258:104,185:91,199:78,337:78,297:78,189:65	114:117,28:104,258:104,185:91,199:78,337:78,297:78,189:65	+0x4:1300,+0x3:507,+0x2:91,+0x5:91,+0x6:39	exact:2028
146	0x31522f-0x31547c	146	0x31522f-0x31547c	intra_block	2028	156	18:130,347:104,307:91,114:78,168:78,28:78,189:65,64:65	18:130,347:104,307:91,114:78,168:78,28:78,189:65,64:65	+0x4:1287,+0x3:507,+0x5:104,+0x2:91,+0x6:39	exact:2028
150	0x315969-0x315bb5	150	0x315969-0x315bb5	intra_block	2015	155	297:143,258:117,189:117,340:91,185:91,64:78,18:78,307:65	297:143,258:117,189:117,340:91,185:91,64:78,18:78,307:65	+0x4:1287,+0x3:507,+0x5:91,+0x2:78,+0x6:52	exact:2015
147	0x315486-0x3156c0	147	0x315486-0x3156c0	intra_block	1963	151	258:117,66:104,337:91,185:91,340:91,18:78,243:65,168:65	258:117,66:104,337:91,185:91,340:91,18:78,243:65,168:65	+0x4:1248,+0x3:494,+0x2:91,+0x5:78,+0x6:52	exact:1963
130	0x312f26-0x31315f	130	0x312f26-0x31315f	intra_block	1950	150	64:104,28:104,258:104,185:91,297:91,114:91,333:78,215:65	64:104,28:104,258:104,185:91,297:91,114:91,333:78,20:78	+0x4:1235,+0x3:494,+0x5:91,+0x2:78,+0x6:52	exact:1950
133	0x3135b9-0x3137f2	133	0x3135b9-0x3137f2	intra_block	1950	150	189:117,64:104,199:91,18:78,66:78,114:78,43:65,33:65	189:117,64:104,199:91,18:78,66:78,114:78,43:65,33:65	+0x4:1235,+0x3:494,+0x5:91,+0x2:78,+0x6:52	exact:1950
136	0x313c4c-0x313e85	136	0x313c4c-0x313e85	intra_block	1950	150	258:91,347:91,189:78,66:78,337:65,297:65,203:65,28:65	258:91,347:91,189:78,66:78,337:65,297:65,203:65,28:65	+0x4:1235,+0x3:494,+0x5:91,+0x2:78,+0x6:52	exact:1950
139	0x3142df-0x314518	139	0x3142df-0x314518	intra_block	1950	150	64:117,28:104,337:91,43:78,66:78,18:78,215:65,305:65	64:117,28:104,337:91,43:78,66:78,18:78,215:65,305:65	+0x4:1235,+0x3:494,+0x5:91,+0x2:78,+0x6:52	exact:1950
142	0x314972-0x314bab	142	0x314972-0x314bab	intra_block	1950	150	258:104,199:104,64:91,215:91,340:78,18:78,28:78,337:78	258:104,199:104,64:91,215:91,340:78,18:78,28:78,337:78	+0x4:1235,+0x3:494,+0x5:91,+0x2:78,+0x6:52	exact:1950
123	0x31223a-0x31245a	123	0x31223a-0x31245a	intra_block	1872	144	114:130,340:104,287:91,347:91,307:91,18:91,215:78,28:78	114:130,340:104,287:91,347:91,307:91,18:91,215:78,28:78	+0x4:1222,+0x3:481,+0x2:65,+0x5:65,+0x6:39	exact:1872
124	0x312464-0x312684	124	0x312464-0x312684	intra_block	1872	144	64:169,185:91,333:78,340:78,172:78,28:78,66:65,215:65	64:169,185:91,333:78,340:78,172:78,28:78,66:65,215:65	+0x4:1222,+0x3:481,+0x2:65,+0x5:65,+0x6:39	exact:1872
145	0x315005-0x315225	145	0x315005-0x315225	intra_block	1872	144	307:104,189:104,297:91,199:91,258:91,243:78,26:78,66:78	307:104,189:104,297:91,199:91,258:91,243:78,26:78,66:78	+0x4:1222,+0x3:481,+0x2:65,+0x5:65,+0x6:39	exact:1872
243	0x33bea5-0x33c5b0	243	0x33bea5-0x33c5b0	intra_block	1868	467	28:60,18:56,340:56,168:56,258:48,198:48,43:48,257:48	28:60,18:56,340:56,168:56,258:48,198:48,43:48,257:48	+0x4:768,+0x5:384,+0x3:300,+0x2:296,+0x6:120	exact:1868
228	0x3387ea-0x338e10	228	0x3387ea-0x338e10	intra_block	1636	409	18:64,258:52,189:48,168:48,172:44,340:44,64:40,297:40	18:64,258:52,189:48,168:48,172:44,340:44,64:40,297:40	+0x4:756,+0x3:284,+0x5:284,+0x2:220,+0x6:92	exact:1636
128	0x312aee-0x312cc6	128	0x312aee-0x312cc6	intra_block	1625	125	258:130,18:78,337:78,176:78,64:65,307:65,215:65,114:65	258:130,18:78,337:78,176:78,64:65,307:65,215:65,114:65	+0x4:1105,+0x3:442,+0x2:26,+0x6:26,+0x5:26	exact:1625
131	0x313169-0x313341	131	0x313169-0x313341	intra_block	1625	125	347:117,114:91,185:91,297:65,307:65,33:65,28:65,189:65	347:117,114:91,185:91,297:65,307:65,33:65,28:65,189:65	+0x4:1105,+0x3:442,+0x2:26,+0x6:26,+0x5:26	exact:1625
134	0x3137fc-0x3139d4	134	0x3137fc-0x3139d4	intra_block	1625	125	189:104,215:91,114:91,307:78,333:65,337:65,66:65,185:65	189:104,215:91,114:91,307:78,333:65,337:65,66:65,185:65	+0x4:1105,+0x3:442,+0x2:26,+0x6:26,+0x5:26	exact:1625
137	0x313e8f-0x314067	137	0x313e8f-0x314067	intra_block	1625	125	340:104,18:91,114:91,215:78,347:78,189:78,346:65,157:52	340:104,18:91,114:91,215:78,347:78,189:78,346:65,157:52	+0x4:1105,+0x3:442,+0x2:26,+0x6:26,+0x5:26	exact:1625
140	0x314522-0x3146fa	140	0x314522-0x3146fa	intra_block	1625	125	215:117,26:91,28:91,337:91,64:78,347:65,258:65,307:65	215:117,26:91,28:91,337:91,64:78,347:65,258:65,307:65	+0x4:1105,+0x3:442,+0x2:26,+0x6:26,+0x5:26	exact:1625
143	0x314bb5-0x314d8d	143	0x314bb5-0x314d8d	intra_block	1625	125	347:117,28:104,297:104,337:91,340:78,43:78,66:78,315:65	347:117,28:104,297:104,337:91,340:78,43:78,66:78,315:65	+0x4:1105,+0x3:442,+0x2:26,+0x6:26,+0x5:26	exact:1625
254	0x33de30-0x33e02a	254	0x33de30-0x33e02a	intra_block	1596	133	258:96,185:84,189:84,26:72,337:60,28:60,199:60,340:60	258:96,185:84,189:84,26:72,337:60,28:60,199:60,340:60	+0x4:1044,+0x3:420,+0x5:60,+0x2:36,+0x6:36	exact:1596
125	0x31268e-0x31285b	125	0x31268e-0x31285b	intra_block	1573	121	337:104,215:78,258:78,199:78,66:78,28:65,347:65,114:52	337:104,215:78,258:78,199:78,66:78,28:65,347:65,114:52	+0x4:1066,+0x3:429,+0x6:39,+0x5:26,+0x2:13	exact:1573
112	0x3109d2-0x310c9b	112	0x3109d2-0x310c9b	intra_block	1515	189	340:99,337:73,28:63,215:60,189:58,66:57,307:56,158:56	340:99,337:73,28:63,215:60,189:58,66:57,307:56,158:56	+0x4:855,+0x3:369,+0x2:130,+0x5:117,+0x6:44	exact:1515
257	0x33e2e8-0x33e532	257	0x33e2e8-0x33e532	intra_block	1395	155	189:81,337:72,64:63,28:63,297:63,185:54,199:54,168:45	189:81,337:72,64:63,28:63,297:63,185:54,199:54,168:45	+0x4:873,+0x3:351,+0x5:81,+0x2:63,+0x6:27	exact:1395
149	0x31580e-0x31595f	149	0x31580e-0x31595f	intra_block	1170	90	340:117,199:65,184:65,174:52,215:52,307:39,258:39,297:39	340:117,199:65,184:65,174:52,215:52,176:52,307:39,258:39	+0x4:650,+0x3:299,+0x2:104,+0x5:78,+0x6:39	exact:1170
258	0x33e540-0x33e707	258	0x33e540-0x33e707	intra_block	1080	120	340:81,315:72,307:54,337:54,28:54,174:54,347:45,18:45	340:81,315:72,307:54,337:54,28:54,174:54,347:45,18:45	+0x4:738,+0x3:297,+0x6:18,+0x5:18,+0x2:9	exact:1080
127	0x3129aa-0x312ae4	127	0x3129aa-0x312ae4	intra_block	1079	83	114:78,337:78,28:65,184:65,215:52,307:52,199:39,347:39	114:78,337:78,28:65,184:65,215:52,307:52,199:39,347:39	+0x4:598,+0x3:286,+0x2:78,+0x5:78,+0x6:39	exact:1079
276	0x340f4b-0x34142c	276	0x340f4b-0x34142c	intra_block	1074	322	64:38,18:33,183:33,257:32,185:32,124:31,108:30,337:28	64:38,18:33,183:33,257:32,185:32,124:31,108:30,337:28	+0x4:435,+0x5:217,+0x2:172,+0x3:171,+0x6:79	exact:1074
287	0x3427fd-0x342cde	287	0x3427fd-0x342cde	intra_block	1074	322	66:38,198:36,160:34,18:31,28:28,258:27,157:26,30:25	66:38,198:36,160:34,18:31,28:28,258:27,157:26,30:25	+0x4:435,+0x5:217,+0x2:172,+0x3:171,+0x6:79	exact:1074
114	0x310dca-0x310ee6	114	0x310dca-0x310ee6	intra_block	1050	75	340:84,114:70,185:56,337:56,18:56,184:56,347:42,28:42	340:84,114:70,184:70,185:56,337:56,18:56,347:42,28:42	+0x4:630,+0x3:280,+0x5:56,+0x2:56,+0x6:28	exact:1050
113	0x310ca5-0x310dba	113	0x310ca5-0x310dba	intra_block	1008	72	114:84,307:84,26:56,168:56,203:42,215:42,243:42,66:42	114:84,307:84,26:56,168:56,203:42,215:42,243:42,66:42	+0x4:728,+0x3:238,+0x2:14,+0x6:14,+0x5:14	exact:1008
126	0x312868-0x31297d	126	0x312868-0x31297d	intra_block	936	72	305:78,64:78,333:65,168:52,189:39,28:39,196:39,307:39	305:78,64:78,333:65,168:52,189:39,28:39,196:39,307:39	+0x4:676,+0x3:221,+0x2:13,+0x6:13,+0x5:13	exact:936
148	0x3156ca-0x3157e1	148	0x3156ca-0x3157e1	intra_block	936	72	305:52,333:52,189:52,157:39,199:39,66:39,346:39,43:39	305:52,333:52,189:52,157:39,199:39,66:39,346:39,43:39	+0x4:663,+0x3:221,+0x6:26,+0x2:13,+0x5:13	exact:936
253	0x33dcce-0x33de22	253	0x33dcce-0x33de22	intra_block	906	89	340:63,297:48,114:48,174:48,199:48,185:48,123:48,337:39	340:63,123:60,297:48,114:48,174:48,199:48,185:48,337:39	+0x4:510,+0x3:249,+0x2:57,+0x5:48,+0x6:42	exact:906
