entry	target	observed_target	target_hits	tail_site	tail_reg	tail_distance	tail_site_hits	source_events	unique_vm_ips	top_ip_deltas	top_targets	top_sites	static_stop	insns	span_bytes	cond_jumps	jmps	calls	rets	frame_reads	frame_writes	ip_reads	table_reads	top_mnemonics
0	0x78561	1	48	0x78833	rdx	0x2d2	48	48	4	+0x5:48	144@0x95887:31,257@0xadbfd:10,108@0x8f24b:7	tail@0x78833:48	0x78843	173	734	5	1	0	0	0xa:4,0x0:2,0x71:2,0x194:1,0x10f:1,0x170:1	0x170:2,0x71:2,0x0:1,0xa:1	+0x2/2:2,+0x4/1:1,+0x0/2:1	dyn/8:1	add:43,mov:42,sub:19,xor:16,or:13,and:13,cmp:5,jne:4
1	0x78835	0	0	0x78c74	r12	0x43f	0	0	0				0x78c84	244	1103	2	1	0	1	0xa:6,0x23:6,0x170:3,0x71:2,0xbb:1,0x81:1,0x194:1,0x10f:1	0x170:8,0x23:6,0x1dc:1,0x60:1,0xa:1	+0x6/2:1,+0x4/2:1,+0x0/4:1,+0x2/4:1,+0x2/8:1,+0x0/2:1	dyn/8:1	mov:84,add:72,and:21,xor:16,pop:15,or:14,sub:12,cmp:2
2	0x788e2	0	0	0x78c74	r12	0x392	0	0	0				0x78c84	197	930	2	1	0	0	0x23:6,0xa:3,0x170:3,0x71:2,0x81:1,0x194:1,0x10f:1	0x170:8,0x23:6,0x60:1,0xa:1	+0x2/4:1,+0x2/8:1,+0x0/2:1	dyn/8:1	mov:66,add:60,and:21,xor:16,or:14,sub:12,cmp:2,je:2
3	0x78c77	1	999	0x792f5	r15	0x67e	999	999	242	+0x5:999	160@0x994cf:221,173@0x9ba74:182,352@0xc1ec4:142,144@0x95887:110,257@0xadbfd:105	tail@0x792f5:999	0x79305	363	1678	3	3	0	0	0x71:4,0x81:3,0xa:3,0x194:2,0x23:2,0x170:2,0x0:2,0x60:2,0x10f:1	0x170:7,0x71:2,0x0:1,0x60:1,0x23:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	add:95,mov:79,xor:53,sub:43,and:43,or:36,cmp:4,je:3
4	0x792f8	0	0	0x79672	r10	0x37a	0	0	0				0x79682	197	903	0	1	0	0	0x170:5,0x194:4,0x23:3,0x0:2,0x81:2,0xa:2,0x10f:1	0x170:8,0x23:3,0x16f:1,0x0:1,0xa:1	+0x0/4:1,+0x4/2:1	dyn/8:1	mov:67,add:62,or:23,xor:19,sub:12,and:10,cmp:2,movzx:1
5	0x79675	0	0	0x799c4	r14	0x34f	0	0	0				0x799d4	185	860	1	2	0	1	0xa:9,0xbb:1,0x81:1,0x199:1,0x10f:1,0x170:1	0x1dc:1,0x170:1,0xa:1	+0x3/2:2,+0x0/2:2,+0x6/2:1,+0x4/2:1,+0x0/4:1,+0x5/2:1,+0x7/2:1	dyn/8:1	mov:58,add:47,sub:17,pop:15,xor:14,and:14,or:9,movzx:5
6	0x7971e	0	0	0x799c4	r14	0x2a6	0	0	0				0x799d4	138	691	1	2	0	0	0xa:6,0x81:1,0x199:1,0x10f:1,0x170:1	0x170:1,0xa:1	+0x3/2:2,+0x0/2:2,+0x5/2:1,+0x7/2:1	dyn/8:1	mov:40,add:35,sub:17,xor:14,and:14,or:9,movzx:5,jmp:2
7	0x799c7	0	0	0x79da1	rax	0x3da	0	0	0				0x79db1	228	1002	5	1	0	1	0xa:6,0x60:2,0x0:2,0x23:1,0x194:1,0x71:1,0x10f:1	0x71:2,0x1dc:1,0x60:1,0x0:1,0x170:1,0xa:1	+0x0/2:2,+0x3/2:2,+0x2/2:1,+0x2/1:1	dyn/8:1	mov:67,add:55,xor:21,sub:17,pop:16,or:12,and:11,popfq:5
8	0x79a3d	0	0	0x79da1	rax	0x364	0	0	0				0x79db1	192	884	5	1	0	0	0xa:4,0x60:2,0x0:2,0x23:1,0x194:1,0x71:1,0x10f:1	0x71:2,0x60:1,0x0:1,0x170:1,0xa:1	+0x3/2:2,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:55,add:48,xor:21,sub:17,or:12,and:11,cmp:5,jne:4
9	0x79da3	0	0	0x7a04c	r8	0x2a9	0	0	0				0x7a05c	152	696	5	1	0	0	0xa:3,0x0:2,0x194:2,0x71:1,0x81:1,0x10f:1,0x170:1	0x71:2,0x0:1,0x170:1,0xa:1	+0x0/1:1,+0x1/2:1,+0x3/2:1	dyn/8:1	add:41,mov:38,xor:16,sub:14,or:11,and:10,cmp:5,jne:4
10	0x7a04f	0	0	0x7a4d6	rdx	0x487	0	0	0				0x7a4e6	259	1170	9	5	0	0	0x0:5,0x170:5,0x81:5,0x194:3,0xa:3,0x23:2,0x60:2,0x71:2,0x10f:1	0x170:4,0x23:2,0x71:2,0x0:1,0x60:1,0xa:1	+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	mov:81,add:75,sub:26,or:17,xor:16,cmp:12,and:11,je:5
11	0x7a4d8	0	0	0x7acd6	rsi	0x7fe	0	0	0				0x7ace6	459	2061	38	3	0	1	0xa:6,0x12:1,0xbb:1,0x10f:1,0x170:1	0x12:19,0x1dc:1,0x170:1,0xa:1	+0x6/2:1,+0x8/1:1,+0x0/4:1,+0x4/2:1,+0x9/2:1,+0xb/2:1	dyn/8:1	mov:99,add:95,and:74,or:38,xor:32,sub:29,jne:25,cmp:22
12	0x7acd8	0	0	0x7aee6	rax	0x20e	0	0	0				0x7aef6	118	541	1	2	0	0	0xa:4,0x23:1,0x10f:1,0x170:1	0x170:2,0xa:1	+0x4/2:1,+0x6/2:1,+0x2/2:1,+0x0/2:1	dyn/8:1	add:32,mov:28,and:16,sub:13,or:11,xor:8,movzx:4,jmp:2
13	0x7aee8	1	5	0x7b3bb	r12	0x4d3	5	5	2	+0x5:5	256@0xad849:4,257@0xadbfd:1	tail@0x7b3bb:5	0x7b3cb	272	1248	9	2	0	0	0x0:5,0x81:4,0x23:4,0xa:3,0x71:3,0x170:3,0x60:2,0x194:2,0x10f:1	0x23:4,0x71:2,0x170:2,0x60:1,0x0:1,0xa:1	+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	mov:82,add:74,xor:24,sub:23,or:20,and:19,cmp:12,je:5
14	0x7b3be	0	0	0x7b6c9	rbx	0x30b	0	0	0				0x7b6d9	162	794	3	1	0	0	0xa:4,0x0:2,0x60:2,0xe1:1,0x23:1,0x71:1,0x10f:1	0x71:2,0x170:2,0x0:1,0x60:1,0xa:1	+0x4/1:1,+0x2/2:1,+0x0/2:1	dyn/8:1	mov:46,add:39,xor:23,sub:21,or:13,and:7,cmp:3,jne:2
15	0x7b6cb	0	0	0x7bae7	rdx	0x41c	0	0	0				0x7baf7	244	1067	5	2	0	1	0xa:5,0x60:2,0x0:2,0x71:2,0x23:1,0xe1:1,0x10f:1,0x81:1	0x170:2,0x71:2,0x1dc:1,0x60:1,0x0:1,0xa:1	+0x0/4:2,+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:66,add:60,sub:26,xor:21,pop:18,and:15,or:13,cmp:5
16	0x7b77c	0	0	0x7bae7	rdx	0x36b	0	0	0				0x7baf7	190	890	3	1	0	0	0xa:3,0x60:2,0x0:2,0x71:2,0x23:1,0xe1:1,0x10f:1,0x81:1	0x170:2,0x71:2,0x60:1,0x0:1,0xa:1	+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:52,add:50,sub:26,xor:21,and:15,or:13,cmp:3,jne:2
17	0x7bae9	1	346	0x7be98	r14	0x3af	346	346	47	+0x5:346	300@0xb6c36:256,185@0x9d964:8,220@0xa522e:6,83@0x8947b:6,140@0x94e5a:6	tail@0x7be98:346	0x7bea8	202	959	7	2	0	0	0x170:5,0x23:4,0xa:3,0x0:3,0x81:2,0x194:1,0x10f:1	0x23:7,0x170:4,0x16f:1,0x0:1,0xa:1	+0x0/2:1,+0x2/1:1,+0x3/2:1	dyn/8:1	mov:65,add:60,and:17,xor:16,sub:12,or:11,cmp:10,jne:4
18	0x7be9b	1	7392	0x7c308	rsi	0x46d	7406	7392	1368	+0x3:7392	114@0x90319:797,347@0xc088d:599,258@0xadf2c:486,300@0xb6c36:323,174@0x9bd8f:320	tail@0x7c308:7392	0x7c318	242	1148	4	2	0	0	0x23:7,0x194:5,0x170:3,0x0:2,0xa:2,0x81:1,0x71:1,0x10f:1	0x23:6,0x170:4,0x194:1,0xa:1	+0x2/1:1,+0x0/2:1	dyn/8:1	mov:72,add:67,and:28,xor:27,or:17,sub:17,cmp:6,je:4
19	0x7c30a	0	0	0x7c628	r12	0x31e	0	0	0				0x7c638	176	814	2	2	0	0	0xa:8,0x81:1,0x199:1,0x10f:1,0x170:1	0x170:1,0xa:1	+0x4/2:2,+0x2/2:2,+0x9/2:1,+0x8/1:1,+0x0/2:1,+0x6/2:1	dyn/8:1	add:52,mov:46,and:21,sub:16,or:13,xor:13,movzx:6,cmp:3
20	0x7c62b	1	2490	0x7ca96	rcx	0x46b	2490	2490	465	+0x4:2490	114@0x90319:454,181@0x9d13f:287,258@0xadf2c:208,66@0x855ff:164,189@0x9e7af:136	tail@0x7ca96:2490	0x7caa6	241	1145	3	3	0	0	0x23:4,0x81:3,0x0:3,0xa:3,0x170:3,0x194:2,0x10f:1	0x170:6,0x23:3,0xa:1	+0x0/2:1,+0x2/2:1	dyn/8:1	mov:66,add:62,and:29,sub:28,xor:24,or:18,cmp:5,jmp:3
21	0x7ca98	0	0	0x7d004	r14	0x56c	0	0	0				0x7d014	319	1404	10	3	0	1	0x81:6,0xa:5,0x194:4,0x23:4,0x0:4,0x170:3,0x60:2,0x71:2,0x10f:1	0x23:5,0x170:4,0x71:2,0x1dc:1,0x60:1,0x0:1,0xa:1	+0x0/4:2,+0x2/1:1,+0x0/2:1,+0x3/2:1	dyn/8:1	mov:104,add:77,and:27,sub:25,pop:18,xor:15,or:14,cmp:12
