entry	target	tail_site	tail_reg	tail_distance	target_hits	tail_site_hits	observed_target
0	0x78561	0x78833	rdx	0x2d2	48	48	1
1	0x78835	0x78c74	r12	0x43f	0	0	0
2	0x788e2	0x78c74	r12	0x392	0	0	0
3	0x78c77	0x792f5	r15	0x67e	999	999	1
4	0x792f8	0x79672	r10	0x37a	0	0	0
5	0x79675	0x799c4	r14	0x34f	0	0	0
6	0x7971e	0x799c4	r14	0x2a6	0	0	0
7	0x799c7	0x79da1	rax	0x3da	0	0	0
8	0x79a3d	0x79da1	rax	0x364	0	0	0
9	0x79da3	0x7a04c	r8	0x2a9	0	0	0
10	0x7a04f	0x7a4d6	rdx	0x487	0	0	0
11	0x7a4d8	0x7acd6	rsi	0x7fe	0	0	0
12	0x7acd8	0x7aee6	rax	0x20e	0	0	0
13	0x7aee8	0x7b3bb	r12	0x4d3	5	5	1
14	0x7b3be	0x7b6c9	rbx	0x30b	0	0	0
15	0x7b6cb	0x7bae7	rdx	0x41c	0	0	0
16	0x7b77c	0x7bae7	rdx	0x36b	0	0	0
17	0x7bae9	0x7be98	r14	0x3af	346	346	1
18	0x7be9b	0x7c308	rsi	0x46d	7392	7406	1
19	0x7c30a	0x7c628	r12	0x31e	0	0	0
20	0x7c62b	0x7ca96	rcx	0x46b	2490	2490	1
21	0x7ca98	0x7d004	r14	0x56c	0	0	0
22	0x7cb43	0x7d004	r14	0x4c1	0	0	0
23	0x7d007	0x7d5e9	r9	0x5e2	0	0	0
24	0x7d5ec	0x7d93f	rcx	0x353	0	0	0
25	0x7d941	0x7dbb8	r12	0x277	0	0	0
26	0x7dbbb	0x7dfbd	rdi	0x402	3024	3024	1
27	0x7dfbf	0x7e38d	r10	0x3ce	0	0	0
28	0x7e390	0x7e7ca	r11	0x43a	8348	8351	1
29	0x7e7cd	0x7ecd0	rdi	0x503	0	1050	0
30	0x7e849	0x7ecd0	rdi	0x487	1050	1050	1
31	0x7ecd2	0x7efa6	rax	0x2d4	2	2	1
32	0x7efa8	0x7f7c1	r8	0x819	0	0	0
33	0x7f7c4	0x7fba1	rdi	0x3dd	2035	2035	1
34	0x7fba3	0x7fd4a	r13	0x1a7	0	0	0
35	0x7fd4d	0x8009e	r8	0x351	1	1	1
36	0x800a1	0x80682	r15	0x5e1	4	4	1
37	0x80685	0x80d77	rdx	0x6f2	1003	1003	1
38	0x80d79	0x80ef3	r8	0x17a	0	0	0
39	0x80ef6	0x8115a	r9	0x264	0	0	0
40	0x8115d	0x8129b	rcx	0x13e	235	235	1
41	0x8129d	0x815e7	r15	0x34a	0	0	0
42	0x815ea	0x8173b	rax	0x151	3	7	1
43	0x8173d	0x81b7c	r8	0x43f	5309	5310	1
44	0x81b7f	0x81f2c	rbx	0x3ad	0	0	0
45	0x81f2e	0x820df	rcx	0x1b1	0	0	0
46	0x820e1	0x822b9	r9	0x1d8	0	0	0
47	0x822bc	0x82474	r11	0x1b8	0	0	0
48	0x82477	0x8281e	rdx	0x3a7	119	119	1
49	0x82820	0x82e73	r8	0x653	1844	1844	1
50	0x82e76	0x833c5	rdx	0x54f	320	0	1
51	0x83061	0x833c5	rdx	0x364	0	0	0
52	0x833c7	0x8371b	rcx	0x354	726	726	1
53	0x8371d	0x83b3d	r12	0x420	0	1	0
54	0x837cb	0x83b3d	r12	0x372	1	1	1
55	0x83b40	0x83e73	r9	0x333	0	0	0
56	0x83e76	0x841f6	r14	0x380	6	6	1
57	0x841f9	0x84289	r9	0x90	0	0	0
58	0x8428c	0x84593	r11	0x307	0	0	0
59	0x84302	0x84593	r11	0x291	0	0	0
60	0x84596	0x84760	rdx	0x1ca	0	0	0
61	0x84762	0x84aa0	r8	0x33e	0	0	0
62	0x84aa3	0x84e1b	rax	0x378	36	36	1
63	0x84e1d	0x85056	r9	0x239	0	0	0
64	0x85059	0x8536e	r13	0x315	6175	6177	1
65	0x85371	0x855fc	r13	0x28b	9	9	1
66	0x855ff	0x859f9	r8	0x3fa	7189	7189	1
67	0x859fc	0x85b87	rax	0x18b	0	0	0
68	0x85b89	0x85f22	rsi	0x399	0	0	0
69	0x85f24	0x86763	r8	0x83f	17	697	1
